page 1	社評我們需要一個基本改革的經濟政策
page 2	司法考試院長人選即決總統提名王寵惠張伯苓國民黨中常會昨晨一致通過
page 2	史蒂爾曼等明天赴漢將沿粵漢路南下過穗轉台處理美資委會十九日結束
page 2	乾枯東北上
page 2	公教人員待遇本月支給標準通過
page 2	陳納德自己辯護自稱推動世界和平的人否認是軍閥但仍願打仗
page 2	青年黨聲明決定不入閣司法考試兩院也不參加
page 2	張群定今晚赴滬
page 2	物價狂漲威脅民生監院請政院採有效措施
page 2	土地的悲劇張家口農民多拋棄土地一個雞蛋即可換地一畝
page 2	立院外委會上王世杰談外交他說蘇聯不願戰爭管制日本應當繼續
page 2	寧波搶米慘案兩百家米店被搶搶米者一死十傷常州也有規模較小的風潮
page 2	指責司徒聲明孫科發表談話中國人民有權反對扶日司徒的聲明中含有敵意
page 2	愛國犯了什麽法交大學生發表告同胞書表示拒絕吳國楨的傳訊程孝剛校長談話同情學生
page 2	走私日貨一批被粵海關緝獲私貨藏在火車頭裏
page 2	司徒等飛青島
page 2	鐵砂源源運日又一批抵八幡
page 2	徵兵成績不佳粵省迄今只徵起四成逃避兵役者越來越多
page 2	浙大罷課原因是壁報主編被開除
page 2	鄧炎漢受刺激慘死在連江因共黨嫌疑被捕解韶關後神經失常跳樓
page 2	宋子文臥病
page 2	可憐的楊妹將再度被嚴密檢驗並與一切親人隔絕
page 2	潮梅面臨歉收現象各地米價狂漲人心惶惶六區專員曾舉直談話
page 2	穗小學生失蹤最近沒有發生
page 2	童匪教養所穗警局最近開辦收容竊犯廿多名
page 2	治安情形嚴重兵力不能挽回必須政治有辦法纔行
page 2	平印刷工人罷工
page 2	唐山略穩國軍馳援兗州城郊戰況激烈
page 3	美參院不同意削滅援款通過撥款六十一億美元並否決眾院更改期限的議案兩院聯席會議正謀調協歧見
page 3	陸軍部請撥款援日參院撥款委會核准只將要求數目削減少許
page 3	美又一筆軍費眾院撥款委會建議撥四億儲存軍火及建設阿拉斯加
page 3	建聯合國會址美即決定貸款叁院外委會通過借六千萬
page 3	美要維持強大海軍參院通過撥卅八億建造六萬餘噸航艦一艘
