page 1	社評西歐也不放心德國
page 2	翁文灝昨答覆立委質詢對財政軍事等再作說明軍費龐大收支平衡實不可能關於改革幣制正在研究計劃
page 2	中蘇條約亟待履行對日政策目標確定
page 2	費六小時通過三案立院昨天疲勞討論
page 2	三黨立委之爭沒甚麽問題了
page 2	李默庵內定主湘湘省參會不贊成
page 2	白崇禧昨返京
page 2	顧孟餘堅不就任王雲五也想辭職
page 2	蔣總統宴張群等
page 2	豫省參議員集體到京請願
page 2	總統副總統昨招待各國使節
page 2	何懸殊乃爾龐德月薪二千五百美元等於中國兩百法官所得
page 2	究竟讓誰來自治
page 2	玉門油礦又一新井鑿成
page 2	美援款幾復原參院撥款委會通過
page 2	中美雙邊協定遲未簽訂雙方對於使用計劃還有歧見美再貸款助改革幣制說不確
page 2	美援附帶條件之一內河航運權開放了今後美船可直駛京漢
page 2	招商局的苦惱燃料缺乏被迫停航
page 2	祝紹周抵京
page 2	監院討論議事規則熱烈辯論後通過總則
page 2	東北臨大開籌備會
page 2	韓漢英等返穗向宋子文請示軍機
page 2	穗肺癆防治院定廿日行開幕禮希望宋子文捐十萬港幣
page 2	廣州監獄人滿為患經費太少囚犯極苦沒錢燒開水只好喝冷水撞監案主犯卅二人即提公訴
page 2	粵省堤工會七月底結束
page 2	唐山附近激戰兗州濟南外圍酣鬥未已蘇北局勢驟緊揚州受脅
page 2	穗警匪惡鬥從午夜打到天明匪徒擊斃三名被捕
page 2	出動卡車強拉壯丁憲警嚇跑商店關門青島市面一度陷於紊亂軍事當局槍斃三個主犯
page 2	唐山製鋼廠停止南遷了
page 2	東北總部政委會即在錦設辦事處
page 3	不願他國越俎代庖英反對美英鎊貶值要求訓令駐美大使拒絕苛刻條件外次亦稱決不予美該項權力
page 3	對日和會召開無期東西方間主要歧見未能調協訂立和約到明年恐仍難實現
page 3	日本外匯率美主早訂定
page 3	蘆田戀棧否認準備辭職
page 3	協助日本經濟復興各國銀行擴大業務
page 3	日本問題本報滬版第廿六次時事座談會紀錄
page 3	英太平洋艦隊即將訪問日本
page 3	美徵兵法案送眾院討論
page 3	捷新閣籌組中柴波托基被任命為總理
page 3	新閣各單
page 3	緬甸的動向英國極重視
page 3	霍奇致函柯洛可夫請求恢復南韓供電說已有三船貨物準備交電費供電恢復後即會商其他懸案
page 3	蘇聯科學家發現宇宙線中有變子質量比電子重生存時間極短
page 3	反扶日運動發自民間對司徒聲明深為遺憾代述賀耀組先生意見
page 3	漁業界的呼聲日本已開始侵略了漁船早已開入中國領海得麥帥支持態度很強硬
page 3	杜魯門向國會挑戰提八項計劃要求採行動
page 3	美援款似不致削減太多參院撥款委會通過六十一億援款使用期限則改為十二月
page 3	美陸軍首長呼籲千萬勿再減軍費
page 3	越華僑幫制問題法方續施壓力利用歹徒強迫幫長就職僑胞欲離河內寸步難行
page 3	日本孤男寡女要納稅暹羅大學成陰盛陽衰
page 4	源暢底厚供應無虞本港米價近已趨跌米商對平價米不感興趣燃煤統制傳有撤消可能
page 4	香港人胃口真大屠宰場每晚殺豬兩千多
page 4	三段公地卄一拍賣
page 4	廣九路我司機被歐粵漢路局派員來港交涉若無結果即行提起訴訟
page 4	招商局新輪八月可駛港
page 4	無牌舟自橫無牌照漁船一隻政府昨布告招領
page 4	運表不報關被罰四百元
page 4	九龍裁判署初審持槍強姦婦人案
page 4	天台納涼觸電斃命
page 4	出入口署前面少婦抱女跳海救回後送醫院救治
page 4	徐繼壯案續審對程序法問題雙方發生激辯法官認為很有興趣等研究後再行宣判
page 4	海關警力弱入夜走私多
page 4	在港參觀經已完畢穗工程師今天歸去對港商反扶日運動同感以後將設法加強雙方聯絡
page 4	香港廠商代募天佑學校基金
page 4	禁止三輪車載客十一月底起實行
page 4	深水埗汝州街昨夜炸彈爆炸門戶毀損幸未傷人疑是打單匪徒所放
page 4	輾傷女童司機具保出外候訊
page 4	深圳河上一陣槍聲三條大漢奪船逃走新界居民陳興黃莊兩人損失一隻船和一頓飯菜
page 4	廣東道木屋有拐帶機關警署昨起回五個小童
page 4	軍車失事案昨傳訊證人
page 4	海陸空軍警大檢閱明在紀念碑前補行
page 4	攜帶煙土兩人判刑
page 4	堅道破獲私台黃新罰款了事
page 4	爛船上跌下不省人事印刷工會定期大旅行
page 4	中航乘客一人私帶黃金被拘
page 4	泳裝女屍在長洲海面發現名字叫做梁愛蘭
page 4	兒童音樂會青年會定於十九日舉辦歡迎兒童赴會不收門券
page 5	星洲銀行牌價每萬元減為叻幣三分仰光銀行牌價每百萬減為四盾四安
page 5	穗市銀錢業規定辦法買賣申匯過期計息賣方三天內交妥為例期如超過例期按日付利息
page 5	穗市新結匯辦法定十七日起實施
page 5	銀舖休假中金融市態靜寂結匯證書報六三萬紐約市場英鎊再升
page 5	美匯需求減市勢轉疲弱
page 5	英鎊上漲三大因素
page 5	昨日股市比前略佳 
page 5	黃金市價續跌極難黃金市場新定貨難
page 5	星馬與荷印的貿易星嘉坡特約通訊
page 5	日布到港多顏色品質劣沒有標明出品廠名
page 5	港暹貿易轉清淡港越交易成問題暹越商直接向歐洲定貨
page 5	本港金銀貿易場昨天選出理監事上屆舊人大多連任
page 5	上海米價飛升昨破千一百萬當局決定恢復限價
page 5	滬穗百物齊升澳米麵生油俏汕米麵再上揚
page 5	港穗國家行局商討外匯問題定本月廿八日舉行
page 5	粵省營工業停工減產多原料銷售兩成問題
page 5	滬私套港匯案昨日破獲共計六起
page 5	金管局對面買港幣萬元鈔被視作濕柴
page 6	黑白表演出色港聯慘敗一仗六五比二八實力懸殊
page 6	港聯失敗主因四點
page 6	足球總會本屆最後會議督憲杯修章一段暫保留討論南華征菲虧本萬餘東方征澳實賺八角
page 6	情勢急變
page 6	粵省教育亟待改善教部近有重要指示姚寶猷出巡台開教育返穗
page 6	上半場黑白贏了大半
page 6	女子籃球賽南華對抗香島黑白戰全運多一插曲
page 6	香江中學舉行水運會
page 6	重慶馬拉松賽馬冠群獲冠軍
page 6	倫敦草地網球賽英選手兩遭敗績
page 6	團體網球賽中華勝婦女
page 6	羅富國師資學院招收新生入學章程已擬定
page 6	中國物理學會穗分會將成立
page 6	傑志宴黑白
page 6	世運足球隊返星後將有三場重要比賽卄七日對全馬來亞人人注意當地預排理想陣容準備應戰
page 6	交大招生不設分區
page 6	全運照片今日在勝斯展覽
page 7	使用小鈔闖出大禍店員學生演全武行福建學院學生遭受痛毆福州同豐米店被搶一空
page 7	保安部配給新聞竟未提學生受傷交涉之後報紙聲明更正保安部不服氣也登啟事
page 7	米店接受調處
page 7	閩南各地反扶日標語深鐫到人心學生們入市下鄉宣傳
page 7	潮汕又受風災早稻吹捐米價大漲水果收成將少一半
page 7	孫立人將來粵做官
page 7	廈門捉獲人販子十四個人齊落網
page 7	粵五區副司令林賢察已辭職
