page 2	社評再論湘北大戰
page 3	我生力軍增援湘北參加長沙大保衛戰敵軍先遺部隊已被我殲滅我統帥部對戰局始終樂觀
page 3	我空軍極活躍
page 3	粵敵攻勢受挫
page 3	贛北我軍出擊截斷敵交通線
page 3	蘇浙邊境激戰晉豫敵亦受創
page 3	銅陵一幼童設計除奸醜
page 3	敵機飛韶關濫炸平民窟並飛陪都偵察
page 3	像鋼鐵一樣的鍛練著下
page 3	蘇州城內敵偽火併
page 3	美日談話將夭折華府已放棄妥協希望
page 3	英美對華將再貸款
page 3	英駐日大使展緩返國日期因臨時奉英政府訓令
page 3	德再施展壓力迫日即侵蘇上海方面有如此傳聞
page 3	閩南我軍渡海襲敵
page 3	中央警校行畢業禮領袖親臨致訓
page 3	贛田賦徵實省府嚴令推行
page 3	以皮毛換子彈東京公布行獵新章
page 3	辦理兵役舞弊王後川等判死刑
page 3	克拉克夫人發表被綁經過
page 3	星洲華僑匯款星當局頒發新例
page 3	伍德海著文揭露滬敵陰謀
page 3	德夫古柏無意赴滬
page 4	三國會議即將舉行英美代表抵蘇史達林氏昨日延見
page 4	蘇德戰爭百日前線雨雪交加卡科夫附近布丹尼力拒德軍中路紅軍反攻又奏捷
page 4	全城變砲壘居民均為戰士列寧格勒牢不可破
page 4	英坦克產量每日皆有增加各部配合生產有條不紊
page 4	克里米亞德軍無進展蘇軍仍固守地峽
page 4	德對捷人嚴厲高壓波希米亞等六區已宣布戒嚴眾認此為新捕殺行動之前奏
page 4	美日難免一戰
page 4	德義皆遭空襲英新戰鬭機出動達蘭多亦被轟炸
page 4	芬報反對對蘇休戰但不願對英關係惡化
page 4	伊朗前國王首途赴智利
page 4	印度英軍總司令抵伊朗京城與蘇軍討論聯防計劃並研究對蘇運輸佈置
page 4	法人奮起反德多人橫被殺戮黎里之一段轟炸事蹟
page 4	歐洲新秩序收聽外國播音竟被判處死刑
page 4	柏林維希賡續談話德圖取得對法合作
page 4	日本北進的姿態
page 4	今後的蘇德戰局
page 5	蒼城方面敵遭阻擊圖犯鶴山又起激戰三埠台城被縱火焚燒
page 5	馬來亞兵精糧足足禦任何侵略荷印泰國邦交更密切英軍總司令視察防務
page 5	我為甚麼敬仰張季鸞先生參加公祭一篇未發表的演說
page 5	陽江學生投筆從戎信宜歡送新兵入營
page 5	貴陽近事
page 5	浙東札記
page 5	桂柳一帶農作物豐收陳大寧視察後談話
page 5	私貨物價
page 5	韶關訓練防空警察各疏散區增闢防空壕
page 6	九中全會定期召集留港中委舉行集會對海外僑務將有所談商立法院長孫科即將返渝
page 6	傳當局將續審查穀米統制措施研究腐米出口等各問題有關方面未能證實此事
page 6	港督昨巡視總警署關懷警員生活多所垂詢連日將分別巡視各機關
page 6	港府發言人談孤軍不能釋放英國對中日戰事仍處中立地位中外人士對此事甚關懷
page 6	回國僑胞月逾二千中旅社特籌辦沿途設招待所
page 6	今年呢絨昂貴較去年漲價百分之四十日呢來源繼絕只餘英貨
page 6	烟草入口較去年激增達三十萬元
page 6	國幣存款申請轉換國幣昨日開始辦理
page 6	冬季時間明日開始撥慢半小時
page 6	中秋節節省送禮款項舉行勞軍運動
page 6	美少年扮學生專偷西裝
page 6	特警定期宣誓入伍第一批畢業者共計八十六人應徵特警分批舉行甄別
page 6	戰債會通函各團體催繳戰債款項認捐達千二百萬收到只及一半並盼僑團繼續努力認捐
page 6	戰時保險當局表示考慮探求妥善辦法
page 6	港僑團積極籌備慶祝雙十國慶華商總會贈旗籌款獻機婦女四團體舉行升旗禮
page 6	古柏表示注意疏散問題已電覆港丈夫團
page 7	週末星光足球戰將改在嘉山舉行因界限街場棚座倒塌待修理四華隊首週形勢檢討
page 7	鐵城杯籃球劇戰中青打坍華僑六十一比五十二局勢頗緊張域多利棄權新青不勞獲兩分
page 7	全星游泳決賽三項打破紀錄
page 7	樂斯杯籃球戰黑貓壓倒星島
page 7	藻泉盾籃球賽截止報名
page 7	全港冠軍游泳賽後天繼續對抗男四百四十碼泳有劇爭各健兒準備參戰
page 7	卓雄杯賽西園迎戰東山
page 7	外匯牌價仍無變更申匯市況微趨鬆弛
page 7	滬標金市微漲但靜
page 7	股票市況靜穩昨日成交六萬二千餘元
