page 2	社評正義權威之伸張
page 3	潮安附近仍有戰事我軍連日襲擊Ｘ企圖固守晉東南我軍沿翼沁路進擊
page 3	昆明各校學生發表兩宣言對美廢止商約表示贊佩希望英國發揚傳統精神
page 3	桂中學校長昨日起舉行會議
page 3	朝鮮義勇隊在湘北前線活躍拼着堅苦卓絕的精神達成神聖寶貴的任務
page 3	遠東危機與美國四
page 3	行政院褒揚馬步青興學
page 3	渝各團體籌備歡迎尼赫魯
page 3	滬Ｘ軍造謠謂英蘇合作對日策動游擊隊反攻
page 3	汪逆爪牙在滬組宣傳委員會引誘無恥記者參加周逆佛海指示活動
page 3	津英法租界封鎖後拾零天津通信
page 3	Ｘ機兩批昨襲重慶我空軍奮起迎擊倉皇投彈後逸去
page 4	對日方無理要求英國態度堅強談判已入僵持局面另開四人會議折衝
page 4	泰晤士報主張不能與日妥協
page 4	日報狂言恫嚇圖使英國就範
page 4	日人再施威脅反英運動復熾東京十萬人大示威
page 4	張伯倫正式宣布英蘇法軍事協商定本週末在蘇京舉行政治談判將同時並進
page 4	新都印象記一
page 4	日本對美商務將受嚴重影響最惠待遇將被取消
page 4	英海陸空軍空前大演習測驗國防總力量
page 4	法獎勵生育獨身及無子女者均將交納特別稅
page 4	美國海軍實力極為雄厚李海上將向總統建議應更進一步準備萬一
page 4	第一次大戰念五週年紀念德報舊事重提
page 4	羅匈邊境傳發生衝突
page 4	英法增防遠東印度英軍調往馬來安南軍事已有進步
page 4	空中慘劇蘇聯空軍要員四人犧牲性命
page 4	一場虛驚法國西部某城夜傳空襲警報
page 4	蘇聯貸款渝官方未加否認
page 4	廣州之Ｘ又將檢查沙面
page 4	反侵略會西安支會前日宣告成立
page 4	英王十月間將赴比報聘比京準備歡迎
page 4	蘇最高會議年會前日閉會
page 4	汪光銘往那裏走
page 4	Ｘ方之讕言
page 5	橫門我軍安勢堅強封鎖線外激戰仍烈Ｘ艇觸發水雷三艘當即爆發中山沿海各地續遭Ｘ軍轟炸
page 5	運輸處設各地站所粵舉辦負責聯運船隻汽車一律登記從新編配以利運輸
page 5	李漢魂報告改革政務推進農林工業建設
page 5	桂積極促進生產全省劃六區設聯合農場
page 5	總裁親書校訓禮義廉耻粵教廳飭各校懸掛
page 5	僱用民伕辦法頒行到粵
page 5	Ｘ機騷擾粵南茂名縣城首次被炸安舖民眾遭Ｘ掃射
page 5	教部普及社教巡迥施教車抵滇工作一月將赴緬甸
page 5	大亞灣Ｘ登陸沙嘴尾徘徊半日退去
page 5	陽江縣長被扣
page 6	國立院校招生投考工科者最多定五日發給考試座位表港大醫科學生回國者少
page 6	八一三獻金設獻金台六處金飾保管辦法昨已決定集木商會再獻金五千元
page 6	西藏喇嘛黃日博士過港足跡遍國內並曾赴英倫此次赴滇取道印度返藏
page 6	人世間創刊號本月出版
page 6	強制兵役法開始在本港實施
page 6	Ｘ機襲深圳平湖布吉被炸二次投彈意在破壞交通計死兩人受傷二十餘人
page 6	獻劍會今日出發募捐
page 6	英幫辦義華士被控勒索一案阮兆基獲赦轉為官方證人義華士到任後向阮拉攏請阮互助以找索詐機會
page 6	業餘學校夏令營在長洲從事宣傳
page 6	烟販賣烟不送火柴以積款作為義舉賑聯會負責聯絡
page 6	粵教廳設立臨時中學定本月十五日在港澳試新生
page 7	惠堂請假獲邀准今日乘輪赴爪哇預計航程一星期八日可抵八打威比賽程式已定共計十一場
page 7	新紀錄
page 7	全港單車義賽參加踴躍五日起舉行
page 7	昨夜水球出毛病大家不歡
page 7	歐帶台盃決戰南國得冠軍三比二德國連失兩單打亨克爾直落三輸得真慘
page 7	中英各郡網球賽克拉姆遭慘敗斜風暴雨打來形勢全非
page 7	德拒絕參加林山賽
page 7	夏令杯籃球今日兩場都有好看頭
page 7	南遊日記
page 7	公開游泳賽十七開幕十一截止報名
page 7	小型球
page 7	外匯牌價仍不動英美匯市俱靜穩申匯況尚穩銀行續有拋出
page 7	港股票市況昨日仍無起色投機者多存觀望態度全日成交總值八萬元
page 7	八九金市仍穩但靜買賣無多價格微降
