page 2	美總統偉大的和平計劃
page 3	粵鄂晉綏均有激戰我軍猛政神岡及太平場南昌市郊我游擊隊活躍
page 3	我克復增城有極大意義重要據點入我掌握廣州之Ｘ發生動搖
page 3	留桂難民省府代覓工作
page 3	熱河警覺了下他們在水深火熱中盻望著勝利的來臨
page 3	西康的建設在突飛猛進中漢源成為文化中心
page 3	滬Ｘ長途汽車在南翔遭遇襲擊
page 3	太原城內搶案迭起Ｘ無力維持治安
page 3	開封除奸被殺六人查明
page 3	美使將返任行期約在下月初間調任謠言證明不確
page 3	李璜返省西路組即出發
page 3	中委謝持昨在蓉庽病逝
page 3	我空軍兩襲杭州在筧橋機場投彈多枚東戰場各線我佔優勢
page 3	民國二十八年軍需公債條例國府昨制定公布
page 3	魯西偽軍石錫九反正殺Ｘ遠藤部受創極重
page 3	包頭灘上的英雄夜襲機場猶如家常便飯反攻新城Ｘ騎葬身魚腹
page 4	美總統提和平計劃致電希特勒及墨索里尼請保證三十一國之安全
page 4	英政府發表文告歡迎羅氏措施輿論一致贊許
page 4	英法蘇軍事合作談判進行順利內容廣泛今日可決定歐洲外交短兵相接中
page 4	法總理致美節略對美總統建議表示全部贊同
page 4	希特勒正與外長研究羅氏電文德報大施攻擊
page 4	美對歐政策的轉變
page 4	在義大利威脅下英國增防地中海重視希臘及直布羅陀在西義軍圖藉口緩撤
page 4	羅馬官方守緘默義首相與戈林共同縝密討論
page 4	羅外長加芬科定明日聘德羅王舉行重要會議
page 4	駐英阿公使拒受偽命
page 4	無謂的咆哮
page 4	西康的進步
page 4	牛賴特抵布拉格任捷克保護者
page 4	挪威擬增稅充實國防已向國會要求
page 5	四邑連日暴風雨我軍乘勢全線出擊迫近會城Ｘ據沙隄頑抗順德我軍襲擊容奇桂洲
page 5	增城殘Ｘ潰走我埋伏朱村截擊鏖戰兩日我控優勢東莞石龍Ｘ陣動搖
page 5	國聯協助中國西南防疫工作派勞勃生赴滇設辦事處
page 5	平江慘史Ｘ機轟炸教堂國際友人被難英籍牧師李協邦被炸死平民二百餘人同時遭劫
page 5	潮梅米荒解決免稅洋米抵汕頭已到八千八百餘包求過於供米價反漲
page 5	粵省救濟難民振濟會計劃籌款增聘本戰區各師長任委員設立基金保管會公佈收支
page 5	暴風雨襲擊中山損害詳情未詳
page 5	省府撥助款協助墾殖雷州各方投資亦多
page 5	粵省派校官多人視察團隊現已抵汕將赴南路
page 5	粵省庫三閱月來收支概況財政當局應付裕如
page 5	中山貸款購米
page 6	廢用舊輔幣日期下月一日可宣佈當局希望商人協助收回目前可向上海銀行兌換
page 6	沙赫特有東來之說
page 6	新督憲府將設在馬加聖喼道國家醫院招商拆卸
page 6	燕京大學近況種種困難校方處之泰然司徒雷登於日前來港
page 6	劫後增城難民達六萬人百病叢生亟待救濟穀種農具均須補助
page 6	日貨充斥薄絨大事傾銷每日達十萬元
page 6	粵慰勞會徵募短衣昨得一千八百套
page 6	鶴僑回鄉代表報告鶴邑災情沙坪桃源錢塘為Ｘ焚燬米最貴時達一元二斤餘
page 6	韓穗軒談澳門攷察團收獲廠地等問題均易解決港澳廠商將組委員會
page 6	瘋漢自稱裸體大家全身裸露隨處奔跳被警送往神經病院
page 6	大澤一帶前方藥物糧食缺乏希望僑胞踴躍輸捐接濟學服團彭玉棠昨返港
page 6	銅鼓海面海盜追劫貨艇匪徒十三人中有兩婦損失田料等物一大批
page 6	赴星船票價又高漲竟達二百四十元
page 6	青記學會新聞學院昨舉行入學測驗
page 6	培正中學校長黃啟明昨逝世因盲腸炎不治今日入殮友人及學生已組治喪會
page 6	惠陽商會昨追悼楊壽昌
page 6	賈乃錫夫人代救傷隊女總監
page 6	西營盤二街三匪行搶得手逃去損失未詳
page 6	九龍行駛雙層巴士警方澈底考慮中
page 7	中華狂勝葡萄牙國際盃又落我手雙方實力懸殊結果九比二輕描淡寫五前鋒均有建樹
page 7	德法停止比賽
page 7	朗特婚後兩年不甘雌伏準備重返網球場
page 7	今天網球小徐戰何家鎏
page 7	我世運足球隊會後遠征美洲將包括美國加拿大及南美諸國
page 7	功勞表
page 7	馬迪夫人亦東山再起
page 7	勃琪否認與歌女訂婚
page 7	室內二英里賽克銀漢壓倒三名將
page 7	本港一二月份金銀進出額黃金以運往美國為最多我銀圓有少數流入本港
page 7	Ｘ南侵影響燃料來源銳減今年日本煙煤銷場又告活躍
page 7	歐局緊張德義貨物已停止戰時保險運往中國亦起價
page 7	本港米石進口大減華北Ｘ糧缺乏
