page 2	東南歐的現勢與教訓
page 3	日軍圖犯汕尾不逞冒險登陸被我擊退西江我軍襲三水切斷廣三路
page 3	蔣委員長召見陳嘉庚垂詢建設西北意見
page 3	洛陽各界追悼張自忠
page 3	澄清吏治先聲各機關公務員任用情形銓敘部將定期予以檢查 
page 3	國內外各方續電討汪
page 3	渝各民眾文化團體縝密討論外交問題
page 3	粵省下月舉行會計特種考試將分曲江香港開平三區辦理省幹訓團首期卒業
page 3	歐亞公司減少航線
page 3	渝公祭俞劉文
page 3	各地偽軍續有反正
page 3	滬日方人員又逮捕居民法租界發生槍殺案一起
page 3	國立劇專改五年制專科積極籌備招生
page 3	滇鹽務管理局局長易人張綉文正式接事
page 3	巴爾幹問題的癥結一
page 3	糧食管理局正進行籌備下月可成立將由俞飛鵬及何廉主持
page 3	義代辦夫婦由桂飛往重慶 
page 3	上週各戰場我均有收穫日人加強封鎖企圖失敗
page 4	東南歐外交談話進入最後階段羅馬尼亞已在俎上分割土地勢難倖免
page 4	墨索里尼作網球表演賽並躍馬跳過障礙物以示體格並未衰老 
page 4	英國考慮對羅提出正式抗議
page 4	英眾院定期辯論國際形勢東南歐與英蘇關係將為討論中之主題
page 4	殖民地監護問題泛美會將發宣言美洲國家將予以保護各殖民地具有自決權
page 4	蘇美商洽延長商約問題美國同意蘇方要求韋爾斯主開會研究
page 4	日生產率低降提倡結婚生子
page 4	堀內訪韋爾斯談美禁鐵油出口事日冀美能從寬放行 
page 4	美國救濟歐洲難民
page 4	日本商界呼籲調整對美貿易
page 4	路透社記者被扣留事日方仍秘不發表
page 4	土傳德國將進攻英倫並謂已擬定八月中旬直布羅陀續疏散人口
page 4	日對外貿易窘狀
page 4	結婚生子運動
page 4	威爾基將出發作競選演講擬在美國南部扶植勢力民主黨首領勢須謀對策
page 4	中日戰爭三年來美國遠東外交的檢視五 
page 4	德國擬就改造歐洲計劃實行自給自足經濟黃金價值
page 4	義相分別接見羅保兩國代表
page 5	廣東省六釐公債總額一千五百萬本月發行十五年還清基金由田賦收入撥充
page 5	泰國務院長讚美我抗戰繼續三年較法國為光榮泰國增兵邊境係為保持安寧 
page 5	粵桂各地僮族歷史　松石致力考古
page 5	西康日記一三一第六編貢噶紀行
page 5	活的教育華北聯大在烽火中學習著學生都像是大兵
page 5	粵建聽注重農事指導農民施肥方法抵制日人封鎖政策
page 5	革命聖地中山淪後記五
page 6	天文台昨懸五號風球颶風將由西北吹至昨日風雨偕來景象蕭索入夜仍未脫風襲之危險 
page 6	今日天氣預測
page 6	渣甸山麓平民區領地者已滿額傳擬再闢一區以惠平民刻正在港九兩地物色中
page 6	華北豐收港米價或將低跌
page 6	我國統制土紙出口港土紙價格飛漲較六月前漲百分之五十本港各紙商擬設廠自製
page 6	八月下旬舉行燈火管制演習規模甚大將整夜執行實施日期事前不發表
page 6	發生突襲時各學校應有措施教育當局製定預防辦法分送各校以便有所準備
page 6	兩尼庵深夜被刦譚如輝庵失贓千元劉勝福庵所失有限
page 6	出口革履
page 6	輔政司署通告第三批疏散婦孺非歐籍父母者可請豁免請求取銷疏散稟章六百人簽名
page 6	北大同學會今晚聚餐六時在大華飯店
page 6	黎梓材接長臨中昨日抵港日內接事 
page 6	中大服務團十二所義學招生兒童班十校婦女班兩校八月一日考試六日上課
page 6	追悼張似旭今日在九龍基督教堂舉行會督何明華亦將蒞會參加
page 7	棒球錦標關鍵港啤力挫岷甸奴雙方績分相等尚待最後決戰南華振作精神奮力擊退香港
page 7	東方南征足球隊今日或可抵港星島隊征菲計劃取消李國威本屆重返南華
page 7	南香之戰
page 7	滬合眾杯籃球百樂門無敵手完成五戰五勝之傑作 
page 7	百樂門輕取豈凡
page 7	公開籃球今日比賽三場
page 7	夏令籃球賽昨因雨改期
page 7	伯齡杯水球下月開賽
page 7	今年上半年度港對外貿易概況進出口均以糧食疋頭為大宗米石進口增加其餘俱見減少
page 7	後半時略見接近
page 7	高級學界籃球亞軍決賽今日光華戰南華
