page 2	社評由暹羅蟻案論僑界前途
page 3	深入日軍漸陷困境邕北戰局愈益穩定粵漢南段復緊我日展開激戰
page 3	我軍反攻增城三水方面續克要點江會日軍已無鬥志
page 3	潮澄日偽出擾黃逆大偉為虎作倀竟圖進窺閩南詔安
page 3	我軍潛入濟南焚燒日汽油庫一所考城日軍進犯郭寨
page 3	晉南克萬安鎮綏遠日軍焚燒村莊圖包圍大青山我軍
page 3	邕寧轉移前後一
page 3	滬汪派報紙又放煙幕彈傳陳公博抵滬促汪省悟虹口發現反汪標語傳單
page 3	廣州漢奸發生內鬨
page 3	津偽銀行職員發生大舞弊案一行員戀妓竊款逃滬被法捕房在輪上拘獲
page 3	桂抗日會組慰勞團即日出發前方
page 3	滬西萬惡歹土大規模俱樂部將續增偽警強居民交納房捐
page 3	羅翼群出發赴南路就行署主任
page 3	津英法駐軍本月四日起撤減
page 3	甘慰勞信十萬封送綏西前線
page 3	桐城偽警反正傷斃日軍二百餘
page 3	懋功各族獻金發交蓉市寒衣會代製寒衣送前方
page 3	粵省府通過組農貸會普遍農村貸款
page 3	英國對德封鎖日本竟欲報復日決定壟斷長江航運
page 3	美主教主張禁售軍火與日漢口美軍官被日兵侮辱
page 3	蔣夫人函謝暹女僑
page 3	日本女間諜傳混入重慶我正偵緝中
page 4	蘇宣布對芬斷交三路進軍芬境海空軍方面同時發動美願任斡旋已遭拒絕
page 4	美國調停蘇芬英義表示歡迎
page 4	莫洛托夫廣播命令全國戒備
page 4	各國一般輿論均感十憂慮
page 4	芬蘭致蘇覆牒全文
page 4	從軍行前溪二十八年十一月十九日在花溪作
page 4	法總理演說贊揚義國政策對地中海和平有貢獻法方將尊重義國利益
page 4	史達林談話否認欲延長戰事
page 4	羅馬尼亞顧慮步芬蘭後塵擬進對英法聯擊歐外交界感覺不安
page 4	法日商約現感無法實施日擬發動修改
page 4	黃大偉蠢動
page 4	日本的自私自利
page 4	蘇聯進軍芬蘭
page 5	進犯鶴山日軍被擊向九江潰退江會方面我乘勝追擊在鐵岡附近大舉殲滅
page 5	粵參議員談話會決定提案方針內分民財建教救濟等項吳議長談大會籌備情形
page 5	　市各界公祭馬相伯吳稚暉妙語報告林主席派員致祭
page 5	惠陽縣長易人
page 5	提倡滑翔運動鍛鍊飛行人員侯德榜在重慶工程師學會中詳述德國積極訓練收穫佳果
page 5	西康日記十
page 5	林主席祭文
page 5	六中全會嘉勉李漢魂望繼續努力
page 5	潮汕近況
page 5	省黨部新舊委員召開特別會議鄧青陽李漢魂蒞會致訓討論推進粵省戰時黨務
page 5	吳飛離韶返防
page 5	各縣力理冬防治安良好
page 6	本月十七日舉行白晝防空演習已擇定油麻地為演習區防空影片將在本港放映
page 6	反對蓄婢會昨開同人大會選出本屆值理共三十人繼續解放被束縛之女兒
page 6	歌詠協會聯合大演唱本月三日舉行
page 6	馬頭涌一孤軍被英警擊斃流彈並傷一營中侍役
page 6	家翁殺媳案葉鉅無罪釋放據供刺殺死者出於無意陪審員認罪名不能成立
page 6	港僑自衛團上中區今日募捐
page 6	中青搖彩券揭曉孫夫人所贈之日本機翼王曉籟氏以五十元購得
page 6	華人文員會周年紀念三日舉行紀念會
page 6	印警被控強姦華婦被判入獄五年
page 6	籌募將南華遊藝大會今晚在太平戲院舉行
page 6	聯青社昨聚餐討論所得稅問題學者公認所得稅為良稅預料政府必將實行開徵
page 6	張惠長函謝婦女會
page 6	時代批評三十六期今日出版
page 6	馬慈航畫展今日起在金陵舉行
page 6	粵衛生處考取護士揭曉
page 6	南華大學請前司法總長徐謙講演司法改善問題
page 6	港童子軍明日大操
page 7	足球員犯規兩宗定今日開會研訊
page 7	明晚籃球義賽港星對搞培英友誼賽記者昨敗於培英
page 7	軍事體育化體育軍事化
page 7	阿姆斯強突患感冒拳王戰將延期
page 7	光華足球隊加強陣容明日出戰九龍
page 7	記者體特會球隊籌備派隊征澳各項加緊訓練元旦出發陸運會定本月十七舉行
page 7	乒乓單人賽今晚繼續舉行
page 7	學界籃球賽培英　　　
page 7	泗全白籃球隊在星賽程編定
page 7	明日排球保羅兄弟對殺
page 7	美菲荷匯牌價回縮英匯呆滯申匯穩定
page 7	八九金市仍屬淡靜買賣稀少價格續降
page 7	股票再略堅挺高低價股票俱多買戶惟賣家奢求成交仍少
