page 2	社評英蘇交涉
page 3	贛鄂戰局前途樂觀進窺長株企圖完全粉碎在粵部隊反攻新會江門
page 3	粵省方面我創神岡Ｘ軍
page 3	贛鄂方面我軍殲Ｘ五百
page 3	晋省方面擊斃Ｘ將福田
page 3	我猛攻安慶城內發生巷戰Ｘ軍損失慘重
page 3	粵黨政軍幹部訓練首期定期開學
page 3	江浙Ｘ受創海鹽附近有激戰
page 3	奮勇殺Ｘ曾師長記功
page 3	英國議員電蔣致敬祝賀反攻獲勝
page 3	津Ｘ對租界又提抗議謂鎮壓力量不夠
page 3	河北在我們手中
page 3	蘇聯籌闢歐亞新航線全程較前縮短七千五百公里
page 3	工部局干涉報紙滬報認無理由大美晚報態度強硬寧願停刊亦不受檢
page 3	廣州戒嚴
page 3	曲江疏散人口省動員會已分組辦公
page 3	打回老家去東北義勇軍活躍
page 3	滬定復航哈納輪昨抵滬
page 3	馬尼拉地震震動頗劇幸未傷人
page 3	Ｘ機濫炸渝外領館純係違法的行動Ｘ方所發聲明絕對無稽美報痛詆Ｘ人野蠻行動
page 3	梵蒂岡教廷當局為和平努力代表分訪法德當局教皇發表廣播演說
page 3	李霞卿在美飛行受傷
page 3	美飛機師在渝撞機殞命
page 4	英蘇兩國談判已至緊要階段雙方意見仍有距離法蘇協定繼續有效
page 4	德對英進行外交戰企圖離間英蘇間關係德義簽政治軍事條約
page 4	日南進政策與暹羅
page 4	法報紙揭載德陰謀攻蘇曾兩次誘波入夥均被波外長拒絕
page 4	墨索里尼本月十四日將發表演說
page 4	英希商務談判本月十三日開始英將貸羅以巨款
page 4	波丹金赴保曾與土當局討論中東歐防禦問題
page 4	西康途中三漢藏猓三族集一堂受訓令人深感到中國的偉大
page 4	加芬科返抵羅京對歐游結果拒發表意見
page 4	美國未雨綢繆調查全國財富眾院已決議授權政府戰時得實行徵集資金
page 4	德空軍集中波邊境圖武力迫波就範波輿論責德空言無補義希望德波和平談判
page 4	德國尚未表明態度
page 4	義報希望德國緩和
page 4	英王海上生活臥室佈置美麗舒適餐後欣賞古典音樂
page 4	劍橋女教授卡洛特有功考古學竟開該校歷史先例
page 4	羅斯福調解煤礦工潮勸令繼續談判
page 4	阿爾巴尼亞游擊隊活躍義人不敢前往阿國義國處境益趨險惡
page 4	拉愛兩外長討論德國建議談話內容未悉
page 4	德駐英大使返抵倫敦復任
page 4	短評戰局
page 5	桂軍增援四邑前線大舉反攻會城江門六日激戰汾水江沙堤橋我克古勞鶴山殘Ｘ肅清
page 5	粵黨委督導黨務繆培基等即將出發各縣市更派書記長
page 5	汕商庫證改在香港移交
page 5	徭山行原始社會的巡禮一
page 5	壯丁檢閱團六日出發工作
page 5	中順消息容桂Ｘ兵已退免稅洋米運岐
page 5	西南某長官評粵局軍政方面有進步
page 5	粵省救護會設戰地救護站計劃已呈省府
page 5	鶴山辦理善後
page 5	曲江疏散物資
page 6	全港青年昨聯合熱烈慶祝青年節會場充滿活潑奐發氣象主席致詞勉為國家奮鬥
page 6	普及防空知識電車及巴士公司與當局合作司機售票員參加受訓
page 6	中國國貨公司擴充營業範圍增設電器等部舉行減價注意手工藝品籌備展覽
page 6	循道會舉辦賣物會本利均充善款港督捐五十元
page 6	霍亂症近已發現兩宗當局將禁賣不潔冷品聖約翰救傷隊將出動
page 6	夢遊病患者婦人深夜外出仆臥路中送入醫院醒來一概不知
page 6	僑港英人半數登記華人登記在籌備中
page 6	大鯊魚羣到港黃國楨君昨日捕得一尾重九十五磅長五尺十寸
page 6	中青籌賑會服務團第一隊將赴東江昨舉行授旗典禮
page 6	淺水灣自用泳棚當局並未禁止設立建設地點將有遷移
page 6	張善琨來港考察本港南洋影業
page 6	歷史劇黃花崗本月再度義演慶祝歐陽予倩五十壽辰戲劇界將舉行國民宣誓
page 6	孔聖會徵求會員徵求隊昨日授旗
page 6	太平劇團定期舉行義演
page 7	全澳選手球藝平平二比一敗於東方有勇而無謀全局演出渙散東方後衛較強竟成最賣力
page 7	台杯歐洲帶第一週賽展開激戰
page 7	今晚公開籃球錦標決賽南華逢戰星島
page 7	公開棒球第二幕中華輸兩分岷甸奴六比四下馬示威雙方攻守緊湊引人入勝
page 7	港公開網球單打決賽今日大徐會小徐
page 7	英台杯選手實力探討
page 7	日本退出
page 7	許承基蟬聯全英單打標錦決賽中直落三勝蔡惠全
page 7	過去六個月內港貿易慘跌損失不下九千萬元
page 7	本港燃料來源銳減煤價尚維持堅穩
page 7	廢用銀輔幣進行積極一角舊鎳幣已收回九成
