page 2	社評忠告於投機外匯的國人
page 3	豫西我軍砲轟平陸晉南Ｘ圖犯茅津渡遭截擊潛江Ｘ受威脅退城外佈防
page 3	外匯發生波動財政部重要聲明政府仍努力維持法幣調整市價係核准措置
page 3	Ｘ經濟上遭受打擊
page 3	英將繼續貸欵援華用以購買軍用品
page 3	中國越戰越強兩年來日本沒得到什末反使中國內部增強團結
page 3	英方觀察認為正當
page 3	津引渡犯人我向英交涉津Ｘ封鎖租界決於日內實行
page 3	稻葉師團宣傳反戰十餘人被槍決
page 3	疏散韶關人口當局決嚴厲執行
page 3	法幣問答一
page 3	豫鄂邊區民眾光榮為國奮鬥少女堅貞誓死不屈孤苦老婦收養傷兵
page 3	一門忠義兄弟先後從軍阿姊擔任救護
page 3	軍風紀巡察團轉赴贛北前線
page 3	滬英日局勢仍甚緊張英抗議語調強硬
page 3	贛省籌設中正大學預定年內成立
page 3	潮汕防務已佈置竣事一切充滿戰時氣象Ｘ如進犯必遭痛擊
page 4	龐萊在參院落稱法土談判順利最近將發聯合宣言史德隆改明日赴蘇
page 4	英不惜委曲求全希望德懸崖勒馬德若能中止攘奪行為英對德要求願付談判
page 4	外相演說全文
page 4	商相報告貿易
page 4	開發西南重工業區幾個重要先決問題續西康踏入記二
page 4	英土軍事談判英代表團下周赴土土代表團暫不離英
page 4	可貴的同情全世界各地的朋友們紛捐錢物救濟我難民
page 4	英王偕后在美接見國會議員興總統談國際問題
page 4	戈培爾定今日在但澤演說褐衫黨參謀長抵但澤
page 4	英王參觀海軍要發塞
page 4	國聯禁煙會開會討論報告書我代表堅請列入Ｘ醜行南代表反對遭一致抨擊
page 4	紐約市民迎候英王
page 4	英國各地續有爆炸案郵政信箱被焚
page 4	Ｘ國內怪現象白晝見鬼飛機因觸電線失事竟請和尚作法驅邪
page 4	法屬摩洛哥限制日貨進口補救對日貿易入超
page 4	拉國外長返抵里加對此行收穫滿意
page 4	短評越戰越強
page 4	熱悶的空氣
page 4	德警長在捷被刺當局頒令戒嚴強迫人民告發
page 4	德西經濟協定將予延展和爾達銜命赴西
page 4	著名銀行家在滬被捕Ｘ方強加罪名
page 5	再犯牛牯臀新沙不逞Ｘ炸疊石死傷慘重艦艇肆擾內河企圖破我封鎖線
page 5	河源熱血青年焚李逆住宅一時人心大快
page 5	粵參議會通過懲治貪污案內容大會送請省府執行
page 5	粵政四個半月工作歷程李主席在省參議會的報告
page 5	財部改進茶葉貿易修正公布兩法規集中管理並重視茶農利益
page 5	海豐水產展覽
page 6	全港學生獻劍領袖慰勞將士請世界學聯會援助我國學生學賑會執委會昨議決
page 6	接駁渡海大喉今日起減少供水只限本港方面九龍除外將來擬施行間日制水法
page 6	兒童保育會會員週年大會何艾齡報告保育院院務選出下屆新理事一百人
page 6	中華義學澳門政府准許設立六所本月十九日起開始收容本港現有校址仍不敷用
page 6	嶺南大學招考園藝學獎金學生潮陽鄭雨泉氏捐設三名現已開始報名下月試驗
page 6	培正分校昨舉行國民宣誓
page 6	越僑服務團第三批積極訓練中正副團長過港返越
page 6	九龍城立基女校舉行一週紀念會
page 6	財政司聲明港元並無貶值之意外匯政策繼續維持
page 6	私人建築防空室當局為鼓勵起見決免徵差餉一九零一年差餉法例將修改
page 6	九龍各社團籌備紀念七七
page 6	南洋僑商歡迎本港廠商考察團
page 6	本港銀行業業餘聯誼會舉行首次遊藝會
page 6	人事登記法英王已予同意
page 7	一九四四年世運會決定在倫敦舉行冬季運動承辦權義大利十六票當選本屆冬季大會改由德國主辦
page 7	國民隊兵精糧足紅灰走麥城李碩友楊建邦先後建功東方勢雄四比一贏混合
page 7	女子籃球義賽知行壓倒西南中華人強馬壯大勝華雄
page 7	拳場回憶錄希墨林打倒了喬路易驚動了整個的美國
page 7	世界職業網球賽勃琪英勇無敵梵恩期技遜一籌二比零敗北鐵兩頓人老珠黃不敵奴斯藍
page 7	申匯不動暹匯續漲其餘匯價均低縮英美匯需求較少市況略淡申匯市況仍淡華商少吸進
page 7	一週間股票市由堅挺而蓬勃全週成交總值近百萬元昨日拋出略多價格微降
page 7	八九金市略形鬆馳賣戶較多價稍回降
page 7	滬銅元缺乏商店以郵票找續
page 7	英金不動英銀續跌
