page 2	社評論上海自由市場
page 3	白宮舉行重要會議美總統定今日廣播
page 3	美報發表離奇消息謂美日談話順利已進入接近階段赫炙國務卿謂局勢無進展
page 3	美採緊急措置撤退歐亞僑民
page 3	運輸會議月內在某地舉行加強後方運輸力
page 3	日皇召見東條內閣大本營舉行聯席會議陸海軍人事組織重要變動
page 3	日報鼓噪德夫柏之東來為鞏固反日陣線
page 3	增強經濟作戰力海內外打成一片
page 3	一對戰死與殉情的同命鳥一
page 3	劉建緒談治閩方針運作方法管理糧食平衡物價厲行節約
page 3	余俊賢抵星將視察馬來亞各地
page 3	我駐澳公使定期遞國書
page 3	高斯大使訪郭外長
page 3	梁龍返國將在外部任職
page 3	南洋華僑領袖歡迎德夫古柏駐節星洲
page 3	海內外各團體電慰前方將士
page 3	湘北我軍出擊夜襲岳州外圍在城郊設伏痛殲殘敵粵敵分路竄犯均被擊潰退
page 4	中路紅軍續獲大勝已迫近斯摩倫斯克德軍又被殲減四千人
page 4	北歐天氣轉寒芬境開始降雪
page 4	英轟炸機空襲義北部都林發生大火
page 4	美代表謁教皇呈遞總統親函內容與國際時局有關
page 4	英國向美保證援英物資用途一切用於執行戰爭不再輸出從事牟利
page 4	英眾院質問物資之分配
page 4	蘇聯磁鐵戰二
page 4	美鼓勵生產戰時原料將撥巨款津貼
page 4	美國援英物品源源抵角城輪船蝟集數十萬噸飛機運輸將可實現
page 4	伊朗納粹人員將交英蘇看管
page 4	英眾議員質問英日商務協定
page 4	德軍盤據薩丁尼亞義人出入亦受限制
page 4	一片撤僑聲
page 4	中緬發展商務緬產十六種特准進口安定我民生關係至鉅
page 4	英土商購乾果原則上大致商妥
page 4	馬來亞原料大批運蘇聯對蘇輸出數字占第三位其中以樹膠及錫最大宗
page 4	東京的動態
page 5	南路積極辦理防敵與剿匪工作欽縣守備區加緊清鄉合浦演習攻擊敵傘兵
page 5	邊境匪幫漸次肅清
page 5	兩陽四邑著匪就擒
page 5	某戰區經委會籌辦企業公司助成湘贛兩省經濟建設資本總額定為二千萬元
page 5	陳生麥匡會議歸來
page 5	季鸞先生哀思錄
page 5	越南華僑考察團抵桂黃主席接納提供各意見便利運輸開發廣西富源
page 5	粵東鹽務局長談鹽價飛漲原因鹽斤來源短少獎勵商民搶運今後整頓鹽政實行裁員減薪
page 5	中國史上之大教育家八
page 5	國府明令修正公布禁運資敵物品條例
page 5	桂省定期考送留美公費生本年度席名額共計二十人定十一月開始報名
page 5	韶工務局長談建設新韶關計劃電燈整理後已大放光明新市區界線亦大致劃定
page 6	一元獻機最低目標籌募港幣百萬元陳慶雲明日招待獻機會委員廣聯會策動一元獻機
page 6	航空貨運稽核處昨日開始辦公黃伯樵談述簽證標準嚴密限制商運之貨物
page 6	鯊魚涌日軍未見撤退小桂日軍傳已他調
page 6	印席變通簽證法便利我官商過境由港仰星赴印可就地辦手續
page 6	軍事演習圓滿結束
page 6	香港福州航運現時尚未恢復各輪船公司尚在觀望中傳上海方面有意先復航
page 6	大嶼山開發委會昨日舉行會議核准成立私人開發公司按原計劃籌資金卅萬元
page 6	九龍防空洞承建經過防空工程昨日七審
page 6	港可見日蝕天氣好人人可見廿一日上午開始
page 6	香港之革命樓臺馬小進廣播演講
page 6	霧重慶今日起獻演
page 6	華商會昨研究戰時保險問題認為戰時人將不保何以貨為並分函各行商徵詢意見
page 6	嶺大二次招考錄取新生揭曉計有陳作溥等九十六名前備取生錄取二十二人
page 6	馬思聰音樂會定期演奏演奏節目頗豐富
page 6	赤柱監獄官昨遭囚犯毆傷腿部
page 7	足球總會開月會規定球賽時間通過本月份舉行兩場慈善賽開辦足球裁判訓練班
page 7	滬排籃球義演功德圓滿收場男子籃球冠軍籃白隊女子排球盟主屬友星
page 7	鎮和紀念球賽明日開始交鋒孫院長開球孫夫人頒獎
page 7	游泳預賽吳年創新紀錄
page 7	滬公開游泳賽紀地秀創紀錄八百八十碼自由式泳費時十一分五四秒六
page 7	華人泳會獻金得萬餘元
page 7	星島隊大勝香港會成績八比一
page 7	鐵城杯民大對平正南華戰警察
page 7	林山綱球散記單打冠軍力格斯奮鬥史柯克夫人奇兵突出獲女錦標
page 7	樂斯杯賽民大勇破康元悠悠打退僑星
page 7	外匯牌價仍無變更美匯沉寂申匯靜穩
page 7	股票漲風益熾人心興奮買戶需求激增昨成交總值逾三十萬元
page 7	滬標金價起跌仍微
page 7	國幣市况仍頗堅穩
