page 2	滑翔機發達史劄記
page 3	南路我猛攻欽縣邕寧殘日恐慌萬狀粵北繼續挺進前鋒衝入增城
page 3	皖南日軍蠢動湘北鄂南我軍續進展
page 3	長子外圍激戰晉東南日軍其勢已挫
page 3	粵廣播電台昨日起恢復播音
page 3	中振會救濟桂南難胞再撥款五萬元
page 3	日本政黨與米內內閣下
page 3	桂戰區各縣設置行置省府已頒佈規程
page 3	某軍參謀長返桂談桂南天時地利與我有利邕寧日軍窘態百出所作為更背人道
page 3	節約救國蔣委長諭各機關廢歷年不得宴會
page 3	美使詹森明日由滬赴漢
page 3	日輪肇事撞沉滬德商航輪遇難者確數未詳
page 3	日對開放長江無實踐決心滬大陸報揭破日本陰謀
page 3	愛國不分僧俗井陘老僧捐產從戎
page 3	軍政部向工合訂購軍用毯數達百五十萬張
page 3	馬來僑胞回國服務團抵滇即將赴渝
page 3	日本對內對外難打開僵局美報評論汪兆銘之銑電不啻為日本求和傳聲筒
page 3	湯逆爾和失日人歡心傳已被監視
page 3	奴化教育潮安日軍迫兒童入日語學校讀書
page 3	滇發現金礦將由官商合資開採
page 3	廣東省銀行舉辦農貸救濟農民復興農村
page 3	日本軍心厭戰俘虜佐田猛激昂陳詞痛斥日軍閥誤國害民
page 3	清華大學恢復留美公費考試
page 3	滬謀殺案希臘人高作彌被人用刀砍斃
page 3	李主席電各縣呈報有功民眾俾便遵蔣委員長令獎卹廣州人心浮動市面蕭條
page 3	康王談話今後對蒙政將銳意革新
page 3	賓陽各界發動徵募布鞋口罩
page 3	南北大雪
page 3	中蘇郵航全線正式通航
page 4	全美各公團代表擁護對日禁運紛集美京進行推動畢德門主張贊成者益增多
page 4	美政府尋求援芬辦法羅斯福曾致函國會白朗主張迅予貸款
page 4	菲願為美保護國說奎松已予否認此項傳言愚笨可笑奎松邀羅斯福遊菲
page 4	波拉逝世我國人士表示哀悼遺體將舉行國葬禮
page 4	羅斯福演說充實國防確保民主制度教皇函美總統贊助和平
page 4	歐戰通信之五巴黎戰時新年三一九四 ０年元旦黎航信
page 4	荷比局勢緩和軍隊將可恢復例假美報責德威脅取巧
page 4	日醞釀新政潮大部議員不滿米內組閣軍部又鼓動反英蘇空氣
page 4	斯比上將殘骸鳥政府限令移去南美又發現德軍艦
page 4	義國人口統計
page 4	戈培爾狂言誣英擬擁廢皇復辟自稱對戰爭有把握
page 4	聯軍對德情報佔絕對優勢德軍行動瞭若指掌西線兩軍有哨兵戰
page 4	羅斯福夫人任工合發起人
page 4	拉多加湖北岸蘇軍大部被圍一切供給皆被斷絕蘇軍橫渡蜂腰未逞
page 4	汪兆銘的荒謬談話
page 4	悼波拉氏
page 5	江會戰事又起日犯荷塘被擊退中山安定西線日軍動搖
page 5	粵北加緊辦理戰區善後各機關商定救護辦法搶救人員已分頭出發
page 5	閩省沿海防務鞏固抗戰空氣濃厚
page 5	日機襲中山去年內損失統計
page 5	澳門黨部第一次大會在中山舉行
page 5	電白加緊抗戰準備召開團務會議
page 6	港府頒佈法令禁止擅運刊物文件一切印寫品須付郵遞運防範傳達不利本港消息
page 6	紅磡婦女募捐寒衣昨召開結束會議三千餘元已匯呈蔣夫人並定最近舉行頒獎典禮
page 6	教聯會遞呈教育司列舉校舍新例難於遵行各點在目前困難環境下請予改善
page 6	荷屬西印度華僑救濟深圳難民慨捐賑款二千九百餘元將用作修屋及撫卹之用
page 6	中央海外部獎勵僑胞輸財先行頒發獎狀以資鼓勵已函准行政院並發通告 
page 6	張善琨等昨日招待新聞界
page 6	隆鎮同鄉會昨舉行揭幕禮
page 6	英國戰時統制過分盈餘
page 6	銀業聯誼會今日舉行聯歡會
page 6	影戲明末遺恨今日試演
page 6	前車之鑑慎勿冒險回粵拉夫日有發生朝不保夕民居多被強佔閽者被毆
page 6	薛覺先籌設免費義學港九兩地分設數所積極籌備下月開課
page 7	旭和杯足球大戰南華巧逢水兵下午四時在掃桿埔場
page 7	雛鳳出奇制勝約瑟失足被擒小告山奴十二碼球宴客三比二陳德輝連搶三功
page 7	昨夜女子籃球仿林擊走西南四十五比二十一盧慧出色勵志寫意勝南華
page 7	東方改用新陣水兵輪三比零阿輝東山復出寶刀未老
page 7	籃球聯會明晚召開會議
page 7	今天戰表
page 7	光華後勁不繼二比二和香港
page 7	九龍陣容零亂敗於警察
page 7	外匯牌價無變動英美匯沉寂申匯穩定
page 7	過去一週間股票市穩定青洲英坭股價G先漲後跌全週成交約達九十萬元
page 7	八九金市昨交易停頓
page 8	人民之戰爭
page 8	英國的書會鬥爭
page 8	科學趣味
