page 2	翹首東北
page 3	龍州日軍向西侵擾經我痛擊狼狽回竄浙東日海軍又圖在餘姚登陸
page 3	昆明中法商會不滿越南禁輸一致要求恢復貨運駐越日監視團主任召回 
page 3	臨終不忘救國馬彩亭遺囑捐獻治喪費
page 3	粵省當局努力推進省政行政效率促進會制定中心工作中山大學決定全部遷回
page 3	浙閩沿海運輸尚未恢復
page 3	東北同胞堅強不屈抗日情緒熱烈異常蘇聯雜誌聚述東北現狀認為日人永無征服希望
page 3	滬法租界郵件檢查傳日方擬於週內實行
page 3	婦女慰勞總會下月一日成立三週年擴大慰勞及徵募運動
page 3	日政府新政綱今日可發表內閣與海陸軍意見一致蘇報論日本之夢想
page 3	日出雲艦突然駛離上海行蹤秘不宣佈
page 3	國府明令褒揚忠烈 
page 3	智勇兼全楊文昌李聯芳榮獲上峰嘉獎
page 3	財政金融考試五區同時舉行 
page 3	滬特一法院庭長錢鴻業被刺身中兩彈傷勢頗重租界將禁暴徒潛入活動
page 3	我駐國聯聯絡機關國府命令撤銷
page 3	滬米價回跌
page 3	黔省新縣制積極準備實施經費及幹部均訂有辦法 
page 3	法日在東京簽訂協定維持津法租界治安
page 3	巴爾幹問題的癥結二
page 3	日機兩批騷擾川東
page 3	晉東北我軍出擊稷王山日軍潰退
page 4	路透社記者壯烈殉職柯克斯君跳樓殞命東京續捕英僑十一名英大使正式提出抗議日官方竟謂逮捕外國間諜
page 4	美共和黨注意遠東之發展對目前政府措施不反對一部輿論主採直接行動 
page 4	德義羅保談話業已全部結束德義冀建立新東南歐羅總理對此行表滿意
page 4	蘇女飛行家作長途飛行
page 4	汎美大會工作大體已告完成哈瓦那草約一致通過對領土轉移決不承認
page 4	哈瓦那郵報警告阿根延
page 4	齊亞諾機關報高唱攻英謂先行轟炸各中心然後再作最後一擊
page 4	美國酷熱熱死五百人
page 4	糖及火柴日限制消費火柴桿縮細售價反提高 
page 4	蘇聯海軍日各軍港皆舉行演習蘇艦隊積極擴充中
page 4	貝當政府將嚴懲異已者達拉第等五人皆在其列開庭審判後或處以極刑
page 4	克萊琪當有辦法
page 4	阿部自騙自
page 4	土耳其發展對外貿易將充分利用土伊鐵路以期擴張英美印輸出 
page 4	德技術專家已抵莫斯科
page 4	中日戰爭三年來美國遠東外交的檢視六
page 4	日方禁止發表逮捕英僑消息
page 5	不堪日檢查員壓迫廣州灣開市民大會對濫禁商貨運過寸金橋提四辦法請法當局善後
page 5	偽軍爭骨日從中漁利馬騮洲海關被暫管呂葉兩逆結果一場空
page 5	江會戰局
page 5	日艦怕風
page 5	桂省府設衛生處加強衛生行政效能定於八月一日成立 
page 5	美學生代表由滇赴渝體認我抗戰精神
page 5	韶關點滴
page 5	西康日記一三二第六編貢噶紀行
page 5	經濟抗戰在廣東上記五座經濟堡壘
page 5	廿二血債合川被炸全城精華已付之一炬 
page 5	別動總隊
page 6	港僑各界昨日追悼張似旭由王牧師領導儀式肅穆俞鴻鈞致詞望繼續奮鬥
page 6	追悼會歸來
page 6	日艦遇風
page 6	未婚婦女可免疏散
page 6	呈請送回疏散婦孺英人意見未一致禀章因此須延斯呈遞代督對撤銷疏散命則完全贊成
page 6	疏散人數通知澳洲
page 6	女青年會徵求舊衣施贈中山難民
page 6	多人痛哭不願前往
page 6	官立工業學校開始招考新生無線電報建造汽車三班報名期至八月十七日止
page 6	荃灣容屋村大火茅屋十二間被焚深夜弄炊遺下灰燼起火發覺尚早故無傷斃人命
page 6	起火原因遺下灰燼
page 6	港六月份貿易達一萬萬餘元出入口均以糧食為最多時局動盪商業未受打擊
page 6	港青年獻劍團抵渝向委座獻劍慰勞前方將士九月返港學生通訊社數十人報名
page 6	增設義學急不容緩
page 6	經費來源已有的款
page 6	東華醫院將增設義學可收容免費學生一千名計劃草竣將呈當局核准
page 6	焚燬茅屋共十二間
page 6	荃灣商民奮力撲救
page 6	在菲婦孺開始運澳
page 6	歐亞航空公司港桂滇線開航因貨運極多未載旅客 
page 6	大道東得名茶樓茶客躍樓斃命自述死因謂係經濟壓迫入院後以傷重不獲救治
page 6	颱風由港北掠過五號風球昨晨四時除下輪船飛機均已恢復行駛
page 6	颶風行蹤 
page 7	東方南征足球隊今晨凱旋歸來此行戰績光輝博得各方好評二十一次比賽中戰勝十七場
page 7	滬合眾杯籃球又一幕激戰滬青勝友聯七八比五八雙方各擁名手演出緊湊
page 7	中華水藝會改週六舉行
page 7	學界籃球賽昨因雨改期 
page 7	分開籃球昨賽結果培英勝康元保羅克精勵
page 7	外匯牌價昨無變動美匯沉寂申匯穩靜
page 7	八九金市依然毫無生氣
page 7	股票市況穩定昨日成交五萬餘元 
page 7	國幣市況仍甚堅穩
page 7	上半年麵粉穀類入口數量激增約佔入口總額百分之二十其中華北及上海為數最多
page 7	足球總會聯賽組明日召開會議著手編訂下屆聯賽秩序正式討論星島參加問題
page 7	夏令籃球今日比賽秩序 
