page 2	社評英眾議院的外交辯論
page 3	東江我軍繼續反攻固縣鎮克復豫南日軍潰退
page 3	海外僑胞電領袖致敬擁護抗戰建國國策
page 3	青島Ｘ軍強佔德僑財產德領已提抗議
page 3	汪逆走狗繼續恫嚇滬記者
page 3	江浦偽縣長被我軍擊斃
page 3	華北傀儡又擬修改關稅
page 3	粵省府增加戰時教育經費留港失業教師將赴韶關工作
page 3	渝學術界舉行聯誼會
page 3	遠東危機與美國五美商務參贊安諾德著歷樵譯自美亞雜誌
page 3	閩南安民眾集團請纓殺Ｘ惠安青年踴躍投軍
page 3	滬郊我軍活躍Ｘ偽戒備森嚴東戰場將展開新局面
page 3	關外同胞紛紛入關逃難
page 3	Ｘ機窺陝
page 3	全國高等教育現狀戰後各校多已遷移院系設施重新調整
page 3	行政院會議在康設立技藝專校黔省財政廳易人
page 3	婦女慰勞會昨舉行二週紀念蔣夫人即席訓話
page 3	Ｘ在淪陷區搜括法幣大連丸輪由青開滬外籍婦女解衣檢查
page 3	行政院訂制拍發官電須知不久即可施行
page 3	京滬鐵路英籍股東權利被日肆意破壞
page 3	皖北水患阜陽受災最重
page 3	滬Ｘ舉行戶口調查
page 3	ＸＸ加緊煽動華北反英狂潮日本各地舉行反英大會
page 3	日本侵華武器仰給民主國家軍用原料供給英美佔首位
page 3	渝市各界舉行國民月會參加群眾極為踴躍總動員會派員督導
page 3	滬法租界昨又搜查
page 3	雅納爾離滬
page 3	番民代表向孔院長獻旗
page 4	英美法在遠東將採一致行動合力援助我國法幣張伯倫發表重要聲明
page 4	遠東問題辛克萊謂英國必須助華乘機與美合作
page 4	遠東問題張伯倫答英國並非退讓遠東政策不變
page 4	歐洲問題辛克萊謂英蘇談判遲緩對德亦乏決心
page 4	歐洲問題張伯倫答英決促成協定和平仍非無望
page 4	前外相艾登演說抨擊張伯倫政策
page 4	議員對政府政策希望能更趨積極
page 4	首相發表聲明後英輿論表示安慰
page 4	重慶三國體電羅斯福對其遠東政策表示敬佩之意
page 4	波蘭外次將赴莫斯科商擴充蘇波商務問題
page 4	英日小組會續商經濟問題英拒絕日方所提要求治安問題傳已獲諒解
page 4	堀內訪赫爾對美廢約照會要求予以解釋
page 4	波蘭但澤間將起經濟戰福斯德將謁希特勒討論秋間大舉問題
page 4	王景岐訪波蘭外次
page 4	英法軍事代表團將聯袂赴蘇英代表團今日抵法
page 4	德陸海空軍舉行大演習規模之大為數年來僅見義國陸軍同時舉行演習
page 4	安慰的答覆
page 4	充實遠東堡壘
page 5	犯橫門Ｘ大部潰退中山形勢已和緩Ｘ有轉擾寶安模樣
page 5	粵省禁烟制定宣傳網要
page 5	深圳巡禮記
page 5	瓊島我軍部署總反攻黨政軍重新調整改善游擊隊並編練新軍
page 5	茂名被炸死傷十二人
page 5	中山縣府實施統制穀米辦法自本月一日起至三十一日止在儲粮期內運輸須領通行證
page 6	華人徵役將開始整理登記表類別登記人英籍兵役法今日起實施
page 6	全港小販工商聯會成立團結起來努力救國工作吳鐵城派代表蒞臨致訓
page 6	募集蚊賬昨日得欵千元婦女團體將為擴大徵募
page 6	建造商會將呈請四華人代表代請當局減低沙價
page 6	燕大校長司徒雷登晉謁我當局已返港
page 6	深圳農村福利會贈送瓜菜佳種以一部分分散香港新界有欲試種者可致函索取
page 6	難民工業社製品展賣仕女購買極為踴躍
page 6	被控勒索之英副幫辦義華士自稱當日微醺深慮舛誤曾電嘉利請教視事前服阿士匹羅數片
page 6	中環甲區防訓第二班昨晚舉行開學禮施柏堅親蒞致訓
page 6	國立各院校考試地點決定教部派專員携試題來港考試完竣試卷將送昆明
page 7	南華隊在吉隆坡六比三勝雪蘭峨馮景祥陳德渾黎兆榮先後各中兩球
page 7	暹羅網球隊十五攻打菲島菲選出加維亞等迎戰
page 7	足球鋼門黃紀良改月底赴星
page 7	送人散記
page 7	德權鼎小球今天有劇戰
page 7	夏令籃球劇戰仿中虹虹奏凱
page 7	港單車義賽賽員號碼昨日已發出
page 7	港滬埠際游泳在即上海加緊訓練週末分別舉辦水藝會定廿六日便停止演習
page 7	澳青年運動家苦練長跑五百六十英里十四日可跑畢
page 7	外匯牌價各有漲縮申匯市況仍穩定華商銀行拋出申鈔以應需求英匯美匯市況依然穩而沉寂
page 7	八九金市尚屬穩定買賣稀少價格微降
page 7	股票仍欠靈活買戶方面依然裹足不前全日成交總值僅八萬元
page 7	英金不動英銀近平遠跌
