page 1	社評短期國庫券發行了
page 2	河南全境在烽火中宛西豫南大戰方酣鎮平內鄉爭奪激烈隴海線西段靈寶亦告急
page 2	立院會議會期難定民青兩黨不滿立委選舉分別在滬開會商討對策傳兩黨將拒絕出席立院會議
page 2	我控訴這樣的大學教育
page 2	憲政督導委會舉行籌備會議簽署國代也成立了組織
page 2	董顯光答問政治法律兩難兼顧只有請求兩黨諒解
page 2	布列特到南京對於此行任務諱莫如深他說要到台灣華南看看
page 2	中美實施關稅協定美總統杜魯門發表公告
page 2	錢新之捐款一億作為聯合國兒童救濟金
page 2	營利事業所得稅財部再嚴令繳納
page 2	未來政府人事京滬傳說天天不同傳張群將任總統府秘書長
page 2	轟動羊城倒閉案宋子文下令徹查
page 2	楊森昨就職
page 2	業餘無線電協會空中年會昨舉行
page 2	黃旭初改今天飛桂他說廣西保安團將擴充地方行政困難首在財政枯竭
page 2	湘桂糧食濟粵粵田糧處發表最近情形
page 2	緬甸新憲不利華僑僑委會請外交部交涉
page 2	駐華美軍刑事案件美方審判每欠公平國防部已擬就改善審判程序
page 2	北平的新猷城郊各區組清共委會
page 2	孔憲榮舊部當局已收編
page 2	張彭春談新聞會議這次大會確定了新聞自由是人民的基本權利
page 2	發展基本教育教部成立研究實騐委會
page 2	蘇州上空的慘劇航校教練機一架失事駕駛員兩人當場殞命
page 2	美援醫藥器材本月可運抵華
page 3	蘇聯質詢美國對日政策加速日本經濟復興理由安在為何不將計畫通知遠東委會中菲紐澳四國支持蘇方立場
page 3	戰時曾遭日人劫掠申請賠償莫再遲延盟總宣布十一月為最後期限
page 3	日本怎樣在進行再武裝
page 3	美國門開方便將准日人入境
page 3	日貨質劣價昂外商大喊上當不已
page 3	宇素難逃一死八日執行絞決
page 3	霍奇拒絕韓人要求不肯與蘇同時撤軍並表示不承認平壤會議
page 3	英外交部官員將訪各自治領謀調協對日和約歧見
page 3	美鐵路工人定期大罷工罷工人數將達十九萬
page 3	韓僑教育問題日政府稍讓步
page 3	澳歧視有色人種墨爾鉢恩大學學生抗議
page 3	朝鮮統一可期金奎植平壞歸來的表示各領袖將聲明所獲協議
page 3	英下院辯論外交政策貝文闡明英立場說英蘇關係絕難獲徹底解決除非蘇聯改變政治思想態度
page 3	美援貸款有條件霍夫曼宣布廣泛政策相借錢要有信用及能早還本
page 3	希捕殺共黨百餘名被槍決
page 3	歐洲聯合會議明在海牙開幕
page 3	美國着手援歐正式開始洽商
page 3	馬歇爾反對改組聯合國主善用現在機構無需新組織暗示美蘇歧見尚有協調希望
page 3	組緊急理事會按步成立聯邦
page 3	五億美元那裏去杜魯門解釋一番用於緊急援助義法等國
page 3	聖地衝突何時了阿猶各走極端猶人定本月十五立國阿聯軍揚言日內入境
page 3	吃羊頭引起淘金熱養禽獸被控違警章
page 4	南洋經濟協會將討論防止日貨傾銷
page 4	基隆街火藥爆炸死一人重傷四人
page 4	韓文葆自東北來談鞍山鐵鑛興衰
page 4	反對軍債案籌款付訟費
page 4	香港女聲舉辦少女日徵文運動女青年會開設縫紉班
page 4	飲食業請配煤申請書今送出
page 4	鏹水洒婦人昨天又一起
page 4	必達治咳水市上有偽造者
page 4	錯認丈夫鄰里嘲笑少婦竟爾輕生自三樓跳下傷重身死
page 4	警察查魚市場
page 4	反對虐待牲畜會將積極推進會務
page 4	九盜闖尼姑庵劫去衣物值一百九十元
page 4	死人也鬧房荒墳地有人炒買
page 5	上海金鈔繼續上漲美鈔叩百萬金破五千萬廣幫來港套申匯市挾升
page 5	紗布南運批准穗市行莊復業中澳協定審定
page 5	穗市謠言多金鈔物價漲港幣最高十五萬六千元
page 5	金市穩定向好美匯美鈔齊降
page 5	星馬國茶去路滯荷印銷途窒息內銷有限
page 5	各種出口貨最低結匯辦法旨在防止逃避外匯
page 5	馬來亞三月份可割膠園面積計一百八十餘萬英畝比二月份減八千餘畝
page 5	怎樣評定棉價　合理
page 5	梧州一週經濟物價平疲桐油稍起
page 5	金過五關鈔越百萬
page 5	米糧食油趨穩
page 5	粵東煤產銷
page 5	海南鐵砂輸日三月全部運完
page 5	美貨領證出口首批物品詳單
page 5	海南存鹽暴跌白米紗布齊升
page 5	工業用黃金配至四月止
page 6	和風麗日中全運會開幕兒女英雄畢集盛況空前火炬接力跑依時抵達會場
page 6	張伯苓宣讀訓詞朱家驊勗勉努力
page 6	總領隊會議各項比賽原則取六名已排定秩序不能更改
page 6	全運花絮長期票發現黑市全運之花表情好四川代表發牢騷
page 6	世運隊三戰三勝四比零挫菲學聯
page 6	全運新聞片昨在滬放映
page 6	足球賽開始角逐廣東隊旗開得勝四比零首挫河南隊
page 6	台灣省選手許通練習跑步姿勢
page 6	籃球首次開仗青島初勝熱河
page 6	曾鳳群昨飛滬結婚並出席全運
page 6	世運隊在菲島三場收入成績可觀球王準備親上火線
page 6	看今屆全運會憶上屆全運會
page 6	本報滬館捐贈籃球冠軍獎品
page 6	粵穗全運選手於四月廿七日抵滬之一批與歡迎者合攝
page 6	馬華參加全運足球隊全體合影
page 6	馬華足球隊實力名將星散不夠堅強行前兩賽一和一勝
page 6	本龍青年會開辦國術班並推行識字運動
page 7	瓊島儋縣一大械鬥前後將十年死傷逾兩千官方調停最近始告和解
page 7	四邑煙賭為害日烈賭注全是黃金白米各縣參會指摘當局放任開平旅穗同鄉要求取締
page 7	港幣一切都是港幣廣九沿線的情形
page 7	募兵員豬仔頭其賓都是兵販子台山一些新名詞
page 7	湯恩伯將到韶視察新軍訓練情形
page 7	搶運物資聲中海南獲一興奮劑建設消息使若干人樂觀榆林三亞地皮炒風轉烈
page 7	慶祝總統就職軍七淹水演大台北游藝會劇目排定
page 7	鄂裁撤航業局
page 7	深圳笋岡村深夜繳械一幕
page 7	多事的武漢學校漢市女中炸傷十餘學生省立高商演出塌樓慘劇
page 7	禍水因漏水大吃拳腳並被淋一身屎尿
page 7	龍捲風中山近會出現
page 7	割耳之刑妻子收到情書耳朵被夫割掉
