page 2	社評痛定思痛
page 3	美撥款四十二萬萬加緊援助中英等國美總統報告租借法實施情形軍用品已運者值七千五百萬
page 3	日對荷印色厲內荏芳澤又稱繼續努力
page 3	日報嘵嘵不休
page 3	菲產品運美免徵入口稅泰定斯之建議
page 3	抗戰四年來的中國工程師一
page 3	美醫藥品源源運華
page 3	日本無力供給物資泰改向美尋取出路
page 3	魯斯播音演講日侵華失敗華軍增至四百萬人侵略者受重大打擊
page 3	日謀奪取南洋資源設南方特委會積極開始活動
page 3	日機分飛各地肆虐
page 3	郭泰祺氏飛往仰光卡爾大使返渝
page 3	糧食增產農林部派專員分赴各省督導
page 3	整理田賦各委業經聘派即可召開會議
page 3	滬兒童醫院用具被劫走
page 3	滬工部局日董住所炸彈爆發
page 3	改進邊疆教育教部召開全國邊教會議
page 3	蘇日商約草案在莫斯科簽訂
page 3	全國財政會議各代表陸續抵渝後日舉行開幕式
page 3	美撥款四十二萬萬加緊援助中英等國美總統報告租借法實施情形軍用品已運者值七千五百萬
page 3	日對荷印色厲內荏芳澤又稱繼續努力
page 3	日報嘵嘵不休
page 3	抗戰四年來的中國工程師
page 3	菲產品運美免徵入口稅泰定斯之建議
page 3	日本無力供給物資泰改向美尋取出路
page 3	魯斯播音演講日侵華失敗華軍增至四百萬人侵略者受重大打擊
page 3	美醫藥品源源運華
page 3	郭泰祺氏飛往仰光卡爾大使　　返渝
page 3	糧食增產農林部派專員分赴各省督導
page 3	日謀奪取南洋資源設南方特委會積極開始活動
page 3	日機分飛各地肆虐
page 3	整理田賦各委業經聘派即可召開會議
page 3	改進邊疆教育教部召開全國邊教會議
page 3	滬工部局日董住所炸彈爆發
page 3	滬兒童醫院用具被劫走
page 3	蘇日商約草案在莫斯科簽訂
page 3	全國財政會議各代表陸續抵渝後日舉行開幕式
page 4	皖南發生激戰日軍南犯被我包圍十八集團軍繼續抗戰我發言人斥日方讕言
page 4	敘利亞英軍分路挺進直薄主要城邑大馬色貝魯特阿勒普皆告急維希向英提二次抗議
page 4	橫渡大西洋飛行新紀錄十三小時半
page 4	英機生產數量有顯著增加比弗布洛克在貴院演講英機追炸由厪親王號
page 4	英軍大批登陸
page 4	德總部發表大西洋之戰
page 4	由敘利亞之戰說到誰是法蘭西民族的救星一
page 4	德軍萬人傳又開抵芬蘭英認德圖恫嚇莫斯科克里浦斯已返抵英國蘇向英保證並未與德締新約
page 4	美童軍創辦人比爾德逝世享年九十一歲
page 4	美參院將授權總統防止罷工可接收影響國防計劃之工廠北美航空公司全部復工
page 4	澳洲當局加緊軍火生產近代戰爭中之武器澳洲工廠皆能自製
page 4	玻利維亞發生閣潮
page 4	巴爾幹兩戰役德軍死傷人數德統帥部發表公報
page 4	美加發展北美水利
page 4	蘇日又一明流
page 5	羅卓英將軍談國內外形勢觀察日本未敢開罪美國南進不易對贛北戰事表示樂觀與信心
page 5	自動捐獻與購買公債
page 5	桂南各地秩序安定
page 5	粵義民生產事業積極發展中增撥各工廠資金籌設職業介紹所
page 5	斗門方面戰事我奮勇擊截中
page 5	粵湘閩三財長談各省財政現狀
page 5	桂糧食增產會議圓滿結束增產實施計劃已通過各區縣即將分別開會
page 5	談話會黃陳均有報告
page 5	糧局徵集大批商車趕運湘米救濟東江
page 5	增產會各區縣將召開
page 5	桂省各界籌款購機熱
page 5	廣州灣新公使就職視事越督巡視芒街撤換當地稅警
page 5	徐景唐巡抵惠州召開軍事會議對攻守大計有所決定日內將分赴戰地視察
page 6	美空軍訪華團乘輪離港返菲島港府派軍用機凌空歡送行前曾參觀港空防設備
page 6	輔政司史美談華僑疏散辦法如時局緊張當通告離港不能離去者就協助守土
page 6	港府昨慶祝英王誕辰港督招待外賓賈乃錫主持隆重閱兵禮有功華人羅文錦等獲獎
page 6	渣打銀行報告論述我為遠東穩定因素中國抗戰四年未稍削弱日負軍費重荷經濟困頓
page 6	官米共分六種包括上米中米米碎米碌零售米商請加設五米站
page 6	文藝協會放映幼年高爾基地點在中央戲院為紀念高氏逝世
page 6	中華廠商聯會下週開始募債普益商會募債十五萬元購買戰債均按九四繳款
page 6	港滬甬紳商公宴虞洽卿聯合為虞祝嘏
page 6	一仙輔幣券今日發行計共二百萬張
page 6	的士司機謁勞工司提出四項改善要求洋衣工友請求調解
page 6	王濟遠先生赴美前之畫展
page 6	王濟遠畫展今午開幕
page 6	酒家捐炒飯已達萬碗天燕酒家續捐千碗
page 7	中西游泳慈善賽華會決計參加昨午曾召開會議商討進行辦法二百接力擬改為三百六人接力
page 7	老惠第二信
page 7	惠堂弄瓦
page 7	星甲組足球聯賽華人六出祈山薩特蘭隊飽吃六隻鴨蛋數千迷胞莫不皆大歡喜
page 7	單車比賽由荃灣作起點
page 7	中學籃球比賽興中勇克香島
page 7	南華負於軍聯再論失敗癥結
page 7	東方水球隊週末戰米軍泳訓班開始訓練
page 7	潮州籃球隊定十五日成立
