page 2	社評决定援蘇的英國海空軍
page 3	高斯大使訪郭外長兩國保持密切接觸郭外長談話我凝視美日談話華盛頓傳美日默契暫時停進
page 3	美國議會昨日重開租借法案二次撥款總數將達五十萬萬
page 3	東京納粹武官胡言亂語謂將戰勝英國
page 3	陪都各報聯合委會發起公葬張季鸞氏
page 3	若杉來去匆忙引起各方注目
page 3	芳澤使越任務
page 3	美赴蘇代表團一部抵倫敦蘇聯駐美大使同行哈裏曼本週內可抵倫敦
page 3	英國權威報紙讃揚中蘇抗戰謂中英美蘇四大國間戰後應建立新的同情
page 3	泰國政府公布人民戰時法令
page 3	外匯統制委員會舉行首次會議導照政府外匯政策已劃分四部分工作
page 3	普法姆返星
page 3	美高度汽油決停止運滬
page 3	滬親日俄僑又兩人被殺
page 3	徐謨公使行抵雪梨澳公使即飛渝履新
page 3	公祭季鷥先生文
page 3	渝港間關係密切正盡力繼續合作前港督羅富國過星談話
page 3	美軍事代表團即將首途來華
page 3	中央研究院紐西北科學考察團
page 3	鄂西偽軍紛紛反正
page 3	美國陸軍舉行大規模演習四十萬武裝人員參加檢討美國之新軍力量
page 3	領袖提倡工作競賽實施綱要即可頒行
page 3	鄂南我軍出擊一舉克復通山晉冀罕我軍展開反掃蕩戰平漢路南段我軍奏捷
page 3	滬敵陸戰隊牧田任司令
page 3	紐約華僑匯欵慰勞榮譽軍人
page 3	汛美公司舉辦歐美新航線由紐約直飛里斯本
page 3	中樞紀念週朱家驊氏報告視察西北經過
page 4	保衛列寧格勒郊外鏖戰場淪為火獄伏羅希洛夫下令反攻
page 4	英新式戰鬥機開抵蘇聯前線海軍亦準備出動援蘇
page 4	蘇聯警告希特勒請勿狂妄拿破侖抵莫斯科之夕納粹在東線仍難寸進
page 4	芬蘭民食恐龍慌軍士無心戀戰
page 4	南美內幕二
page 4	馬拿馬運河附近發現軸心游擊艦英荷船舶數艘恐已遭難
page 4	伊朗境內德僑仍圖最後掙扎英蘇促伊朗採強硬態度
page 4	美海軍開始執行消滅德艦命令美海長諾克斯作公開聲明
page 4	美新主力艦將行下水禮
page 4	英國空軍襲擊納粹海上交通
page 4	土態度堅定德土談判不涉政治問題
page 4	暫時停進
page 5	中山戰事又起敵分兩路犯九區竄入浮墟後尚在激戰中石岐混亂偽方統制貨運
page 5	檢閱新式坦克車隊
page 5	英印精銳部隊源源增防馬來亞北部防禦力量益見鞏固
page 5	北馬防務日趨鞏固
page 5	季驚先生哀思錄
page 5	胡適大使白話唁電
page 5	廣西積極提倡裁培冬季作物省府農管處訂定實施辦法增加面積取締非必要作物
page 5	中國史上之大教育家十一
page 6	我國幼年空校教長抵港談學校辦理情形第一二期辦理成績甚佳第三期定明年開始招生
page 6	平糶會昨開始售飯成績頗為美滿衛生米煮飯購者甚踴躍官米局明日分八區售衛生米
page 6	公共飯堂昨日開市
page 6	防空工程案鄺榮賄金卑路昨被警方拘控准繳保二萬出外候訊鄺榮之妻昨被傳作供
page 6	港入口人數逐漸減少因審查核發較嚴
page 6	颶風又威脅本港昨懸七號風球颶風已吹至喼咯海面隨時將有進襲港可能
page 6	新港督連日設宴招待軍政官員昨晚歡宴行政局議員
page 6	模型飛機協會清查賬目比賽賬目核清彭育棠等辭職
page 6	黃炎培為戰債事函各銀行禮遇購債繳款同胞
page 6	僑團回國親察團籌備積極最遲年底成行羅旭龢表示願同行返國
page 7	南華田徑測驗賽今日開始報名男女兩組標準成績正式公布如此次成功將舉辦全港比賽
page 7	血壓和健康
page 7	港華人游泳賽預賽改期
page 7	銀牌籃球大戰星島迎抗育賢今日下午六時半在卜公球場首場僑星對黑貓
page 7	公開男女投籃賽下月初旬開始
page 7	中華盾馬祿臣勝仗三比二贏約瑟
page 7	中青學籃比賽細則修正
page 7	卓雄杯決賽摩托戰東山
page 7	校際小球賽月內舉辦章程日間公布
page 7	居聯會水球隊週末出征澳門第七次水藝十九舉行
page 7	外匯牌價仍無變更申匯市況續見好轉
page 7	存戶紛紛拋出股票轉趨下游供過於求影響價格回跌昨日成交共二十五萬元
page 7	國幣市況仍甚堅穩
page 7	滬標金價先漲後降
