page 2	論新外匯政策
page 3	美澳進行外交談話討論對華合作問題包括以大量物資加緊援華美準備貨款予蘇俾購買軍需品
page 3	英政府否認鬆弛對日封鎖惟承認有意與日交換貨物新聞紀事報提出警告
page 3	美國擴軍動態二
page 3	英帝國各總理將舉行會議加總理已抵倫敦
page 3	美油源源運蘇日表示焦急謂不能繼續漠視
page 3	澳洲空軍人員抵加從事訓練
page 3	再度防空演習嚴厲執行燈火管制
page 3	日本汽油荒所有汽油車輛一律禁止行駛
page 3	澳工黨反對孟席斯赴倫敦政府黨則堅持原來主張
page 3	外部新猷積極整頓部務加強人事機構
page 3	戰時英國社會政治進步階級鴻溝日漸縮小美外交協會檢討之結論
page 3	日本之末路太平洋反侵略陣容益趨強固日本到處闖禍自陷四面包圍
page 3	美國防撥款達五百萬萬
page 3	我贊助英美宣言華盛頓印象極佳
page 3	德機飛冰島英機升空追擊
page 3	日侵略性成將至死不悟南進陰謀加緊準備越南一切內政悉受控制
page 3	美太平洋沿岸舉行軍事演習馬夏爾史汀生親自主持
page 3	泰國當局加強空防新國防部長已委出
page 3	澳內長警告日本切勿動手並盛譽荷印防務鞏固
page 3	墨西哥提防軸心活動議員將提有效建議
page 3	大西洋美艦隊確保海洋自由務使援英物品抵達英國
page 4	列寧格勒形勢仍緊德軍加緊進攻中部戰線紅軍反攻中
page 4	蘇貫澈焦土政策烏克蘭工業全毀
page 4	紅軍士氣堅強納粹難獲戰果
page 4	蘇京舉行防毒演習
page 4	美國的禁運與日本三
page 4	維希傳英軍艦開入吉蒲堤灣
page 4	維希每一官員均被納粹監視
page 4	傳維希准許德使用非洲軍事根據地德以撤退一部分駐軍為報酬
page 4	義報傳英軍在法境登陸
page 4	柏林受突襲威脅德準備遷都
page 4	鄂我軍襲擊得手衝入隨縣殺傷敵兵三百餘人
page 4	中英美平準基金將開始運用法幣地位更趨穩固
page 4	自由法軍聲勢日隆
page 4	伊朗態度猶豫傳受蘇德戰事影響蘇聯正研究伊朗復處牒
page 4	新穀上市川黔米價大跌
page 4	糧食庫券各省分配額已確定川省徵購糧食下月開始
page 4	聯美中航公司開拓遠東航路
page 4	黔省節糧實行禁酒
page 4	蔣委長撥款撫慰滇難胞
page 4	敵機襲湘桂遭我猛烈射擊
page 4	徵募寒衣三百萬件
page 4	一個喜訊
page 4	不漠視便怎樣
page 4	派定高考監試委員監犯伍宗駿等減刑
page 5	谷部長廣播演講建立空軍國防擴大推行三種運動促全國上下積極普遍實施
page 5	我國合作事業的演進一
page 5	中山敵偽軍壟斷糧食規定低賤價格大量收買限制各區鄉民積存儲藏
page 5	交部嚴密管理電政技術人員未登記者將不得供職
page 5	觀測日蝕中大隊已出發
page 5	雷殷臨別時發表粵政觀感地方行政業已走上軌道各級長官均能刻苦耐勞
page 5	廣州灣限制貨物運輸最近變本加厲
page 5	中振會在粵省增設製衣工廠預期十一月可正式成立估計初期收容工人五百
page 5	白豬鬃改訂牌價日貿公國
page 6	港僑團聯合發起一元獻機運動昨開代表會起草會章陳慶雲出席演講倡導
page 6	中大新生考試榜示下月揭曉全部試卷評妥寄韶核定今年錄取名額特別擴大
page 6	港府昨頒布命令嚴禁貨物運日該命令並包括歐洲各國由港輸日以鎢五金最多
page 6	日婦孺一批離港往廣州
page 6	黃炎培訪各僑領促進募債運動昨日下午招待港新聞界榫各界募債運動成績
page 6	義勇軍三千餘人分坦克砲隊機槍救護隊全體參加此次軍事演習
page 6	九龍城昨發生血案廚師操刀傷兩夥伴傷人後持刀自殺暈倒
page 6	節省衣料倡著舊衣經濟委會建議
page 6	商會兩主席
page 6	銀業界獻金蔣委員長來電嘉勉
page 6	防空洞建築工程司突在寓內自殺
page 6	香港米石大量運澳米商居奇被判罰款
page 6	港澳振濟會繼續救濟失常青年
page 6	廣州大學最近之出版事業
page 7	三華遠征隊歸來後球國頓呈熱鬧星島東方兵馬大致一如去屆南華會定廿三日歡宴南遊隊
page 7	星猛虎籃球隊輕取精武會三十二比十八在吉隆坡大捷黃紀良大試身手
page 7	星東征澳記威震南澳洲九
page 7	居聯會籌組港澳籃球賽
page 7	夏籃昨無戰事今日兩場
page 7	卓雄杯錦輝對摩托
page 7	鐵城杯籃球賽銀聯出席迎戰平正隊
page 7	見聞雜記由香港說到澳洲
page 7	港小型球聯會昨開聯歡大會
page 7	股票市況呆滯昨日成交總值七萬餘元
page 7	外匯牌價俱無變更申匯市況依然穩靜
page 7	國幣市況略趨下游
