page 1	社評困惑中的英國工黨
page 2	總統官邸昨會議頻繁行政院長人選已內定立法院今天將開大會討論
page 2	行政院長難產的原因局勢太嚴重任何人都難幹好吃力不討好沒有人願意上台
page 2	李宗仁暫不赴平
page 2	何應欽談話沒有政治經驗不願組閣已經請蔣總統另選賢能
page 2	從官民糾紛談縣長民選問題
page 2	陳英士等六人國府明令國葬
page 2	壓低上海物價當局令吳國楨俞鴻鈞合作日用品供求情形調查完竣
page 2	陳立夫將赴美出席道德運動大會
page 2	新任央行總裁俞鴻均定今天視事他就職後金融政策不變仍要拋售物資抽緊銀根傳張嘉璈將任某外交要職
page 2	首批援華美糧霍夫曼已批准
page 2	裴文中抵蘭將率隊作地質旅行
page 2	新疆國代遊台灣難耐悶熱懷念羊肉對上海印象是錢
page 2	監院召集勢將延期可能在六月十日以後
page 2	灤煤南運本月已有十二萬噸
page 2	中國航空公司要求運費加價
page 2	工人搭凉棚錯接了電路北平燒壞了四百隻電表
page 2	漢江水漲漢口防水閘下水道封閉
page 2	司徒巴大維昨抵台廿六日飛屏東看看新軍廿八日自台北飛返南京
page 2	國軍兩路反攻宛西平漢路東情況又緊鄂中沙市以北后港不守承德暫穩平古路有激戰
page 2	陝西縣長十人殉職
page 2	英大使赴榆中謁成吉思汗陵
page 2	日報送秋波說感謝中國寬大政策並熱中建立經濟關係
page 2	任教卅五年桃李滿天下武大為張鏡澄開慶祝會
page 2	教部電京兩校長禁學生舉行晚會
page 3	華萊士向美國權要挑戰要求公開辯論外交政策斥兩黨政客拒絕蘇談判建議
page 3	指責華府態度蘇聯駁斥美國聲明說美應對兩國現局負責
page 3	反對德萊柏計劃
page 3	美援物資源源外運經濟合作局簽發兩批供應品歐洲中國各得六百餘萬美元
page 3	管制魯爾問題美與各國僵持
page 3	下令聖地停戰安理會初步表決通過英美續謀解決彼此歧見
page 3	英噴射式戰鬥機飛歐洲各地表演
page 3	義新閣難產在朝兩黨爭權
page 3	阿軍圍困耶路撒冷美總領事殉難為奔走停戰被阿人槍擊
page 3	南韓美撤軍無期說要待政府組成武力建立軍隊走後仍留下顧問人員
page 3	捷即舉行大選高德華總理廣播演講
page 3	美助日復興論據旨在改善亞洲人民生活日本不會再作侵畧行動
page 3	日本出賣小島標價不多蒙古發現化石年代甚古
page 3	越傀儡政府即成立阮文春明日來港晤保大返越後將與法簽訂協定
page 3	越境法軍縱火僑胞無辜遭殃居宅被焚百餘人流離失所
page 3	日戰犯審復審傳盟國將另組國際法庭再審二十餘名戰爭罪魁
page 3	羅馬尼亞遜王被奪公民資格
page 3	日人樂觀經濟復興經濟安定部發表白皮書說美國援助使希望激增
page 3	美力圖提高日工業水準遠東委員會英代表反對主應依大多數國家意見決定
page 4	關於學童失蹤事件教師發揮意見望不因此捐害全港僑教
page 4	海灘閒話星期日的淺水灣
page 4	嚴加管制尤屬悖謬
page 4	九龍總商會說明貸款辦法
page 4	新界公路上白畫搶劫巴士司機乘客損失千元
page 4	中國總稅務司李度昨來港
page 4	華人機器會發失業救濟金
page 4	香樂斯回國將由兢捷接任其工作
page 4	中國旅行社遷址改在啟明行二樓辦公以新姿態為社會服務
page 4	山頂看風景忽遇三強盜被搶攝影機等物
