page 2	南太平洋戰略形勢的劇變
page 3	蓄意擾亂南太平洋
page 3	德義日締三國同盟昨午已在柏林簽字包括軍事政治經濟期限十年我政府當局正予以密切注意
page 3	英美反應 
page 3	我方觀察
page 3	中英文化協會致電英文化界名流希望促英政府開放緬甸公路
page 3	美各方對禁運反應極為良好
page 3	日本大肆咆哮大言恫嚇英美 
page 3	美貸款成立滬人心振奮外匯　鬆法幣益固
page 3	越南北部日軍仍繼續南進法向日要求派大員阻止西原無能為力傳已返日
page 3	我認美禁運令嚴重打擊日本
page 3	美總統宣布禁止廢鐵出口羅斯福關切遠東危機東京充滿反美情緒 
page 3	滬工潮益形擴大兩 租界治安堪虞
page 3	協定全文
page 4	我軍攻入立登晉南我軍猛襲同蒲路沿晉高公路戰況激烈
page 4	豫各界紛起募捐
page 4	歐戰現勢與日本
page 4	德國大砲轟擊多佛
page 4	希土談判軍事協定
page 4	陳嘉庚氏在閩發表談話暢談數月視察觀感貫澈傾資興學初衷 
page 4	羅匈邊界發生衝突
page 4	甘地晤印督探求打開僵局辦法
page 4	美援華捐款與行贈與儀式美總統夫人親自蒞臨胡大使接待並致謝辭
page 4	進出口銀行案羅斯福已簽署
page 4	維希政治獄方興未艾杜會黨領袖被捕
page 4	政府應召回駐德大使
page 4	蘇聯要當心
page 4	羅逮捕英人被控籌劃破壞工作
page 4	為什麼美國需要新加坡二
page 4	王獨清治喪費文藝獎金委會撥助
page 4	召集國民大會國府明令改期一切未完準備事項仍應積極繼續進行 
page 4	粵政視團下月一日出發
page 4	日內閣委出新閣員政黨領袖亦得分潤
page 4	德機續炸英倫英機大炸沿峽海港
page 4	我方權威人士痛斥日人造謠自相矛盾不值一笑
page 5	南華新軍迎戰九龍米杜息巧逢海軍隊龍爭虎鬥將為華隊心腹之患快活谷中聖約瑟出擊香港會 
page 5	加路連山南華迎戰九龍
page 5	勇森金海澄滔決重返東方效勞明日對抗士葛阿鍾先打頭陣從此華會三強又成鼎足之勢
page 5	快活谷中香港戰聖約瑟
page 5	南華水運昨晚功德圓滿
page 5	今晚最後一次游泳冠軍決賽百碼自由式吳年胸有成竹
page 5	德權鼎小球今日兩場魚業對洋務記者戰大華
page 5	三華會實力漫談
page 5	銅鑼灣畔海軍對米杜息
page 6	美駐港總領事否認撤僑之謠傳美婦孺由越來港者不多英婦孺當局將限令離港
page 6	某旅客談由粵來港經過佛山停航迫得繞道澳門飽嘗艱苦面部尚有瘀痕
page 6	徐謙遺體昨日大殮下月五日舉殯
page 6	冷藏業本年大獲厚利
page 6	省救季會港分會昨舉行常務會議捐冊捐款催促各界繳回釐印局准收據免貼印花
page 6	報告事項
page 6	討論事項
page 6	張善子畫展明日假勝斯酒店舉行于斌電張氏從速赴渝
page 6	棺柩遷新界安葬僑團表示反對東院聯席會亦未予通過運棺過港恐遭風雨危險
page 6	余賀增義演成績甚佳演一場得二千五百元
page 6	書法演講
page 6	非官議員
page 6	霍亂症
page 6	經司來電
page 6	港仰間空郵中航公司擬代運遞
page 6	血灑桃花扇影片被擄劫失而複得探目劉枝二小時內破案先後拘捕三人今晨提審
page 6	港澳振濟會舉辦免費中學生考試報名者三百八十餘人今日在華僑中學舉行 
page 6	孫家哲太夫人前晚逝世今日下午六時大殮
page 6	難民的救星蔡惜斯每週黃背嶺分散衣食藥饑寒得溫飽衷心始自安
page 7	粵毫券提高比率每元值國幣七角行使極為便利公私交收均便經濟戰獲得成功
page 7	我軍分路進擊江會灣仔澳門交通未復
page 7	中山留澳難民給資遣散短期內將實行
page 7	中山大學稱粵北十月中旬開學新院長等職員均已就任積極佈署十一月初上課
page 7	桂省發展礦業生產明年起注重調查試探
page 7	美匯牌價續漲申匯市況回淡
page 7	股票市況沉寂昨日成交僅一萬餘元
page 7	國幣市況先堅後淡
page 7	四四金市昨日復趨鬆弛
page 7	贛南正積極清鄉信豐股匪刻已歛蹟十一縣自衛團改編就緒
page 7	西康日記一八一第九編九龍木裏途中
