page 2	從德軍侵波到英法宣戰續關於歐戰的外交文件
page 3	格魯大使昨訪野村重申美國堅強態度日本倘不悛改關係將趨惡化
page 3	日本太平洋協會竟發表荒謬宣言
page 3	日機襲蓉城郊大空戰我空軍發揮神勇擊落轟炸機二架
page 3	滬文藝界反對色情文藝
page 3	總理誕辰重慶籌備慶祝
page 3	偽鄂省府成立偽省長姓名奇特
page 3	一週戰況軍事委員會發表十月卄五日至卅一日
page 3	日方荒謬宣傳誣我使用毒氣軍委會發言人痛駁
page 3	蘇駐日大使行抵朝鮮京城
page 3	日首相昨覲日皇報告興亞院決議對偽政權規定四項原則企圖向第三國獻媚討好
page 3	浦東富紳宅內發掘冤死屍骸由善堂遷地埋葬
page 3	日艦又窺電白意在試探我已嚴防鄂中戰事順利展開
page 3	安南暹羅簽署鐵道協定
page 3	中國金公債在滬抽籤還本
page 4	美政府大勝利新中立法成立總統簽字後即生效國會特別會議休會
page 4	英法極為興奮大批軍火飛機待運
page 4	德國怒形於色認為顯然援助英法
page 4	英帝國會議各項討論順利進行將在英設經常機關
page 4	日本窺伺下的菲列賓二
page 4	燧石城號事件已告一段落德籍水手被挪威扣留該輪恢複自由將駛英
page 4	蘇芬談判續開芬代表靜候花蘇方答覆歐爾科不滿蘇報評論
page 4	德國瑞典舉行商務談判
page 4	蘇德新協定交換在波人民
page 4	新巴爾幹集團積極進行中外交上接洽頗為頻繁戈林赴義說尚未證實
page 4	邱吉爾抵法會商海軍合作英法海上佔絕對優勢德飛機襲擊難收實效
page 4	法國務會議達拉第報告國際局勢關懷蘇芬談判之發展
page 4	駐日美使的抗議
page 4	日軍又增援
page 4	多助與寡助
page 5	睦州日軍已撤退三埠形勢仍緊張我游擊隊活躍江會線水南鄉附近痛創日軍
page 5	粵防止逃避兵役發給國民兵役證定明年一月一日起施行
page 5	閩南米慌嚴重雨水成災秋收已成絕望奸商操縱各處米價狂漲
page 5	國內發現鉬礦鉬為練鋼之必需品世界年產僅有百噸
page 5	東江南岸戰事我完全取得主動地位
page 5	東南堪察加之行
page 5	我軍進擊潮城殲滅日偽數十攻毀堡壘兩座日軍強抽壯丁調赴廣州訓練
page 5	潮汕戒嚴外商結業
page 6	港僑踴躍購買節約建國儲蓄券三日內銷出十三萬餘元現與其他銀行接洽代銷
page 6	控妻通姦案判處被告賠償原告一毫有妻不知愛護驅而為娼因此失妻於理亦是當然
page 6	糧食統制專員再公佈零售糧食標準價格
page 6	防空救護員免費訓練即將滿額
page 6	市政衛生局定期例會街市攤位須備英磅
page 6	打撈工程須於事先請示
page 6	鐘聲慈善社今晚義演地點太平戲院新劇功蓋凌煙
page 6	與敵通商法港督昨頒佈法令不得與德商交易
page 6	粵港青年會隨軍服務團招考團員揭曉
page 6	燃料商實行登記七天內向出入口署註冊存貨買賣情形每週呈報
page 6	大嶼山北海峽封鎖禁令並未全部撤消
page 6	中國文協座談會討論華僑教育一致認為應促僑教發展
page 6	北大同學今日聚餐時間下午六時地點勝斯酒店
page 7	星期日甲組聯賽南華南鬭水兵光華在界限街戰警察
page 7	公開籃球戰績
page 7	昆明球類錦標賽排球鬧出風波天黑裁判宣佈改日再戰雲南日報記者竟被痛毆
page 7	昨日甲組聯賽雛鳳力克米軍三比二振乾力拔兩城
page 7	南華陸運萬米仍可報名
page 7	港星女子籃球隊征菲初傳捷報五九比十四大獲勝利劉陳李三鋒表演出色
page 7	星足球淘汰賽中華榮獲冠軍
page 7	德權鼎小球今日五場昨日少強勝仗
page 7	美菲申匯牌價略縮英匯呆滯申匯市況再緊
page 7	八九金昨恢復開市市況仍沉寂
page 7	過去一週間股票市況靜穩和戰謠言市場未受影響全週成交僅十三萬餘元
page 7	國幣再漲
