page 2	社評全面勝利
page 3	中條山我加緊反攻日軍被殲已近四萬浙東我軍克復餘姚進迫蕭山困踞寧波紹興日軍極為恐慌
page 3	東江我軍克復博羅福州日增援進犯
page 3	日預防空襲統一私人防空活動保護各城市之安全
page 3	綏蒙政會二屆大會已在伊盟舉行
page 3	美國應先制日方能有效援英本報渝版星期論文之意見
page 3	夏威夷大演習防禦侵略者閃電襲擊海陸空布置嚴密無隙可乘
page 3	海防美商兩貨棧存貨被日方劫去損失約值美金一千英
page 3	泰國限制外僑居住
page 3	曲江警局省府會議決定裁撤
page 3	粵農林局籌設骨粉廠一月內可開工
page 3	滬南市仍緊張對外交通仍斷絕法租界一舞女解虹口
page 3	桂林記者籌獻飛機蔣委長嘉慰
page 3	英國遠東空軍力量益見雄厚不僅足以保衛新加坡並能穩定太平洋危局普爾福德司令在星之廣播
page 3	革命老人步行抵湘
page 3	蘭州上空曾起激戰我國空軍揚威擊落日機一架成都近郊亦曾擊落三架
page 4	克里特島局部激戰英機出動協助反攻德軍之壓力仍未鬆弛英希防軍士氣甚旺盛
page 4	英報主張進佔敘利亞必須採取緊急行動以阻止德軍之利用
page 4	德法談判伯勞轍希亦參加
page 4	敘巴邊境經已封鎖
page 4	格林蘭海面激戰英主力艦被擊沉美方聞訊大為震動
page 4	斯末資生辰南非獻金慶祝該款已指定為慰勞軍人之用斯末資發表紀念演辭
page 4	羅斯福上尉會出遊伊拉克
page 4	羅馬發表義王被刺經過對行刺動機多所掩飾
page 4	美國會及與論界要求修改中立法
page 4	里比亞德軍進犯埃軍不逞坦克車被毀十一輛
page 4	納粹在荷搜括糧食
page 4	南愛自由邦將實行徵兵凡勒拉將發表聲明
page 4	澳總理主張成立國民內閣呼籲停止黨爭團結一致
page 4	英德海戰
page 4	德機襲英被擊落一架
page 4	英機轟炸荷蘭沿海船隻德輪兩艘被擊中
page 5	粵省推進驛運決再恢復曲岐線利用船舶伕力今後力加改善曲三貢庾兩線亦將籌備開闢
page 5	舊金山新加坡直接通航記象徵英美在南太平洋合作
page 5	工合運動在安康一
page 5	嶺南真光等校籌辦聯合中小學擬不定式本年秋季在桂開課
page 5	遂溪鄉民械鬥受傷二十餘人因爭奪碼頭發生衝突縣府當局派員調解中
page 5	粵籌備設置農業實驗區組各金融促進會協同辦理定期召開會議討論進行
page 5	遂溪團管區普遍宣傳兵役發動各校學生寄信運動鼓勵親友踴躍應徵
page 5	教部派員視導粵省國民教育對一般設施印象甚佳
page 5	李翼中抵梅縣視導學校黨團
page 5	各地儲運開展迅速總額已達五萬萬
page 6	周壽臣函覆蔣委員長報告港募債情形過去捐款已達一千二百萬元戰債勸募可獲良好成績
page 6	呈委座函
page 6	留港公務員請求加薪我當局有接納意
page 6	組勸募隊該會為籌組勸募隊加緊
page 6	警察當局加強政治特務工作清查港九公私團體組織嚴密查緝非法團體活動
page 6	澳嚴厲檢查來港旅客必須持有防疫證書港方舉辦健康檢驗
page 6	北大同學會昨開理事會
page 6	一碗飯運動五行商會議決拒絕捐助炒飯決定每碗收費二毫並不負責推銷飯券
page 6	戰稅委會報告中建議增加
page 6	南華大學港校遷往梅縣下學期與正校合併附中則仍在港辦理
page 6	遠東風雲洶湧南洋僑胞返國者眾彼等認為祖國為最安全多攜眷返國投資大後方
page 6	零售米商會昨日成立米行商會招待報界
page 6	我空軍當局擴大訓練新空軍本屆航空兵招考新生港青年返國投考踴躍
page 6	全港教會中學國語演講比賽題目為新中國與新青年嶺英中學要憲光獲冠軍
page 6	煮飯工人港府徵求千名準備戰時之需
page 6	國畫名流組織畫學座談會
page 6	黑市公煙價又暴漲因私煙來源短缺
page 6	加冕牌香烟大東烟公司經理之加
page 7	港菲埠際游泳賽今年可望實現港方已函菲體協會舊事重提一俟菲方答覆方定舉行地點
page 7	棒球因雨改期華仁陸運中止
page 7	週末西青舉行游泳對抗
page 7	今午學界排球賽仿林出師戰漢文雙方實力相等必有劇爭
page 7	居聯水球隊大勝米軍結果六比一
page 7	赤坎體育會增辦多項運動
page 7	東星足球遠征隊昨晨抵澳洲一行廿二人均安然抵埠週末首戰對抗新南威隊
page 7	華雄會舉行聯歡大會
page 7	團體乒乓比賽合理的新方法
