page 2	社評希墨會談與歐戰
page 3	太行山我軍又獲勝日軍後方交通破壞日方又宣稱半結束晉南戰事
page 3	遠東局勢轉緊美菲加緊統制輸出廢銅輸日拒絕發證
page 3	泰訪問團在星接洽圓滿日報又謂泰與英美勾結
page 3	德在遠東組購貨機關經蘇聯運德
page 3	粵省勸募戰時公債總額為二千二百萬
page 3	六三禁煙紀念蔣委長訓詞除惡務盡湔除遺毒雪恥圖強貴在力行
page 3	黔紀念六三
page 3	不列顛之戰一第一階段
page 3	美駐菲專員賽雅將撤換傳將由慕菲繼任
page 3	中等以上學生協助農民耕作教部擬定服務辦法
page 3	人才調劑協會優待港滬專家無旅費回國者予以借貸
page 3	綏西實行公給膳食每人月納五元
page 3	褒揚朱榕
page 3	日兵厭戰自毀飛機
page 3	稅收激增直接稅均超過預定額
page 3	印軍抵緬加強防務
page 3	古董商人串戲新貴變成新鬼
page 3	湘省厲行節約
page 3	閩省府局部改組徐學禹辭職照准行政院會議昨決議
page 3	東京恫嚇無效荷印態度堅決加速召集後備兵應付萬一
page 3	財政會議開幕期近提案分七組整理
page 3	大橋晤英澳使節圖增進商務關係英否認撤越南僑民
page 3	六月降雹
page 3	平準委會即將成立
page 4	伯倫納會議進行中兩國參謀長亦參加
page 4	傳行機二百架已飛抵敘利亞德機械化部隊亦傳秘密登陸敘利亞東部宣布戒嚴
page 4	法輪載運德人赴馬丁尼克島被荷艦截獲二百餘名
page 4	伊拉克局勢新政府正在組織中格拉尼抵伊朗首都
page 4	近東英軍五十萬戒備德國新攻勢在地中海東南建成千哩陣線
page 4	克里特島英軍大部撤抵埃及
page 4	五月二十七日美總統廣播全文二
page 4	英工黨年會曾作戰時政策辯論贊成爭取全面勝利
page 4	魏南返美事國務部發表聲明謂僅為交換一般意見未攜有英方特別文件
page 4	魏剛返抵維希報告北非局勢
page 4	蘇聯取消承認希臘政府並擬撤回外交人員
page 4	霍金斯著文論軸心必敗希特勒雖強惟民主國家更強美國援助不得加以限制
page 4	美在備戰中陸海兩部要求授權徵用私產眾院通過授權海軍便宜措置
page 4	美巡艦一艘又將下水聖狄哥號
page 4	德機飛炸曼哲斯特投彈數千枚
page 4	戈林勉勵空軍將士謂已證明無島不克
page 4	感情與理智
page 4	希內閣改組成立小型內閣邵德洛斯留任
page 4	英首相向加拿大廣播勉戮力助英作戰
page 5	貴陽市即將設立組織規程業經國府備案貴陽縣仍恢復貴筑原名
page 5	市長人選尚在遴選之中
page 5	江會日軍蠢動竄擾厓門兩岸古井那伏沙堆均告淪陷進犯黃沖日軍已被擊潰
page 5	桂省軍政長官倡導節儲運動發動商界業主工人分別認儲節儲運動競賽列入甲等
page 5	首屆競賽成績優異
page 5	響應合川獻機馮玉祥
page 5	大光報粵南版廣州灣禁止入口該報不甘屈服業已進行交涉遂溪實行經濟反封鎖
page 5	粵南瑣聞單車挑伕苛索旅客鄉民無知械鬥堪恨
page 5	戰區宣慰團赴海康宣慰
page 5	陪都文化工作會舉辦民歌演唱會表演優美充滿東方情調
page 5	合浦舉辦漁貸李主席令省行擬款二十萬元陸宗騏赴雷屬辦理散振
page 5	桂林各業規定工資標準
page 6	購債運動如火如荼商紳聯合購戰債約這五次購足百萬元教團舉行發出典禮
page 6	鯊魚涌日軍已紛紛在撤退中惠州來客談所見
page 6	公平糶米會舉行例會增設售米站尚待調查公平糶米委員會昨日下
page 6	總會來電
page 6	上月氣候風調雨順
page 6	平準基金委員在港開諮詢會議羅傑士福克斯等今日始能飛抵港
page 6	鋼屬廢屑均應呈報當局
page 6	衛生局昨通過清糞費年收十元業主每月向房客收回一元每層樓設廁所案尚待考慮
page 6	基督教學生論文比賽女保羅獲團體冠軍高中個人第一馮桂卿初中個人第一阮子傑
page 6	港拒毒會昨六三禁烟紀念
page 6	保良局新舊總理昨晨舉行交代儀式周錫年代表接受文件紳商百餘人參加道賀
page 6	港大昨舉行入學試參加者四百餘人
page 7	鐵城杯籃球比賽定期開始報名中西各隊紛紛準備參加青支會負責籌備現正加緊進行
page 7	青支泳場十五揭幕
page 7	南華第二戰詳記勝星聯三球惠堂露臉場內空氣濃厚東方三虎齊出陣容一新
page 7	南華捷報頻傳贏吉隆坡冠軍四比二惠堂碩友文治建奇勳
page 7	丘山觀感
page 7	培英白越戰越勇青商隊輸得慘八十一比廿六殺至片甲不留今日比賽三場補賽秩序公布
page 7	貪看南星大戰一球迷觸電死攀登電桿觸電後即下墜
page 7	居聯會努力發展會務歌詠組今開課
