page 2	法德休戰以後
page 3	襄西展開大殲滅戰宜昌附近日屍山積襄河西岸我軍控制鐘祥渡口
page 3	余漢謀招待僑慰第二分團王俊報告粵省抗戰經過第三分團在綏獻旗
page 3	漢奸下場岳陽偽維持會長觸怒日軍被槍殺
page 3	日聯隊長被我擊斃
page 3	滬槍殺案趙楚翹被擊斃
page 3	嘉獎助戰民眾綏省府舉行盛大給獎禮
page 3	滬土山灣法防軍突全部撤退居民紛紛遷移人心不安米價續漲發生搶米風潮
page 3	滬領袖領事將由巴西領事繼任原任義領奉命他調
page 3	滬西賭窟將改頭換面仍繼續營業
page 3	陸大參謀班第五期起將擴大招生
page 3	桂林文化界追悼孫寒冰
page 3	政務巡視團一行抵韶關蔣廷黻談月來巡視經過各省農村繁榮生產增加
page 3	朱家驊播講學校黨務詮釋 
page 3	朱家驊電賀史汀生
page 3	晉省日軍迫種煙苗被我軍摧毀甚多
page 3	滬大美晚報機器間被炸人物幸均未受損傷
page 3	張善子贈畫獲獎美大學贈予博士學位
page 3	陝省農貸孫紹宗接洽妥當日內將在陝簽字
page 3	南京前法使館全部被焚起火原因不明
page 3	日機一架受傷墮落解縣附近
page 3	日將派檢查員分駐越南詳細辦法今日可決定 
page 3	蘇芬戰爭後的蘇聯外交政策
page 3	贛北我軍猛進三面圍攻南昌
page 4	德法和約簽字邱吉爾首相發表聲明對法國屈降深感悲憤英決繼續作戰求勝
page 4	法國海外僑民呼籲與英合作
page 4	溫莎公爵將由馬德里返倫敦
page 4	太平洋現狀不容任何變更美注視日在遠東行動眾院通過擴大海軍案
page 4	義機飛襲英海軍根據地義海軍在希臘領海布雷 
page 4	義與日本締經濟協定向義屬地推銷日貨
page 4	史汀生任美陸長滬人心興奮債市亦上漲
page 4	法國難民逃入西境美國領事予以援助
page 4	美共和黨今日舉行大會推選候選人
page 4	英海空軍出動截擊德巡艦香霍斯特受傷甚重克虜伯軍械廠被炸
page 4	蘇民航當局增闢航線橫渡西伯利亞
page 4	美擴軍立法之現階段
page 4	蘇正式闢謠蘇向德實施壓力說全屬謠言絕無根據 
page 4	光明與黑暗二
page 4	法殖民地政府表示決不屈服
page 5	僑務委員會考選清貧學生公費回國升學本年度名額暫定為十四人報名日期自下月十八日起
page 5	投考資格
page 5	考試科目
page 5	僑委會頒發任教獎狀獲獎者江斌沈丁元
page 5	荀江激戰
page 5	我軍增援
page 5	奧中等學校本年暑期補習辦法
page 5	粵候用公務員二批審查完竣李捷群等六人資格相符
page 5	西康日記一○八第四編康定及其附近西康風俗概述
page 5	霍亂韶關死三人
page 5	西潦高漲之際日軍又圖蠢動我防務鞏固嚴陣以待第一游擊區擴大範圍 
page 5	日軍繼續西犯侵入沙頭角大亞灣日艦窺伺沙魚涌形勢吃緊
page 5	僑教函校聘定專家任教授定七月一日開學
page 6	航空救國借券發行經過情形中委戴愧生等赴南洋美洲推銷負責人陳慶雲發表談話
page 6	警察嚴防米糧出口下令警探查緝麵粉亦禁出口
page 6	海賊八人劫兩漁船水警旋在鵝公灣將劫匪全部擒獲
page 6	自香港至內地經韶關最便捷
page 6	中國化學港分會昨在捷和工廠正式成立選出余六鐵等理事七人
page 6	港義勇軍每週訓練一次擬定計劃施行
page 6	港限制移民報告書即可擬就日間將呈交當局
page 6	警察當局收回居民槍械限廿七日前交警署保管防止軍器落入敵人之手
page 6	現代畫展三文協會發起定廿七日舉行
page 6	振濟會派員撫慰難胞一部逃入新界難民業已被送入收容所
page 6	中英邊境行昨日新界邊境平靜無事
page 6	馮天如追悼會昨在華僑中學舉行吳鐵城陳策等致祭
page 7	昨日公開棒球賽南華先贏後輸總結四比九戰來頗有可觀首場好戲因雨誤佳期
page 7	青支首次水運各項成績美滿
page 7	水球友誼賽東方戰蘇軍
page 7	健康的意義
page 7	國產運港外銷四月份貿易暢旺總值達港幣二千八百餘萬元歐戰之後茶葉出口增加尤巨
page 7	住聯小球隊大勝記者成績三比零
page 7	游泳雜談
page 7	域多利游泳會籌備游泳對抗最近與鐘聲作具體商討如時間容許下週可舉行
page 7	東方體育會新職員產生新舊職員昨舉行交代主席陳蘭芳致開會詞
page 7	公開籃球賽乙組三場精武出戰記者
