page 2	歐戰的現階段
page 3	鄂北殘日無法漏網我軍積極擴大戰果粵西北江日軍又有蠢動模樣
page 3	各地老牌漢奸不與汪合作原為日本人在後面拆台汪雖圖掙扎豈能有效果 
page 3	南僑慰勞第二團向薛岳獻旗
page 3	邕欽鐵路欽董段忽停止欽金段已通車
page 3	日本侵華得不償失
page 3	教育部當局注重史地教育史地教委會開首次會議通過若干重要切實提案
page 3	軍事委員會桂林辦公廳林蔚正在籌備中
page 3	滇主席龍雲嚴令平抑米價屈映光談石屏建水災情
page 3	豫鄂捷報傳來滬市人心振奮
page 3	中央社會部改隸行政院
page 3	同情可感卡爾夫人熱心募款助兒童保育會經費
page 3	發展職業教育追加預算四十萬元業經政府予以批准
page 3	受歐局影響滬外匯市場極端混亂投機商人拋出美匯外匯多頭損失甚重
page 3	粵革新省政廉價翻印小學課本小學教員一律增薪
page 3	桂省地方團隊實行統一編制行政保安會議四次大會決定一律改編為保安隊
page 3	陳嘉庚抵蘭州
page 3	日人對汪偽組織的估價二
page 3	政務巡視團一組由渝出發赴黔轉往湘西  
page 3	愛國小僑胞捐款慰勞傷兵
page 3	日軍圖犯鄉吉晉西連日激戰
page 4	荷蘭被迫停戰法邊戰事猛烈歐戰形勢益見嚴重空前大戰即將展開
page 4	法機械化部隊力阻德軍前進
page 4	比中比北聯軍與德發生激戰
page 4	英法義關係步入嚴重階段主匈續召後備隊入伍南政府向希商請援助
page 4	義駐德大使啟程赴柏林
page 4	三寶壟荷人請防日僑活動荷印總督兼理外交事宜軍事當局準備應付非常
page 4	美總統將要求增撥國防費設流線型步兵軍團加速造艦強化海防
page 4	德跳傘隊圖綁比太后但卒被殲滅
page 4	美洲國家將發宣言抗議德國侵略赫爾已表示願意參加美傾向聯軍情緒高張 
page 4	英法比簽訂財政協定提供財政便利解決共同用度
page 4	國聯禁煙會議在舉行中胡公使任小組會主席
page 4	英國動員十萬義勇軍準備抵抗德跳傘部隊
page 4	美將擴充軍費
page 4	警戒日本投機
page 4	孫院長論歐戰 
page 4	歷史空前大戰日間即可展開
page 4	英新閣名單首相官邸陸續發表添設飛機製造部長
page 4	荷軍當局公佈停止對德抵抗
page 5	江會戰事猛烈我繼續三路推進沙堆官涌仍在混戰中
page 5	南僑慰勞團抵蓉時盛況備受各界熱烈歡迎
page 5	參加青年節郊遊會五千餘青年合唱進行曲
page 5	歡迎大會報告三年以來南僑救亡工作
page 5	在設計中二三月後可完成
page 5	上海物價暴漲購買力劇減市場外強中乾勢成弩末實工商業前途重大隱憂
page 5	食糧問題
page 5	平賣煤球
page 5	榮譽軍人職業協會成立谷正綱報告發起意義對抗戰軍人崇德報功
page 5	當局態度
page 5	使用法律
page 5	春風蕩漾歡送聲中離蓉北上勞軍
page 5	推進地方自治之基本義務五蔣總裁對川行政幹訓班訓詞
page 5	凍餒而死
page 5	富強康樂
page 5	配合環境
page 5	農民生產
page 5	互相隔離
page 5	缺及缺食
page 5	勞苦勤敏
page 5	協助清鄉
page 5	共同努力
page 5	萬眾歡呼情緒熱烈
page 6	僑港立案中學下學期實施新課程高初中均由一年級開始初級中學英文改作選科
page 6	學業競試嶺南廣大昨日舉行初試國民大學改期舉行
page 6	郵務司通告英籍婦孺遷移務須登記
page 6	各校特訂獎勵辦法
page 6	港與荷印貿易發生脫節現象荷印原料港貨無法交換金融界信荷必維持外匯
page 6	省救護委會港分會今開大會
page 6	朱友漁週內來港轉滇
page 6	難童工讀院歡迎山德士監督各董事在大華酒家歡宴山氏巡視該院擬予擴充
page 6	模型飛機定期舉行比賽
page 6	北大同學昨召開理事會
page 6	商賑會例會勞軍徵友兩運動同於本月底結束
page 6	醫務局通告預防霍亂辦法注射預防針可保五閱月凡未經煮熟食品不宜食
page 6	防止辦法
page 6	免費注射
page 6	港澳賑濟會改善主辦各義學派員視察擬定辦法六項學生人數不足者均招足
page 6	華人代表餞別港督
page 7	歐局影響球事協會中止南遊東方隊二次征菲廿二出發單獨派隊南征決積極進行
page 7	中青戰事激烈廣大贏一分五十三比五十二鍾聲走麥城乙組賽晨鍾南商高唱凱旋歌
page 7	三屆小球埠際賽澳行瑣記
page 7	菲選手赴日昨晨過港
page 7	湯美化改入海軍服務 
page 7	美菲瑞匯牌價續漲申匯市況益見好轉
page 7	歐洲戰局劇變國幣猛漲最高到達二九○
page 7	八九金市依然穩定買賣不多價少變動
page 7	股票市況沉寂人心不安買賣仍稀少匯豐銀行股價續低跌 
page 7	中青戰地失學社籌備足球義賽該社開二次常委會議報告各義學辦理情形
page 7	學界排球戰培英奏凱三比零贏漢文
page 7	九龍學界籃球南大勝培正得錦標
