page 1	無法狀態
page 2	晉境戰局迄未鬆馳正太線共軍猛攻娘子關冀中國軍進駐定縣後續南進
page 2	津浦線形勢泰安西南兩關起火肥城東阿外圍亦有戰事
page 2	論現下邊政之歧途
page 2	陝北國軍推進正圍攻響水堡
page 2	美國對華政策六月底以前將加以檢討
page 2	美艦將移讓我國並遣派代表團來華協助擴充海軍美海長處理此事時須國務卿同意
page 2	李璜即來滬將辭經濟部長職
page 2	青年黨昨開中委談話會通過改革黨務提案多件
page 2	魏道明即將赴台履新
page 2	五院副院長之產生須待國府委會通過議事規程第十一條擬提議刪改戢翼翹昨日談話
page 2	雷震伍憲子定今日會晤
page 2	東北工業處境困難原料缺乏資金燃料又不足產品價格受限制不夠成本
page 2	粗鹽輸往日本危害我國工業李燭塵籲請禁止
page 2	中共宣傳品傳有反對毛澤東標語
page 2	憲政促進會定期舉行聯席會議
page 2	越南華僑慘遭法機轟炸外交部向法方嚴重抗議
page 2	菲對華僑復員處置不合常軌聯總駐菲負責人表示
page 2	孫科遊覽太湖昨乘金陵號返京
page 2	棉產貸款配額核定豫陝兩省最多各佔二百五十億
page 2	淩鴻勛等定今日離平赴瀋
page 2	柏文蔚遺體今日下午大殮蔣主席電柏氏家屬致唁
page 3	聯合國大會今日開幕主要討論為巴勒斯坦問題將先組織委員會從事調查
page 3	馬歇爾抵華府今日將對全國廣播
page 3	紡織業的興衰存亡關頭
page 3	美蘇之間對杜魯門主義史達林的反響
page 3	設立西部德國政府美佔領區右翼黨提出主張
page 3	匈牙利可獲美二千萬元貸款
page 3	狄托答美記者詢問南國外交政策不變
page 3	印回領袖主張巴勒斯坦獨立
page 3	華萊士返美今日招待記者
page 3	日本普選結束後麥帥昨發表文告謂民眾選擇中庸之道拒絕共產主義的領導
page 3	日本政局動向可能成立各黨聯合內閣
page 3	土閣連日會議討論美援助問題
page 3	英報評外長會議主張在易北河實施警戒
page 3	李承晚談話主張即設朝鮮政府
page 3	奧外長論莫斯科會議稱奧國將不依賴盟邦
page 3	戰後美國對外援助總數已達一百五十億元
page 3	平抑滬錫兩地糧價吳國楨徐淵若曾有洽商
page 3	津市嚴查黑銀號一週來破獲十三家
page 3	南昌糧價堅挺穗設六市場實行管制青限止紗布食油出口
page 3	加強東北區糧政各管理局將改組
page 3	黃金外幣買賣處罰條例公布
page 3	救濟傷亡官兵家屬有關當局擬具草案
page 3	綏區行政幹部訓練完畢即分配工作
page 3	瀋陽辦一漢奸鄭岳先被捕解平
page 3	移民併村計劃陝北各縣擬實行
page 4	地價稅隨物價調整於徵收定期土地增值稅時估計地政局已接獲財部地署會訂補充辦法
page 4	防疫宣傳週開始各區組防疫分會
page 4	日戰犯及逃亡漢奸由日押解抵滬分別寄押警備部及高院
page 4	中央航空公司辦滬榕漢聯運
page 4	無錫車站發生糾紛京滬客車因之誤點
page 4	大場一小　內發現勒死男屍蘇州河內發現無名女屍
page 4	本月勞資糾紛比較上月增加以差額金糾紛為最多
page 4	伏波家屬紛紛來滬聽審
page 4	何德奎辭職照准將由沈宗濂接任
page 4	小盜案兩起前晚同時發生
page 4	光華附中辦公室失慎燒毀鋼琴一架
page 4	小藝員自殺為與弟弟口角
page 4	國際婦女法學會中國分會昨成立
page 4	羅斯福盃籃球賽今晚七時半揭幕美國以哥倫布為代表中華隊成敗繫於調皮
page 4	星島戰征明日公布
page 4	中學籃球賽今午揭幕
page 4	紗布供求漸趨平衡我國共有紗錠四百五十萬枚日夜開工者在三百萬枚以上
page 4	小球友誼賽誠隊戰蘇聯
page 4	上海無錫當局力壓糧價吳市長赴錫商共同平抑辦法無錫強制囤戶拋售大批存糧
page 4	各地頻開評價會
page 4	產區縣份禁私運
page 4	青島紗布油均跌
page 4	無錫香汛慘案迭出鬧散酬神戲打死孫阿狗
page 4	孫科遊無錫陳策陳慶雲偕行
page 4	豫北學生流亡鄭汴劉茂恩撥千萬救急
page 4	新鄉緊張
page 4	隴東漸穩
page 4	戰事急豬玀少南通肉舖罷賣
page 4	蕪湖參議會五月二日開
page 4	低氣壓侵閩海陸空交通全停
page 4	勞動節各縣紛紛籌開
page 4	淮堤三千里動工十萬人
page 4	黃河堵口合龍典禮工程局定五四舉行東請京滬等地來賓參加同時舉行殉職員工追悼會
page 4	平湖菜子案半年偵查始行起訴八人無罪五犯在逃
page 4	董贊堯視察堤工後談沂沐尾閭決口纍纍江北運河工程局堵復中
