page 1	台灣慘案感言
page 2	東北國軍擬渡松花江膠東激戰無何變化津浦線國軍積極北進中
page 2	杜聿明談話
page 2	中央社發表一週戰況
page 2	關於上海金潮續四監察委員報告書發表
page 2	徐州連日開會軍事部署有新決定陸軍總司令部進駐徐州辦公
page 2	顧祝同等抵鄭州
page 2	我對蘇京會議意見四國答覆並未反對東北外交現無新談判劉鍇次長答記者問
page 2	杜聿明談長春外圍之戰
page 2	改組政府商談續進行當局擬中全會前先改組國府民社黨態度未定待在滬會商
page 2	京滬渝中共人員明日乘美機撤退陳家康等昨由滬抵京
page 2	彭學沛答問經濟緊急措施決徹底實施中共人員即全部送返延安
page 2	成都方面新華日報人員赴渝
page 2	梁漱溟在渝談話
page 2	軍人調整待遇二月份起增加兩成半
page 2	白崇禧等由察抵綏
page 2	國防會例會嚴莊任江蘇監察使
page 2	聯總接受我國申請以五百萬美元之棉花運華出售
page 2	台北事件真相後援會昨向新聞界報告提出五項要求並將入京請願
page 2	小豐滿電廠傳被破壞不確
page 2	葡使抵京
page 2	我駐埃公使何鳳山繼任
page 3	杜魯門明日向世界廣播馬歇爾昨啟程赴莫斯科擬在巴黎稍留與法當局晤談
page 3	英法盟約全文公布兩國聯合行動防德未來侵略貝文皮杜爾並發表聯合公報盼四國訂約補英法盟約不足
page 3	論財產稅
page 3	霍奇在美談話不贊成金九組臨時政府
page 3	英法盟約簽字光景貝文皮杜爾曾發表演說
page 3	關於斯匹茨伯琴挪蘇將舉行探討性談話
page 3	葡萄牙最近政情
page 3	英放棄義賠款
page 3	美新舊國務卿促迅速批准四國和約
page 3	希向美緊急呼籲杜魯門將闡明對希立場美希可能直接談判經濟援助
page 3	貝文過比表示英願與比締盟法比同盟亦在討論中
page 3	克魯格返美
page 3	巴勒斯坦問題賴伊主張設調查會處理
page 3	關於田中奏摺岡田稱日蘇曾秘密協商擬將東北作為緩衝區域
page 3	印回又衝突拉何爾形勢緊張
page 3	菲在廈設領
page 3	于院長視察下關災情
page 3	成功與否的關鍵繫乎一些巨公大戶
page 4	公教人員配售物品本月十五日起實施名冊限本月十日前造送市府
page 4	行總滬分署結束後誰來辦本市救濟善救審議會討論此事無結果
page 4	馬車伕呼籲請指定地點設站
page 4	各區種痘者已達廿四萬人
page 4	舞女失自由警局限制營舞範圍
page 4	紙商迷戀舞女不顧髮妻生活河慧英一篇血淚語
page 4	工商經濟講座工商經濟研究會主辦日期及講師業已排定
page 4	杭州前市長之女趙瑪麗訴請繼承應得遺產
page 4	救濟會施粉黃浦等十四區域按核定每戶一包
page 4	服務台電話號碼劃一規定
page 4	使用岸線規則地政局昨公布
page 4	國泰影片公司積極刷新內容應雲衛任製片主任
page 4	獨宿少婦被殺隔房牧童涉嫌
page 4	火車竊賊劉航俠等被提公訴
page 4	大同大學學生請人演講被記過
page 4	張嘉璈昨就任中信局理事長
page 4	一月份緝獲毒犯嵩山分局為最多
page 4	第卄屆童軍節滬舉行紀念會
page 4	美國援華會設赴美進修獎金
page 4	踢足球一場每隊得四十五萬
page 4	丙四足球決賽精武淘汰恆義昇
page 4	警察局干涉債黑市從業者大吵秘書室
page 4	民營紗廠催發外棉
