page 1	日本四月選舉管窺
page 2	晉南戰事益趨猛烈冀中共軍策應進攻
page 2	魯境相持泰安以東山區大戰即將展開
page 2	趕修津浦鐵路臨城兗州間已完成四分之一
page 2	日本通訊之三四月選舉之前上
page 2	延安行
page 2	政院改組可於月內完成青民兩黨參加大致協議蔣勻田訪雷震商談後昨由京來滬
page 2	外部亞東司長由黃亞銘繼任
page 2	攤派頻繁鄂人痛苦鄂參議會請省府取締
page 2	勸募美金債券國家行局及員工應購銷民營事業貸款者亦勸銷四聯總處通過並設研究小組
page 2	抑止京滬物價漲風全國經濟委員會昨緊急決定在滬儘量拋售洋米工人平價配售食米棉紗收購價格酌量提高滬市用煤儘量設法供應
page 2	蔣主席將過滬返京昨遊溪口故居　鎬房
page 2	台旅滬團體發表報告書台灣事件死傷甚眾請求實現寬大諾言
page 2	攜帶國幣出國不得逾五十萬
page 2	永年被困守軍蔣主席撥款犒黨
page 3	德波疆界爭論紛紜美英主張改變德波現存國界蘇外長堅持波茨坦會議決定
page 3	皮杜爾提出要求薩爾經濟上的合併並建議使魯爾及萊茵區獨立
page 3	揚棄了帝國的不列顛
page 3	司徒森史達林晤談討論美蘇經濟體系
page 3	日本賠償問題美急謀最後解決若無協議將採取片面行動
page 3	美國對日單獨行動澳洲報紙猛銳抨擊
page 3	美參加英印陸軍會談討論保衛印度北邊後門問題傳係英美聯合參謀部所發起
page 3	日黨爭甚烈利用整肅相互傾軋
page 3	緬甸選舉議員選民不感興趣
page 3	五月日蝕
page 3	鈄佛海峽事件阿拒絕提付國際法庭
page 3	英駐土大使返國奧斯丁答覆蘇聯譴責
page 3	戰鬥機五百架英供給土耳其
page 3	希政府軍發動大攻勢進擊北部山區游擊隊
page 3	英蘇談判修改盟約雙方交換初步意見倫敦希望貝文返國前完成工作
page 3	海上救急飛機擔任傳達病人起死回生
page 3	杜魯門談物價與工資
page 3	華萊士在英播講論科學與世界問題關係
page 3	洛杉磯地震
page 3	美艦將訪澳洲
page 3	沙赫特自稱反對希特勒
page 3	天津行情
page 4	米油糖價格限定紗布價俟棉價抑低再議
page 4	計口授糖辦法日內商定公布
page 4	各省難民昨赴市府請願允予設法遣送
page 4	補充弄牌與門牌今日起開始分發牌費由業主與居民分擔價目規定不得浮收勒索
page 4	蘇北訪問團昨已由通返滬
page 4	差額金糾紛迭起工人昨群至社會局請願
page 4	京滬管制物價地區職工底薪不得增加政院訓令市府切實執行
page 4	榮宗敬哈同地下作親翁
page 4	追念太虛大師明日舉行講經法會
page 4	商務書館糾紛裁定書今日可發出
page 4	永利公司總經理侯德榜今日到滬
page 4	揚州少女被人誘姦
page 4	國際扶輪社中國區會今晚揭幕
page 4	三盜屢劫棚戶終為警局捕獲將解警備部軍法處
page 4	清寒學生貸金業已開始發放
page 4	同濟仍未復課今日招待記者
page 4	滬江學潮餘聞
page 4	大學經濟食堂準備募款維持
page 4	市立體專今日慶祝復校
page 4	竊賊三名黃浦分局捕獲昨解送地檢處
page 4	韓國漢城足球隊昨日中午飛抵滬當午在逸園試練腳頭實力平均前鋒尤銳利
page 4	全運會場地將開始修理
page 4	市長盃籃球賽恩卡斯淘汰仁餘工商與乙組今晚揭幕
page 4	金鈔黑市死灰復燃四川路錢兌莊交易最多財部電囑市府警部嚴加取締
