page 2	莫洛托夫訪問柏林
page 3	宜昌對岸痛殲殘日鄂南湘北亦有捷報江南常州附近劇戰日受重創
page 3	晉南豫北出擊各路均有斬獲
page 3	交通建設甘驛運處成立魯各地創辦工廠多處黔建廳推廣優良棉種
page 3	法大使赴蓉
page 3	桂發現煤礦質地優良蘊藏豐富
page 3	黃旭初電告邕寧近況電燈復明義民相率歸里日機近又飛邕轟炸
page 3	寧波鼠疫盛行
page 3	浩然正氣滬被攫法院門可羅雀法官律師均拒絕到庭
page 3	畢德門逝世後我朝野紛電致唁
page 3	滬和平像前外僑獻花紀念首次歐戰和平
page 3	滬米價又漲每擔達九十餘元
page 3	川省士紳踴躍獻糧
page 3	又少一個林資烱被擊斃新貴頓成新鬼
page 3	教部提倡音樂通令各省市指示三點
page 3	滬槍殺案閘北一日兵槍擊其軍官
page 3	地方低級公務員待遇酌量提高國防最高委會審查通過
page 3	威海衛英軍撤退
page 3	日軍圖侵西貢華盛頓對此密切注視英緬當局加緊防務戒備萬一
page 3	雲大上月被炸損失甚大重要建築幾全毀圯
page 3	浙皖淪陷區工廠多被佔
page 3	歐戰特約通訊大時代的巴黎3
page 3	中樞紀念國父誕辰林主席闡述遺教勗全國努力奮鬥爭取勝利痛斥出賣祖國之民族敗類
page 4	莫洛托夫抵柏林德蘇談話開始英美正密切注視中
page 4	希王喬治勉全國婦女應視參戰為榮譽
page 4	歐戰和平紀念日羅斯福演講繼續二十二年前之精神為保存民主政治而奮鬥
page 4	美國報紙盛傳魏剛拒絕奉召返法里伯維爾投降高爾自由法艦駛入港內
page 4	英國否認內閣改組
page 4	中東英軍地位日漸改善中艾登廣播激勵中東英軍
page 4	日本故放空氣試探美國態度松崗訪美說美不重視美日關係亦難望改善
page 4	畢德門遺體明日安葬
page 4	諾克斯發表演說呼籲擁護羅斯福
page 4	英最大郵船將參加戰時服役
page 4	埃及國會明日開會討論宣戰問題
page 4	歐洲地震震源起自喀爾巴阡山一帶羅馬尼亞災情最慘重
page 4	羅總理赴義聘問
page 4	匈警察戒備嚴防綠衣隊
page 4	西園寺忽染感冒疾
page 4	松岡將赴美
page 4	滬閘北槍殺案
page 4	美海部選用紐芬蘭海灣為海空軍根據地
page 4	墨西哥叛黨陰謀奪取政權德國竟在幕後支持操縱
page 4	蘇聯國防原料的檢討一
page 4	英義空軍均活躍希境義軍再進攻
page 5	粵整理臨時地稅照地價加倍課稅省務會議通過實施辦法省府派員督徵中順沙田稅
page 5	新會我軍收復馬山汾水江夜襲睦洲斬獲甚眾
page 5	洋米汽油進口免稅均展期
page 5	桂林擴充扶輪小學閔克勤任校長
page 5	邕寧收復後粵南剿匪省府飭屬努力搜剿
page 5	澳海軍官員歡讌澳督昨晚在軍艦舉行
page 5	桂南我軍乘勝追擊欽防日軍動搖龍門港日艦紛紛退卻鄧揮辭去游擊指揮官
page 5	西康日記二○五第九編九龍木裏途中
page 6	港九各僑團學校昨慶祝國父誕辰到各僑團代表凡千餘人陳劍如述國父生平事略
page 6	到會代表
page 6	致開會詞
page 6	生平事略
page 6	罌花節義款可破去年紀錄
page 6	中化分會昨舉行第三次學術講演曾瑞顯博士講人造汽油成本太高戰後將不使用
page 6	本月月杪前總統船五艘來港客貨輪均有一部美僑返國美輪始終無求過於供現象
page 6	梅禮兵房曠場存油昨日被焚
page 6	華員合唱團歌詠晚會定十六日舉行
page 6	各界振聯會擬施振馬草龍難民
page 6	中國婦女會昨招待各界介紹難民工藝社產品
page 6	大公書局德輔道支店開幕
page 6	越南禁米出口小廣東輪突停開越南暹米豐收可大批運港
page 6	統制移民律例商民意見日內送呈港府華商總會昨日開會報告經過值理提供四點意見希望改善
page 6	遺蹟展覽
page 7	足球總會今日開會討論督憲杯比賽孫科夫人發起舉辦足球義賽南華已允贊助尚待總會批准
page 7	球國春秋一週戰事評
page 7	岷甸奴籃球隊今日來港挑戰中青會明天打頭陣
page 7	學界籃球各組參加廿四隊今日召開代表會
page 7	外匯牌價申匯略漲英匯呆滯美匯仍淡
page 7	國幣市況淡後微堅
page 7	股票市況穩靜昨日成交六萬餘元
page 7	四四金市依然不振
page 7	守門技術談用手打球與應付角球
