page 2	希特勒的岐途
page 3	德外長飛抵莫斯科英議會定今日復開蘇聯仍願繼續三國談判
page 3	傳蘇德皆同意訂立解除條款
page 3	英法向蘇示意談判願再讓步
page 3	英報議論紛紜外交重大失敗
page 3	戰地心影錄五
page 3	法報另具見解德圖衝破難關
page 3	日猶強作鎮定竟欲向德質問
page 3	美認和平陣線將受重大打擊
page 3	滬租界米店無米應市法租界福履理路昨幾演搶米風潮
page 3	津市區浸水大批日人逃平北平反英運動仍烈
page 3	滬Ｘ佔領區戶口調查總數十萬餘人
page 3	盛大歡迎聲中尼赫魯昨抵渝印度民眾對我抗戰至誠同情
page 3	尼赫魯與甘地合影
page 3	Ｘ酋山田昨日抵滬
page 3	廣州Ｘ兵千餘人患痳瘋
page 4	東江形勢穩定我軍堅守澳頭淡水晉東南Ｘ死傷近二萬
page 4	廣九特別黨部通電痛斥汪逆
page 4	會計人員考試條例經考試制定公布
page 4	滬大美晚報接恐嚇電話
page 4	粵專員會議
page 4	廣州壯丁鋤奸槍決李逆卓如等省府已分電嘉獎
page 4	植逆梓卿已因傷重斃命
page 4	全國對外貿易第二季之統計
page 4	滬Ｘ藉口滬西衝突拒不交還東區警權
page 4	英法庭再審訊引渡四華人案
page 4	羅斯福因歐局突嚴重啓啓返華盛頓
page 4	賀國光展期數日返渝
page 4	匈外長否認德義曾提要求謂向以自尊睦鄰為重
page 4	西南國防線密勒氏評論週報八九卷十一期
page 4	鄂參議會下月中旬開幕
page 4	義貨輸日較前增加
page 4	比國召集各級後備兵
page 4	英法援波決心不受時局影響英議會鑒於歐局緊急將討論授權政府應變
page 4	英在軍事上作積極準備
page 4	德波邊境上又發生糾紛
page 4	滬金融市場受歐局影響金價忽狂跌
page 4	澳總理表示決與英合作
page 4	荷蘭政府召集後備兵
page 4	日本的悲哀
page 4	法幣匯率上漲
page 5	Ｘ軍陸續增加仍圖進犯龍泉我大舉反攻戰事激烈
page 5	中山前線軍民感情融洽
page 5	樟木頭我軍分兩路反攻爭奪土塘再起激戰
page 5	各縣地方稅收劃一標準
page 5	鶴山形勢已轉趨和緩
page 5	滬影戲院將實行漲價
page 5	粵厲行冬耕督種雜糧農林局籌備實施
page 5	南路臨時中學收容戰區學生如經濟困難准免全費
page 5	汪逆叛黨賣國張發奎廣播痛斥
page 6	邊區情勢益嚴重粉嶺新界英僑奉令遷居橋樑與沿線據點均破壞
page 6	營養研委會發表戰時儲粮辦法根據英國貿易部之辦法適於儲藏糧食共分六類
page 6	蔣委員長顧問端納由南非抵港ＸＸＸＸＸＸＸＸＸＸ日本軍隊之進攻已失敗
page 6	定期刊物由美寄港泛美航空公司特定低廉運費
page 6	軍分校招生今晨開始筆試體格及格生一百零七人港澳學生均在香港舉行
page 6	永祥劫案判決曾生無期徒刑邱生認罪不諱徒刑十年黎有初犯判處徒刑四年
page 6	商會執事決組沿門勸獻隊分勸殷商富戶慷慨解囊獻金三十萬元將匯國府
page 7	中華體育協進會繼續舉辦排籃球排球定九月一日開始報名比賽規程草就日間即公佈
page 7	世界輕量級拳賽黑旋風敗北安勃奪回去歲所失錦標十一月中或將再度相鬥
page 7	美混合雙打瑪博組榮奪錦標
page 7	營養問題
page 7	德權鼎小球一團和氣智夫永南携手
page 7	東方草地網球第二週英女將全勝
page 7	英國賽艇名家創快艇新紀錄每小時達百四十餘英里惟引擎出毛病險遭不測
page 7	昨夜水球戰東方逞雄今晚有一場兩華同鬥法
page 7	零碎新聞
page 7	英美滙市均穩靜美匯需求較多暗盤起漲尤大申匯再略好轉銀行紛紛拋出
page 7	股票市仍不振半日成交僅一萬七千元
page 7	八九金市漲勢稍挫賣戶較多價略回降
