page 2	社評從統一繳解捐欵獻金說起
page 3	我軍繼續猛攻潮汕粵召開全省綏靖兵役會議
page 3	賀國光談渝市施政方針消極的致力防護工作積極的奠定建設基礎
page 3	慰勞代表北團到達潼關
page 3	皖境我軍在各地襲Ｘ制勝
page 3	暹羅更改國名與吾國的關係上
page 3	閩志願兵六月份大增逾千五百人
page 3	中共發表宣言擁護蔣委員長國共合作抗戰到底
page 3	颶風抵閩上海可免被襲
page 3	荒謬謠言Ｘ捏造我軍俘虜對日人發表談話
page 3	滬一汽油站發現手溜彈
page 3	蔡寧主教日內由滇來港
page 3	以上接第二版社評
page 3	京滬沿線我軍極活躍攻擊無錫附近車站宜興Ｘ軍捐失重大滬郊偽軍陸續反正
page 3	Ｘ方派輪行駛滬定間
page 3	Ｘ機肆虐在海門柳州投彈揭陽曾擊落一架
page 3	汪逆失自由Ｘ武官左右監視
page 3	滬法租界又搜查Ｘ特務員同往結果一無所獲
page 4	東京英日代表今日繼續會談英決不同意擴大範圍輿論亦多作悲觀論調
page 4	英海外駐軍總監愛恩塞赴波與波陸軍參謀部談話但澤局勢大體無變動
page 4	德國間諜活躍法總理發表聲明勸告人民鎮定自持瑞士納粹黨被處刑
page 4	英服役人民第一批入伍空軍下月將演習並續作歐陸飛行
page 4	救濟國際難民二十二國代表在法開會猶人領袖主發國際公債
page 4	英使費潑斯訪龐萊辭行繼任甘貝爾法表示歡迎
page 4	法美通航首次飛行成功
page 4	法駐英大使返國述職行前與英外次商談國際問題
page 4	波蘭今日的岐途
page 4	英輪起火船員有死傷乘客均無恙
page 4	對修正中立法羅斯福奮鬭到底畢德門之制裁日本案參院外委會亦予擱置
page 4	達拉第演說重申和平願望決奮法國之自由鬥參加法國慶英軍返國
page 4	希特勒藝術節演說替自己捧場
page 4	傳義國將廢止英義協定蓋達著文竭力辯護反責英國改變態度
page 4	西班牙銀行在美敗訴
page 4	齊亞諾在西險遭不測飛機抵瑪德里時折一輪幾於傾覆
page 4	蘇埃關係好轉埃決意與蘇重行修好並企圖成立商務協定
page 4	南國攝政啟程赴英
page 4	鼓勵侵略
page 4	友誼的離別
page 4	日方又屈膝
page 5	中山情勢緩和江會我軍均獲小勝蓮塘Ｘ兵有待機勢我已嚴防盛傳Ｘ於前日自動放棄會城
page 5	莞城殘Ｘ犯橫坑鄉被擊退民眾抗戰英勇我軍接濟彈藥
page 5	壘石劫塵下
page 5	番禺游擊隊迫近廣州前鋒將抵大石
page 5	粵民政廳增僑務科特別便利僑匯
page 5	縣長劉超常談順德游擊區現狀縣政設施稍具頭緒與Ｘ爭取民眾資源
page 5	粵省府省務會議通過警察機關規程
page 6	各界賑聯會倡辦八一三獻金最近一次會議討論辦法去年果販獻金成績甚佳
page 6	蔬菜市價稍跌來源漸少仍有再漲之虞鮮魚少數運港市價仍高
page 6	博羅港僑籌組同鄉會
page 6	中央警探聯絡緝捕海盜寶安公安局擬派偵緝隊港當局則派武裝淺水輪
page 6	華商總會今選正副主席傳郭泉有希望
page 6	嶺南大學取錄新生揭曉今日上午十時召集新生解答入學手續各項問題
page 6	防疫運動市民廿五萬受注射患症者共三百餘宗
page 6	本月刑案以遞解潛回犯居多
page 6	港婦慰會收募捐款統計
page 6	水產協會明日舉行演講會
page 6	春睡畫院十人繪畫展覽今日開幕至十九日止圖案展售會展期一天
page 6	先施游泳場前晚舉行開幕禮
page 6	北大同學組織香港通訊處定每月聚餐一次
page 7	昨日棒球刺激多兩華隊喪師嘉山中華人馬不齊被友啤痛擊南華晚節不彰最後失一分
page 7	南華乘勝追擊棉聯斬將求和結果三比三高下不分
page 7	加倫圖傷痕處處被縫廿三針將于九月中出戰諾瓦喬路易無意再戰法爾
page 7	北美帶台杯第二週澳勝三比零
page 7	公開水球賽南華出兵今夜戰域多利
page 7	溫布爾頓第四週瑪博大失常態各場比賽強弱懸殊取勝極易哈德維克棋逢對手退敵艱難
page 7	伍特遜返英談失敗經過
page 7	五月來棉紗市況日紗在港銷數驚人計佔入口總數百分之八十強總值達一千二百二十餘萬元其中百分之九十強運入我國
page 7	本港五個月內鎢礦出口甚鉅總值九百八十七萬餘元我運港出口者近三百萬
page 7	本年五個月奢侈品進口激增二十六萬總值七百七十餘萬元日本魚翅進口數至鉅
