page 2	社評上海租界
page 3	贛鄂戰事繼續展開我空軍飛鄂晉轟炸
page 3	Ｘ機一架在武川被擊落
page 3	厦門漢奸被刺Ｘ兵強佔鼓浪嶼以搜查反日份子為名竟派陸戰隊登陸擾亂
page 3	軍委會發言人痛斥Ｘ造謠鄂中之Ｘ損失慘重絕無力量包圍我軍
page 3	在西北戰場上砲兵打游擊上晉東南某地戰地通信
page 3	綏遠民眾捐獻米糧勞軍
page 3	旅英中國婦女救濟會徵求義賣物品希望各界踴躍參加本年十月半前寄到
page 3	臨清克復冀南我軍奏功
page 3	Ｘ機襲閩泉州損失甚重
page 3	蔣委員長通令西南各省嚴禁種烟長官切實督責不得稍存寬徇
page 3	粵省政府六一合署辦公
page 3	桂參議會定期開首次會
page 3	劫餘新都昨又遭空襲江北岸落彈起火Ｘ機被擊落三架
page 3	上海租界問題英美密切合作美日貿易限制可望通過外交協會電請抵制侵略
page 3	滬一漢奸昨日遇刺殞命
page 3	魯境我軍實力異常雄厚
page 5	四邑我軍連戰皆捷克復新會迫近江門澳門謠傳Ｘ犯中山證明不確
page 5	容桂Ｘ陰謀敗露誘我出擊圖行殲滅團隊查覺未為所惑
page 5	嶄新的姿態嶺東週旅記
page 5	崔廣秀奉命回任花縣
page 5	增城Ｘ來犯不逞我反攻克福和墟現已進軍朱村丹邱龍口等地Ｘ將撤退
page 5	澳門登記婢女
page 5	平遠臨中動態
page 6	工合協會香港促進社向各界呼籲資助振興工業增加國家力量既求自給復可安插難民
page 6	英王加冕二週紀念英艦昨鳴砲致敬昨日為英王喬治六世
page 6	學生賑濟會舉行野戰大會明日上午結隊赴鑽石山歡迎參加今日報名截止
page 6	本港戲劇界國民公約宣誓明日上午九時集合舉行中央委員陳策蒞場監誓
page 6	徵募短衣增為十五萬套張司令長官致電粵慰會昨日收到四千八百餘套
page 6	粵省政府救濟來港失業機工昨函復華人機器會
page 6	粵省銀行在港招考辦事員錄取後派往內地
page 6	水喉自今日起增加開放時間由上午六時至下午九時本港水塘貯水大量增加
page 6	裹傷包各僑團紛紛響應每個僅值三角半
page 6	上海銀行
page 6	工務局副監威路臣退休返英
page 6	保護兒童會婦女部徵求會員
page 7	今日旭和盃決賽南華會出戰海軍下午四時半起在嘉山舉行包辦六大錦標希望極濃厚
page 7	今日棒球聯賽中華對香港會下午二時半會師嘉山
page 7	菲台杯選手在港表演秩序已決定
page 7	今日網球義賽名手大會串下午四時在香港木球會花樣翻新必有佳妙演出
page 7	菲行瑣記
page 7	今晚籃球義賽女子梅芳先戰中華隊男子星隊對抗中青會
page 7	南華對星島重新決戰
page 7	台杯第二週英新之戰第一日各勝一場
page 7	荷匯牌價稍漲英美匯初穩後緊申匯市穩華商投機家多吸進
page 7	過去一週間股票市尚堅挺成交總值逾十七萬元昨日仍繼續向前挺進
page 7	八九金市稍穩但靜買賣尚少價格微漲
page 7	英金回漲英銀俱跌
