page 2	社評對本屆參政會之期望
page 3	參政會開幕蔣議長致詞光明黑暗最後決戰我國應盡最大努力會場空氣熱烈董必武亦出席
page 3	敵軍消耗重大自感前途茫茫
page 3	保衛寸地尺土決不放鬆一步
page 3	皖南戰況激烈東流敵軍蠢動受創
page 3	閩參議會在永安開幕
page 3	英美對遠東局勢不放棄責任敵人欺騙技倆必成幻想
page 3	美國毅然自任民主國兵工廠
page 3	侮辱英美各項事實
page 3	當前最適當時機解決日本事件必先攻破軸心最弱一環
page 3	日圖與英美妥協今日已非其時敵人正處於四面楚歌
page 3	任何一地駐兵即為侵略明證
page 3	為民族生存榮譽一定要貫澈國策
page 3	滬敵向工部局要求擴大警權
page 3	韋鼎峙駕滑翔機大公報第二號飛往柳州梧州南寧表演
page 3	郭外長發表談話謂美日間無妥協可能
page 4	日本臨時議會中東條大放劂辭恫嚇英美威脅蘇聯東鄉賀屋亦發表演說
page 4	來栖訪問赫爾美日談話重開美反侵略立場極堅定
page 4	德法談判復活亞培茲曾分訪維希人物魏剛返維希備當局諮詢
page 4	李維諾夫行蹤已抵達巴勒衛
page 4	東京報紙不斷叫囂
page 4	德夫古柏演說非擊敗希特勒及其走卒英國掂努力絕不中止
page 4	英在開羅舉行中東供應會議保證供給中東各國需求尋求解決航運困難辦法
page 4	莫斯科前線紅軍反攻德軍開始後撤紅軍乘勝兄復九據點德稱已佔領克爾治港
page 4	美海軍在大西洋載獲軸心突擊船
page 4	印軍續抵新加坡增防馬來亞紐西蘭財長述訪澳印象
page 4	泰國積極準備應付惡劣局勢政府已下令徵集志願軍
page 4	歐俄寒冬凜烈德坦克被凍結
page 4	美國要當心
page 4	何謂現實事態
page 4	美派赴中東軍官行抵星洲對日美局勢不願評論
page 5	南洋各地日僑民已紛紛撤退返國
page 5	褚輔成李璜談川東川西糧政推行新政應先鞏固下層基礎川西各縣徵實年底即可收齊
page 5	孤島雜談
page 5	梁土純抵粵省推進工合運動此次視察各省印象良佳
page 5	桂省辦理各地冬防
page 5	華南偽軍名目層出不窮歐逆又組織偽國民軍
page 5	國父誕辰紀念日陪都集團結婚參加新夫婦三十五對
page 5	中墨邦誼增進華僑在墨居留較前便利
page 5	宣慰桂湘粵各地負傷戰士歸來三
page 5	台山壯丁英勇抗戰廣陽守備部傳令嘉獎
page 5	粵麵粉廠明年一月可出貨
page 5	湘贛貨物源原運韶韶興路運輸活躍
page 5	中山敵軍強行收穀每擔僅　價三四十元
page 5	繆秋杰談東南六省鹽務食鹽專賣當可發期實施從價徵稅進為鹽稅徵實
page 6	日僑準備全體離港港日領奉到隨時撤僑令目前留港日僑尚有百五十人
page 6	英遠東軍總司令來電歡迎加軍滬方對加軍之增防香港認為英美決心阻日南進
page 6	防空當局否認每週演習
page 6	香煙增價每包加價一仙
page 6	參政員譚贊陸宗騏今晨飛渝赴會美州同志社及生建協會昨日分別設宴歡迎譚氏
page 6	嘉年華會國產品六
page 6	港僑商回國慰勞團組織簡章擬就定下月十五日以前出發商會昨通函各團體參加
page 6	遣送難民回籍暫時放棄因交通梗塞
page 6	貴百不仁托拔醫生演講斥港慳吝富商
page 6	國幣投機買賣遷澳有關當局亟謀對策金銀貿易場昨日復市限現鈔買賣成交不多
page 6	官柴昨晨上市黑市柴價回跌每元約可購得三十六斤讀者投函主張審查柴店
page 6	新聞學院繼續舉辦昨該會理事會議決
page 6	萬國攝影莎龍展覽首次評閱入選四百幀
page 6	錫箔十六箱偷運廣州被扣貨主畏罪事前聞風先遁拘獲輸運車司機被控案
page 7	督憲杯出賽糾紛今日開會審查下午五時半在足球總會舉行南華昨日召開緊急會議
page 7	網球籌賑大比賽廿三開戰鑼下午二時半起在中華游樂會陶毛囡比賽問題已通過
page 7	星南兩會致總會函
page 7	鐵城杯第三幕因雨改期再定廿一開火
page 7	居聯鐵脚團旅行小洞庭
page 7	南華在澳奏捷二比一勝澳聯永強惠堂先後建功勳李四反串內衛有噱頭
page 7	撫恤黃翔遺族舉辦球類賽集中男女健兒作排籃球義演定廿五廿八兩晚舉行
page 7	澳女籃球賽執信大捷輕取廣大隊
page 7	粵體育訪問團遠征成績總賬足球男排球所向無敵男女籃球賽勝負參半
page 7	協會乒乓賽後日截止報名
page 7	春申足球將聯袂抵港不久即將露面臉
page 7	七七乒乓賽華星紅得勝
page 7	申匯市況依然靜穩英匯美匯均屬黯淡
page 7	股票市況堅挺賣家乘勢居奇拋出不多昨成交總值僅二萬餘元
page 7	滬標金價略趨下游
page 7	國幣現貨成交不多價格跌至一三七
