page 2	社評民國二十九年獻歲之辭
page 3	歲序更新自強不息蔣委員長向全國廣播策勉完成抗建大有好勵行精神總動員
page 3	王外長發表新年之展望對抗戰前途表示樂觀日本各方面均陷絕境
page 3	龍雲今日就行營主任再擇期補行宣誓
page 3	英使卡爾昨日離滬來港
page 3	日機襲滇時毀滇越路橋路局決報告法政府向日方提嚴重抗議
page 3	徐培根發表戰局一年回顧日軍陰謀迭被我軍粉碎接戰六萬次死傷四十萬
page 3	過去一年中各地運輸進步殊多今後將採用新制度澈底調整公路運輸
page 3	立委梁寒气操視察桂南前線謂軍民關係已打成一片桂各區擬另設行政專員
page 3	翁源城郊激戰新江克復日殲滅甚多粵北軍民情緒熱烈桂空擊落日機八架
page 4	畢德門將敦促參院通過禁運法案迫令日方遵守條約一般相信外委會有通過可能
page 4	蘇軍補充就緒芬南展開激戰北線芬軍頗有進展
page 4	德糧油船被阻於多瑙河
page 4	愛迪生晉任美海軍部長
page 4	教皇和平呼籲英法均表贊同羅斯福代表將赴梵諦岡教廷駐德代表惹人注目
page 4	希特勒發表告納粹黨人書詆譭英國及猶太人以刺激德人民心理
page 4	戈林著論自詡空軍實力謂將猛烈反攻聯軍封鎖德陸海軍司令亦發宣言
page 4	贛北戰場巡視記下葉風
page 4	土地震未已又遭水災救護工作進行受阻英法皆捐巨欵振濟
page 4	監察統決定視察計劃今年內逐步實施
page 4	節約建國儲蓄運動委會發表告同胞書
page 4	鄂贛我軍活躍圍攻通山通城晉東南出擊大獲全勝
page 4	國府命令頒發勳章一批外賓受勳
page 4	日倒閣潮繼續醞釀中阿部向軍部乞援畑俊六不置可否
page 4	法國力愈增強馬奇諾線牢不可破資金大量流返國內
page 4	畢德門氏的正論
page 4	新年的歐局
page 5	二十九年是抗戰最後勝利年
page 5	爭取最後勝利之第一義民國二十九年元旦獻詞
page 6	一年來之戰時財政
