page 2	美國慶紀念日的感想
page 3	英美強化遠東政策傳將訂立海軍協定英準備對日答覆堅守立場滇緬運輸事將與美蘇磋商
page 3	史諾二氏意見強硬
page 3	粵李主席歡迎僑胞返國投資祖國內地比較安全人力物力需要正殷
page 3	宋子文氏在美再謁羅斯福並訪晤赫爾韋爾斯
page 3	葉楚傖朱家驊歡迎艾沙等
page 3	黔科學館正式成立
page 3	古稀老翁送子從軍滇省府特予嘉獎
page 3	新鄉漢奸孟憲普被民眾設計擊斃
page 3	滇主席龍雲加強戰時工作決定派員分赴各地視察
page 3	桂省提前禁絕烟毒本月起根本肅清
page 3	移交寄存卷宗事俞鴻鈞電滬嚴重抗議認工部局此項措置係破壞前此之協定
page 3	上海日暈
page 3	全部卷宗明日移交
page 3	滬法租界內日憲兵愈活動檢查民居事件日漸加多日本報紙繼續恫嚇被通緝者
page 3	五機關合設新式煉鋼廠計劃已擬定即著手推進
page 3	皖慰勞團
page 3	僑慰分團 
page 3	一片慰勞聲
page 3	日本政治的貧血症一 
page 3	海外部吳部長痛斥有田廣播
page 3	美禁運案批准實行
page 3	日方所傳協定內容
page 4	宜昌對岸再度肅清豫東我軍乘勝攻入鹿邑亳縣開封城郊殘日正加緊肅清中
page 4	羅外交政策步入新階段羅外長在眾院之報告蘇在多瑙河沿岸築壕
page 4	匈牙利議會舉行閉幕典禮議員主張武力收復失地對德義保極討好之能事
page 4	英空軍夜襲德海軍根據地基爾運河及船塢中彈
page 4	日本政府財政匱乏決實行緊縮政策
page 4	墨索里尼遄返羅馬
page 4	德最高軍部誇張西線戰績結果造成絕大勝利英為今後唯一敵人
page 4	新加坡加緊準備船隻航行受限制
page 4	太平洋新趨勢
page 4	蘇北降雨秋收有望
page 4	法兩議院召開聯席會議討論修改憲法 
page 4	英國態度堅定
page 4	法西斯的浪潮在日本批判近衛的新黨運動
page 4	偏關西犯日軍被包圍痛殲中
page 4	寧明以北激戰我圍攻羊樓司
page 5	粵北連日激戰我出擊神岡收穫戰果日進犯馬村楓圍受挫
page 5	我軍堅守泥灣斗門形勢穩定 
page 5	宣言大意
page 5	通電彙誌
page 5	會議提案
page 5	桂省府取締桐油走私規定過境出入口辦法
page 5	粵全省甲長輪流召集訓練由各縣市國民失團辦理訓練期間以一月為一期
page 5	桂省積極籌設各縣農業倉庫調節糧食流通農村金融限期九月底前一律完成
page 5	全川中小學生暑期兵役宣傳本月初旬將普遍展開並為征屬勸募優待金
page 5	桂戰區縣長提高權限俾便應付非常
page 5	戰區部通令保護民船特訂定規則遵守 
page 5	禁書七種桂省奉令查禁
page 5	粵省糧食問題謀根本解決李主席召開糧食座談會指定負責人研討改善中
page 5	暨大留粵同學成立通訊處
page 5	西康日記一一四
page 5	粵青年團講習會圓滿閉幕通過提案共七十三件並發表致全省青年書 
page 5	灣仔日偽互相妒視
page 5	袁司令談各方戰況
page 6	本港前途之面面觀多謂日無侵港理由日貨運淪陷區須經香港焉能自毀世界航運利益
page 6	英國對香港有保衛決心
page 6	日總領事稱日軍不侵港
page 6	首批疏散婦孺安抵馬尼拉擁擠暈船之外似均愉快美軍將予彼等特別保護
page 6	港府決心完成疏散計劃有存心前往廣州逃避者廣州英僑並未準備撤退
page 6	義勇軍訓練秩序更變
page 6	振聯會發出七七花朵連日往領者頗眾
page 6	葡屬英僑開始登記
page 6	代督去電致賀
page 6	明星名伶義演大會籌款救濟傷難明後兩晚舉行 
page 6	諾爾頓少將月底可抵港本港軍人多曾在其麾下到任之後必將有所貢獻
page 6	嶺南等三大學會商內遷辦法先將中學部分遷回內地學振會亦準備停止工作
page 6	美僑多數無撤退意不信局勢已轉壞
page 6	一個理想總督 
page 6	本港陸軍歡欣
page 6	港澳輪船乘客擁擠來港者亦不少
page 6	黃泥涌平民區擴大兩倍分為六村
page 6	屋租漸跌 
page 6	商會籌振會
page 6	發現新颶風
page 6	天如國語班
page 6	廣州灣輪 
page 6	澳督過港
page 6	真光小學
page 6	華員職工會
page 6	婦女運輸隊解散因疏散婦孺故宣告流產婦女防空協會亦已結束 
page 6	疏散難童各機關分別進行
page 6	本港草蓆出口銳減由於歐戰影響
page 6	取銷記帳銀期
page 6	洋行業務停頓
page 6	時局緊張聲中洋商未雨綢繆對業務之發展實行收縮改用現款交易否則拒絕
page 6	汎美公司變更班期菲律賓號九日抵港
page 6	登記法將修正
page 6	賽林加輪經越南當局釋放
page 6	港韶交通恢復循此路返國者七八千人粵府派員保護沿途治安
page 7	中青甲最後獲勝廣大敗走麥城三十五比三十六戰況極緊張銀紅記者同奏凱旋歌
page 7	協會發挽留函後六團體未置答將在下次會議提出討論各部副主任決暫緩選舉
page 7	談談陽光浴
page 7	外匯牌價仍無變動美匯沉寂申匯穩靜
page 7	八九金市昨日依然不振  
page 7	今年物價飛漲創十年來新紀錄五金高兩倍糧食漲一倍一九三五年物價最低廉
page 7	國幣堅穩粵毫券價略降
page 7	股票繼續傾頹昨日成交數量依然寥落 
page 7	丹普西重上拳壇二回合擊倒牛郎
page 7	中華水藝會改後晚舉行
page 7	棟勳盾小型球開代表會議決度身提案
page 7	今天學籃
page 7	乒乓瑣語
page 7	拳王麥士比亞打倒兩噸巨人
