page 1	社評怎樣恢復和談
page 2	張治中將奉派赴延昨由司徒大使通知中共和談方案內容現不透露
page 2	滬上接洽雷震攜來新方案曾琦等赴京張君勱日內即往
page 2	張君勱對和談不願表示意見
page 2	黃杰報告中訓團現況總團下有五分團三十個總隊每隊平均有編餘軍官佐五千
page 2	請政府注意西康
page 2	梁漱溟論時局謂恢復和談將無何成果
page 2	馬帥尚留檀島釣魚讀書消忠遣
page 2	軍人年終雙薪並無此項命令
page 2	黃河堵口工程彭學沛談不便延緩
page 2	伍伯勝領事返星洲談視察僑情之觀感
page 2	彭學沛答問
page 2	陳誠飛鄭州視察蘇魯間戰事進行
page 2	鄭洞國飛長春指揮
page 2	傷亡官兵卹金給與當局擬具改善辦法
page 2	傳作義就職列舉十大施政綱領
page 2	接收舞弊劉乃沂伏法
page 2	張莘夫死難週年瀋陽友好唪經致祭
page 2	攜帶國幣出國數額財部規定限制辦法重申金銀出口外幣進出口禁令
page 2	警管區制漢口亦將試行
page 2	本年度全國貨物稅擬定預算萬二千億上海約當全額之半數
page 2	白逆子琦處刑七年
page 2	青年黨在湘設省黨部辦事處
page 2	國境警察唐縱在湘談話
page 2	戰時民航損失交部發表統計數字
page 2	遣送皖籍難民還鄉谷正綱等召集難民代表開會中央撥款十七億元赴皖救濟
page 3	英法同意締結聯盟保障安全防止德國繼續侵略兩國合作平衡美蘇間之勢力
page 3	若遭遇侵略威脅時彼此即作軍事援助
page 3	英法同意聯盟貝文說是一好事勃魯姆聲譽日佳
page 3	蘇聯戰後經濟復員的幾個特點
page 3	不久即將舉行勃魯姆發表談話
page 3	美積極援助義大利發揮金圓外交威力
page 3	義總理返國將與勃魯姆會晤
page 3	英叛黨議員領袖演說對蘇協調政策反對仰承美國的鼻息邀請法蘇在中東合作
page 3	杜魯門向國會低頭避免與共和黨間發生齟齬與兩院領袖舉行定期會談
page 3	中東煤油問題美法可望成立協議
page 3	美國務院評英法協定
page 3	河內戰事法佔優勢
page 3	四外次會議討論澳洲建議決定邀請六國陳述意見皮杜爾說明法對德問題立場
page 3	裁軍問題美要求展期討論
page 3	義大利走向復興
page 3	辯論程式問題英蘇發生爭執
page 3	李普曼論德國問題
page 3	柏林德國快報載稱蘇德舉行重要會議賠償問題為主要討論事項
page 3	英緬會議同意設立制憲議會
page 3	日聯合內閣逢難關社會黨向吉田討價還價日共黨不贊成聯合內閣
page 3	奧里沃當選法總統即將任命新人組織政府
page 3	韓人抗議託管將舉行示威運動
page 3	英外部論蘇挪協定認蘇應受國際條約約束英海軍界人士表示不安
page 4	中越空運通航先聲巨型飛機昨日抵滬
page 4	軍艦協助緝私行政院特頒查緝辦法
page 4	永安公司董事宋常超昨日接得怪禮物橘子內藏銷鏹水
page 4	各站汽油今日照常供應
page 4	飛滬班機昨均停航由滬飛各地者照常
page 4	主席壽辰紀念郵票第二組定廿日發售
page 4	統一滬市救濟工作將成立社會救濟事業協會
page 4	憲兵廿三團慶祝憲兵部成立紀念
page 4	軍人發雙薪猶在請示中
page 4	回國被俘官兵已有安置辦法
page 4	何來鄉間少婦坐車被撞身亡望屍親來滬認領
page 4	前工部局職員退職金等已結算
page 4	救濟物資上週抵滬九千長噸分配一萬餘噸
page 4	用電雖放寬電爐仍禁用
page 4	強迫種痘即將開始
page 4	看戲歸來夫起殺意菜刀砍傷妻頭部
page 4	朱恒璧博士今日赴英考察戰時醫藥
page 4	國貨公司職工勤工又是一個新花樣
page 4	春節同樂大會軍警聯合定期舉行
page 4	抄靶子捕獲巨盜犯案數起曾判處死刑尚有同黨正在追緝中
page 4	美海軍籃球賽海倫那戰茀雪下午三時在體育館球房
page 4	上海埠際隊今午舉行談話會
