page 2	日汪與上海
page 3	英當局已正式宣布對華貸款一千萬鎊半為平準基金半充購料之用已通知我政府進行技術協定
page 3	日本明年度預算將逾百萬萬普通預算昨日審核
page 3	金華鼠疫流行
page 3	粵增產計劃希望在兩年以內增產糧八百萬擔
page 3	中國書畫彫刻展覽在莫斯科備受歡迎會期延長以免各方向隅
page 3	孫院長否認將出國
page 3	江蘇號輪由滬南開被扣現幸已避上港
page 3	陪都童軍定元旦舉行檢閱
page 3	工程師學會明日在蓉舉行年會
page 3	江南我軍控制青浦進迫崑山縣城海疆部隊一度襲廈門
page 3	兩種公債昨在滬抽簽
page 3	李司令長官談鄂北大捷當日方廣播宣傳之際正慘敗潰散開始之時
page 3	滬西封鎖將解除工部局方面傳出消息
page 3	財部整頓稅務寮施規程已公布稅局以一省一局為原則
page 3	空中閃電下的倫敦縮影倫敦一週間六倫敦十月二十九日航訊
page 3	金曜日
page 3	韓義勇隊在鄂北工作
page 3	萬有圖片將在渝展覽
page 3	對於松岡談話美國態度冷淡認為未足消減野村之困難
page 4	先發制人爭取主動埃及英軍反攻向錫第巴蘭尼進迫
page 4	希特勒演說盡誇大能事
page 4	丹麥人心不死海達斯里夫城人民譏諷被拘納粹黨員
page 4	保王接見駐土大使
page 4	蘇聯下令統制汽油
page 4	泰越隔河砲戰飛機不斷互炸法方仍希望和平解決
page 4	英德飛機繼續互相報復倫敦杜塞道夫損失均重
page 4	英財次在美京仍繼續商談中美駐英武官被召回諮詢
page 4	匈外長赴南傳將簽訂不侵協定
page 4	英貸款成立
page 4	國際人物升沉
page 4	拉伐爾兩頭失勢將被迫去職美國有意支持貝當政府俾免法國完全受德利用
page 4	其他具體事項如顧問等一日汪協定之明文與審件第七論
page 4	阿南希義兩軍爭奪瓦隆那墨索里尼傳將視察前線
page 5	本屆民族復興節舉行國民兵總點閱同時紀念國民兵建設一週年
page 5	廣州秩序日形混亂
page 5	新西安拖輪誤觸崖門口水雷拖帶貨船三艘當堂炸沉死傷十一人損失十餘萬
page 5	劉侯武將返桂林
page 5	贛臨參會呈請三事減少鹽稅囤糧懇撥冬季振款
page 5	粵動員會李鈺繼任書記長兼合作總站長等職
page 5	賑委員第九救濟區駐桂辦事處成立桂南賑務將有具體計劃
page 5	桂林鱗爪
page 5	教部編印樂風月刊明年元旦出版
page 5	中山八區戰事未息日艦繼續砲轟東圍等處均成一片焦土
page 6	新界十五咪半地方昨日巴士貨國相撞苦力三人斃命傷十餘人巴士覆轉山邊四輪朝天
page 6	兵災會賣物會昨日圓滿閉幕廖夫人揮毫得款數千元兵災會主席向各界致謝
page 6	鯊葵涌展寬路面並無瘟疫發生
page 6	十六家米店昨被當局票控可罰款千元或判監六月切盼居民合作以維治安
page 6	聯美機因颶風脫班
page 6	國貨公司舉行聖誕大減價
page 6	李毓棠病逝今日大殮後出列
page 6	革命老人歐陽倫前日逝世昨已出殯
page 6	酒店業之今昔
page 6	永樂輪尚未放還
page 6	反蓄婢會將開同人大會
page 6	張光中來港
page 6	青年記者學會新聞學院招生開始報名一月五日考試課程更充實講師亦較多
page 6	中國旅行社指導領取移民證
page 6	許元方談我國西北蘊藏豐富交通困難惜多未經開發希望各實業家前往投資
page 6	有稅酒港府限制移運
page 7	特別銀牌比賽甲乙組名單公布足球總會為廣集善款將請求當局豁免徵稅
page 7	星東大戰收入逾五千元創聯賽新紀錄
page 7	學界籃球比賽培英勇克嶺東初級組南華棄權八桂獲勝
page 7	體育界消防訓練惠堂德輝巳先後參加
page 7	美非荷匯牌價回縮英匯沉寂申匯平穩
page 7	四四金市仍甚沉寂
page 7	股票益形活躍買戶踴躍成交十八萬元各股價格勢將繼續上漲
page 7	國幣市況稍趨下游
page 7	港澳埠際乒乓義賽各界購券甚踴躍
page 7	男子賽華雄戰僑星
page 7	女子賽南商對南華
page 7	男女籃球義賽今晚在中青會上演
page 7	今日足球友誼賽海軍戰南華翩翩隊對抗米杜息
page 7	港滬埠際賽
page 7	特別銀牌賽
page 7	今日開會議
