page 2	社評準備一九四二年大戰
page 3	長沙外圍空前大戰我軍陣線始終完整敵受創慘重兩師團長陣亡
page 3	薛岳將軍談話敵軍已入我陷阱最近將完成勝利敵方宣傳已圖窮七見
page 3	余司令長官縱談湘粵戰局敵冒險竄擾已遭重大打擊西江我軍克台山三埠
page 3	粵敵勢窮力蹙殘部竄入清遠
page 3	長沙會戰的意義
page 3	人力總動員具體方案不久即可草成
page 3	卡爾大使即離星來港德夫古柏將飛印
page 3	福克斯定日內赴渝研究內地金融情況
page 3	晉敵不斷增援向太岳山蠢動
page 3	大批英軍增防星洲
page 3	李宗仁將軍談話我準備反攻集中力量克復粵淪陷區俾美軍器得在廣州起卸
page 3	美凍結辦法傳逐漸鬆弛
page 3	行政院會議吳迺憲任粵省委
page 3	英美財政專家來華我政府表熱烈歡迎倪邁雅氏等已自美首途
page 3	滬長郵匯照常匯寄
page 3	河內日軍又一暴行劫我總領館我已向法外部抗議
page 4	三國會議隆重開幕莫洛托夫主席並發表演說史達林再度接見英美代表長談
page 4	蘇空軍發揮威力毀德機二百餘架中區紅軍繼續挺進
page 4	反法西斯青年大會在莫斯科揭幕
page 4	從蘇聯內部說到蘇德戰爭在中國文化協進會講辭
page 4	納粹壓迫芬蘭繼續對蘇作戰
page 4	參院外委會主席力主修改中立法准許美輪駛往交戰國
page 4	羅斯福將返美京主持修改中立法白宮即將舉行會議
page 4	美國參戰與否關鍵不在美國諾克斯之談話
page 4	英政府將提出英伊同盟
page 4	義襤褸畢露糧食恐慌物價競賽衣著日用品暫停出售
page 4	英德交換傷兵於本月初開始
page 4	明興協定三週年捷復仇心切破壞運動逐日增加德又規模捕殺捷人民
page 4	日本的說謊天才
page 4	英情報部長將赴蘇聯商兩國關係事宜
page 4	在德國高壓下德土談判完成貿易協定即可簽署
page 5	四邑敵陣整個動搖我軍反攻克復台城
page 5	季鸞先生開弔情形嘉陵賓館素車白馬極盡哀樂蔣委員長親臨弔奠
page 5	悼張季鸞先生
page 5	同業公祭季鸞先生由吳敬恒先生主祭
page 5	粵省建設工作推動糧食增產積極修理公路鄭豐在招待記者度上之報告
page 5	邕寧光復一週年軍政各界籌備紀念
page 6	中英美金融會議英美代表即抵港會議擬於週末開始舉行
page 6	鄭褧裳國畫昨預展
page 6	秋季馬彩暢銷昨日止售出逾二十萬張預料頭獎可得十五萬元
page 6	防空工程案史柏堅昨供述與劉美美關係史氏承認與劉過從甚密並報告各防空工作情形
page 6	港華僑教育會昨開首次監理事會議教聯對組織經過不滿
page 6	燕大同學每週舉行茶聚九日秋季聚餐
page 6	回教青年會舉辦集團結婚
page 6	港府由今日起加強柴薪統制港柴商減為六百五十家柴薪統制專員昨日公布
page 6	美總領對記者表示遠東局面尚可苟完好修氏對我抗戰備極讚揚
page 7	今日乙組足球好戲星島逢戰南華下午五進在嘉路連山南華場其餘乙組十五場分別舉行
page 7	今天足球乙組聯賽
page 7	喬路易勝諾瓦依然保持王位
page 7	鐵城杯籃球賽星島迎戰友聯第一場黑貓對抗吐倫
page 7	華雄田徑隊操練兵馬準備對抗星島
page 7	運動員應有之信條
page 7	南華歌詠班募債成績國幣四千餘元
page 7	卓雄杯賽東山擊敗西園
page 7	游泳對抗尚待星東答覆
page 7	青支會友籃球明日開始比賽
page 7	籃球友誼賽潮州對華僑
page 7	滬草網單打複賽王許獲決賽權王以滑三打倒唐寶嘉許李之戰相當夠精采
page 7	股票市況仍靜昨日成交十五萬餘元
page 7	滬標金價降後略漲
page 7	外匯牌價及無變更申匯市況先淡後好
page 7	國幣價格轉趨上漲最高達一八五強
