page 2	夾攻中的墨索里尼
page 3	菲島鋼鐵亦將禁運美機一隊飛馬尼刺美國援華制日情緒日見高漲
page 3	中蘇簽訂新約以茶易貨規定運茶磚一萬萬元
page 3	議會季節將臨日政潮又激化近衛內閣傳即將改組松岡及川等地位不穩
page 3	內地美教士將不撤退
page 3	上海米價跌進百元大關
page 3	日燃料恐慌既無汽油又缺木炭公共汽車大感困難
page 3	日機圖襲渝不逞滇西一帶昨又遭空襲
page 3	吳鐵城部長到達怡保僑胞熱烈歡迎日內將赴檳城
page 3	上海嚴寒遍處路斃貧民白晝猶多劫案
page 3	空中閃電下的倫敦縮影倫敦一週間八倫敦十月二十九日航訊
page 3	日曜日
page 3	工程師學會年會昨在成都開幕翁文灝等先後趕到參加
page 3	晉南戰事激烈霍縣趙城西犯日軍被擊退南昌附近日軍亦受創
page 3	粵金融鞏固湘米又一批到粵
page 3	滬英德雙方加緊宣傳戰聽眾對德播音多不　
page 3	歐戰通訊之十七法京遷回巴黎的前夕一九四○年十一月十五日法國航信
page 3	蘇聯雜誌著文論美日關係謂太平洋兩壁壘鮮明情勢已趨極緊張階段
page 4	埃及英軍大勝已克復錫第巴蘭尼俘獲義軍達一萬人
page 4	國民外交協會會員致函希臘總理祝捷
page 4	泰越邊境仍續有衝突雙方飛機不斷互炸
page 4	英國駐美大使羅齊安逝世最後遺言英必獲勝利
page 4	英國暫不宣布所謂作戰目的
page 4	英考慮以走廊換取美國軍艦美將售英舊輪補救商船損失
page 4	巴爾幹漸穩定蘇不願德軍假道保國土保南匈關係接近中
page 4	墨索里尼手訂的義海陸軍損失數字
page 4	諾克斯視察防務已返抵米亞米
page 4	近衛之命運
page 4	東地中海的形勢
page 4	蘇德商務談判實際已完成範圍較以往任何協定為大
page 4	建軍及其他日汪協定之明文與密件餘論
page 4	美國向南美大規模貸款
page 4	希軍進迫德比連英機轟炸瓦隆那
page 5	余漢謀將軍召開游擊隊整理會議各隊司令及參謀長多往參加
page 5	一二九紀念桂學生演講比賽桂中獲兩項冠軍李主任發表勉青年書
page 5	日慰問團抵廣州灣以糖餌哄小孩為事
page 5	欽防振款一萬八千鄧專員撥充急賑義民未返之地田禾將枯團隊幫助收割人少效微
page 5	澳當局通告追繳防務稅逾期加罰利息百分之三
page 5	大批越米又巳運到澳門
page 5	陪都興建大運動場黃少良設計工程中
page 5	南路行署暫緩裁撤
page 5	游擊戰士退伍回鄉
page 5	被告律師辯詞
page 5	新嘉坡日間諜案續審記續完
page 5	主控官辯駁詞
page 5	法官宣判定讞
page 5	平遠之光紀念姚子青將軍設子青女子學校
page 5	黃主席視察邕龍下經過與觀感
page 5	李濟深勉青年
page 6	衛生局公布運葬棺柩辦法和合石墳場未啟用之前均須移往九龍七號墳場
page 6	詳細辦法
page 6	馮胡聯姻
page 6	永樂輪已獲釋駛港
page 6	廣福祥輪前日復航港澳線
page 6	本港第一屆廣告攝影展將惹起工商界注意
page 6	天氣漸寒施粥所增加碗數油麻地及灣仔兩施粥所每日施粥已超過一千碗
page 6	扶輪會舉行聚餐音樂會
page 6	滬傳染埠
page 6	時症報告 
page 6	反蓄婢會
page 6	聯美機
page 6	民生工業社昨宴教聯會職員報告該社舉辦展賣意義到會各代表認領賣物券
page 6	巴達維亞僑領丘元榮昨抵港荷印僑胞熱誠愛護祖國捐款捐藥為數至足驚人
page 6	九龍半島狂犬絕跡槍殺六十七頭
page 7	國際杯足球初賽英格蘭人選產生全軍實力平均葡隊恐非其敵將來錦標決賽期與中華一拚
page 7	中西足球義賽華聯理想陣容
page 7	上海波報北西童逼和法商聖芳濟倖勝猶太
page 7	滬四青籃球賽各隊實力強硬華興異軍突起名將如雲幕後激烈展開拉角風潮
page 7	外匯牌價泰匯續漲美匯沉寂申匯靜穩
page 7	國幣市況略趨下游
page 7	股票漲風稍戢昨日成交七萬餘元
page 7	四四金市猶甚沉寂
page 7	學界籃球今日比賽兩場 
page 7	週末足球聯賽南華陣容李惠堂暫告小休陸違鏗出打前衛
