page 2	社評日本侵華的事實說明
page 3	強化力量堅持抗戰不能中途妥協投降蔣總裁在全會致開會詞
page 3	南北傀儡組織不放鬆吳佩孚在偽聯合會閉幕以後王逆克敏等又往勸駕
page 3	Ｘ軍積極圖犯桂京山附近激戰中
page 3	國民黨與中國民族統一戰線
page 3	中英訂航空協定兩國航空公司合作孔院長述締約意議
page 3	我存美白銀值廿二萬萬元
page 3	留渝參政員昨參觀工業區
page 3	孫元良過港出國考察
page 3	蘇浙我軍勢盛分三路包圍富陽犯淮陰Ｘ受頓挫
page 3	滬Ｘ戒備預防一二八
page 3	英使夫人捐款教育難童
page 3	去年對外貿易較前年大見減少
page 4	西班牙叛軍包圍巴薩隆納政府軍仍英勇抵抗美研究軍火運西解禁
page 4	安德生談日本危機戰事延長將自毀
page 4	克蘭邦演說英國不能示弱今年為一可憂慮之年獨裁者已嘗到血腥味
page 4	對抗極權國家英準備施報復抵制非法商業競爭
page 4	美驅逐機登峯造極每小時六百英里法國訂購一百架
page 4	義國否認部分動員徵調退伍兵作通常訓練
page 4	法參謀長甘茂林赴非洲屬地視察
page 4	蘭加夏棉業代表向英政府請願要求保護蘭加夏棉業資助燒茸棉紗之出口
page 4	英國頒發國民服役手冊各盡所能以協助政府本身自強目的在和平
page 4	Ｘ軍死亡統計
page 4	蘇重工業委會再分成六部人選已定
page 4	德與西叛軍簽訂文化協定與德義協定大同小異發展彼此間文化關係
page 4	英北海艦隊開抵直布羅陀參加春季操演
page 4	諾貝爾和平獎金以英相為候選人瑞典議員之提議
page 4	德捷商定妥協辦法
page 4	米美爾主席
page 4	美奧債務
page 4	波籍猶人被德驅逐
page 4	西班牙名畫
page 4	英蘭銀行總裁諾曼訪外相
page 4	菲島報告書
page 4	偽滿在漢堡
page 4	中英交通新紀元
page 4	一齣訪吳醜劇
page 5	譚葆壽談粵新局面黨政軍切實聯繫每週舉行黨政軍聯席會議省府遷韶關後擬合署辦公全省自衛團歸由省府統率李主席將召集各縣長考詢
page 5	粵省府調整人事專員縣長相當遷調全力救濟戰區難民縣黨務特派員制取消改設書記長
page 5	澳門娛樂界舉行義映義唱
page 5	軍委會令四路軍總部取銷李煦寰任戰區政治部主任
page 5	粵省府新委科長
page 5	出入安南
page 5	花縣Ｘ被迫後撤我軍前哨進抵新街
page 5	閩民教義教特教併稱為國民教育戰時民教處歸併教聽
page 5	汕頭巫琪來汕
page 5	澳門關員返粵
page 5	中山疏濬河道
page 6	華商總會發起集年宵費賑難民函各行商婦女團體推行並擬舉行賣花充裕賑欵
page 6	救濟學生委會擬定津貼貸欵等條例該會昨收到中央二萬元現謀設立流亡學生宿舍
page 6	港婦女團體籌備婦女節
page 6	教廳派員視察港澳僑胞教育辦理由省遷港學校登記教廳在港設校事已打消
page 6	港防空當局設立戰時醫院救護站將徵集服務人員四千名刻在灣仔建一防空學校
page 6	瓊代會四次大會要求政府革幣政聯會章程今日繼續討論擴大服務團俾返國服務
page 6	白米四萬包北運津魯
page 6	中山大學製赴滇指南
page 6	農曆年宵攤位指定
page 6	國人前往緬甸須領取正式護照港簽證處接仰光報告臨時證明書現已無效
page 6	中華舞協會跳舞比賽二月三四日舉行得欵撥交賑華會
page 7	港埠際足球代表隊將舉行試賽一塲一俟人選產生日期即可决定
page 7	一九三九年世界網球展望美國保持台杯仍有可能
page 7	全黑重量拳擊比賽魯意斯挑戰喬路易
page 7	女子籃球賽結束梅芳榮獲錦標培道得亞軍西南居第三
page 7	女子網球名將朗特重返球場
page 7	大生杯排球秩序重訂
page 7	外滙牌價荷回漲英匯美匯先靜後穩申匯市況略淡且靜
page 7	股票市尚乏生氣半日過程中成交五千餘股
page 7	八九金市略形鬆弛買賣俱少價稍低降
