page 2	社評西南經濟建設的注意點
page 3	西北氣象光昌軍民融洽壁壘堅強彭湖公路Ｘ軍進犯不逞北江方面我軍克大岡嶺
page 3	我軍圍攻猗氏中條山南無Ｘ蹤
page 3	永安壯丁愛國六十人自動入伍
page 3	救亡劇團離桂林來港將轉往南洋
page 3	Ｘ傷兵返國
page 3	國府命令
page 3	我駐挪威公使謝維麟遞國書
page 3	滬漢奸投函恫嚇外記者宣佈九人死刑史沫特萊在內
page 3	牛津大學學術研究會捐助我大學圖書館
page 3	平津路軌又斷橋梁一座被毀
page 3	以上接第二版社評
page 3	建設新廣東
page 3	我軍需工業在後方迅速恢復中
page 3	徵募戎衣運動由民眾贈入伍壯丁
page 3	沙王抵渝報告蒙旗情況
page 3	張彭春博士在英演說陳述中國抗戰之前途聽眾獲有甚深之印象
page 3	英國對華借欵英政府官員正加考慮羅傑士研究適合計劃
page 4	美眾院軍委會通過撥款購機國防法案之一部分財長對支出豫算樂觀
page 4	張伯倫宣言英各黨均表擁護認係對美國適當響應工黨要求更擴大合作
page 4	英報讚揚德報諷刺
page 4	法美兩方均表滿意
page 4	紐約城內交通阻塞鐵路工人搗亂
page 4	蘇義簽約解決爭議協定
page 4	英法美三國融洽無間法外長在眾院中報告重申保證西班牙完整
page 4	瀕於破產的日本龐大預算軍費達七十二萬萬餘元準備對華對俄同時作戰
page 4	西政府拒絕妥協在南部繼續抗戰政府決遷移華倫西亞總理奈格林返國指揮
page 4	英對捷貸款議會二讀通過
page 4	阿拉伯代表向張伯倫致謝巴勒斯丁問題恃其解決猶太人代表將陳述主張
page 4	蘇聯擬發起黑海公約樹立集體安全制度阻止德國再事東進
page 4	日議員請政府保護蘇海漁權蘇政府宣布公開投標對日漁船將武力應付
page 4	伐勒拉稱將賦予政府大權俾能對付極端分子
page 4	德報駐日訪員評論侵華戰爭日鞭長莫及所獲甚微
page 4	英德工業界談判英商長稱二月底舉行解決商務競爭之辦法
page 4	西北的保障
page 4	兵役第一
page 5	五日Ｘ軍渡三水觸發地雷死傷數百金利方面我軍乘勢追擊陳村再陷璧江鄉被洗劫
page 5	曲江縣公務員實行聯保先由警察局官兵遵辦
page 5	潿洲島難民泛舟逃瓊前後三批難民數十
page 5	破壞公路
page 5	肇慶浩劫Ｘ機空襲七星岩難民死傷百餘人
page 5	閩侯各小學撤汪精衛像片國家罪人不中表率
page 5	新會動員大會
page 5	瓊崖代表返籍
page 6	財部貿易委會擬定減結出口外匯辦法商人減結手續由港辦事處辦理
page 6	嚴緝截劫難民粵省各縣匪徒港救濟桑梓會函各縣長寶安縣長覆示將予查緝
page 6	難民工業社開幕華民司夫人主持揭幕禮李芳夫人報告籌備經過
page 6	本港僑胞捐欵總數五百八十萬餘最多為陳濟棠
page 6	粵紅十字會招待各界
page 6	港僑捐賑桂省難民一萬四千餘元
page 6	救濟學生會增設女宿舍
page 6	商會籌賑會舉辦春舞會年宵節約貼即分送
page 6	捷和製造工廠昨日舉行開幕
page 6	美麻省理大同人月宴
page 7	埠際隊與港聯隊今日預作練習賽下午五時起在海軍球場舉行南華南對九龍週末決在掃桿埔重賽
page 7	埠際賽門票開始預售
page 7	教部體育會議通過重要議案多起積極籌備參加世運
page 7	菲律濱國際網球賽桑波喬壓倒加維亞
page 7	一九三九年陸上速度紀錄展望
page 7	西雅圖籃球隊定期赴滬
page 7	勃琪英勇連勝梵恩斯
page 7	外匯價均不動英美匯沉寂申匯市略回緊華商尚多吸進
page 7	八九金市昨毫無生氣
page 7	股票價昂買家裹足市况有傾頹勢昨半日過程中成僅一萬元
