page 2	祖國與僑胞
page 3	襄東我軍加緊掃蕩洋梓附近日軍被團贛北我軍續向南昌近郊迫進
page 3	越南地方當局將抵抗侵略德國對越南相當關切日本妄想恐又將落空
page 3	越南問題法國覆牒外交界絕難滿意
page 3	日本黔驢技窮本港英文南華早報社評
page 3	桂省府主席黃旭初赴渝
page 3	戰區經委會積極籌設中陝晉區會址設西安正副主委業已派定
page 3	滬一悲劇前廈門水電廠長孫士纘跳樓自殺
page 3	西北各項建設均有長足進步陳嘉庚等由陝返抵成都
page 3	美使詹森下月由渝赴滬
page 3	華北各地電氣事業將全入日人掌握 
page 3	日向英要求英正考慮中
page 3	平蘇使領館下月一日正式停閉
page 3	閩省可卜豐收農村經濟活躍陳肇英氏過桂赴渝談人民抗戰情緒甚熱烈
page 3	雷神甫靈櫬暫厝歌樂山渝各界著手籌備追悼
page 3	宋子文抵達紐約
page 3	政務巡視團西北組今日抵蘭州
page 3	滬大美晚報職員被人綁去無蹤靜安寺路發生槍擊案件
page 3	陰影下的越南一
page 3	上海法院問題兩租界當局否認進行談判法租界允與日方合作壓制界內反日份子
page 3	中央黨部頒發空襲國民信條
page 3	日機連日襲渝無絲毫收穫軍事上既不能損我分毫心理上亦絕難使我動搖
page 4	歐局傳有新醞釀倫敦否認言和希特勒定今日演說或將提議全面和平
page 4	蘇向羅要求歸還失地羅政府已決定接納
page 4	日本四相會議通過外交方針設法增進對德義關係使能認識日本之立場  
page 4	美大部分艦隊仍留駐太平洋國務部認歐亞洲均極嚴重畢特門談話引起英方之詫異
page 4	義大利輔幣短缺貯藏金屬結果
page 4	美共和黨推出候選人先行選出塔虎脫等四人大會並已通過競選政綱
page 4	歷史的插曲希特勒謁拿破崙墓
page 4	艾登演說將不斷猛炸德義
page 4	美再撥款儲備國防軍需羅斯福簽署法案 
page 4	泛美會議七月十七日舉行
page 4	印度徵兵印度緬甸大臣宣稱
page 4	蘇加工製造軍火努力鞏固國防英當局釋放賽林加號
page 4	日本外交方針
page 4	希特勒遊巴黎
page 4	孟買港外佈置水雷
page 4	美國對日軍火貿易三年來的清算下
page 4	英軍在法沿岸試探德軍實力 
page 5	東江我軍奮戰淡水激烈爭奪中沙魚涌被焚成一片焦土
page 5	沙魚涌日軍退葵涌
page 5	歡迎大會
page 5	法德媾和之後廣州灣近況市面謠言轉熾人心浮動居民紛紛遷移商業冷淡
page 5	主席致詞
page 5	團長答詞
page 5	獻旗典禮
page 5	團員題名
page 5	在韶酬酢
page 5	政務巡視團抵粵蔣廷黻談觀感保甲長應提高地位待遇機關會計宜謀健全獨立
page 5	建築桂江大僑大部已完竣七月底可正式通車
page 5	南僑慰勞團抵韶關情形各界熱烈歡迎盛況空前陳郭團長報告此行意義 
page 5	抵埠盛況
page 5	坪山墟我一度克復
page 6	港府勸告難民回籍七月一二兩日方准許通過港當局屆時在三處發通過證
page 6	鯊魚涌輪停航
page 6	汎美公司公布航線有所調整美洲飛剪號飛紐西蘭線添置配備飛航南太平洋
page 6	技術人才應徵返國連日登記者極踴躍
page 6	法航機抵港沿途未見日艦
page 6	攜帶金器出口辦法粵僑務處接到訓令
page 6	白蛇傳義演兩場收入超過萬元胡漢民夫人昨頒獎
page 6	嶺南中社後日舉行中社日
page 6	廠商聯會昨議決籌振傷兵賣物會推陳履霜與韓穗軒為常委七七紀念代各廠捐二百元
page 6	徵求電許生
page 6	小呂宋風訊
page 6	順德公社
page 6	廣州灣安穩
page 6	民間槍械
page 6	新巴士四輛
page 6	公眾假期
page 6	本港五月份出入口貿易統計較去年同期出入口均增首五個月亦較去年增加
page 6	立法局昨日例會戰稅法修正案等均通過
page 6	彼得斯升官
page 6	琉黃峽海
page 6	英國人的生活和思想四娛樂上
page 7	體協會執委會將開首次會議推舉出席港足球總會代表黃維他函辭司庫之職
page 7	域鐘游泳對抗決定延期舉行 
page 7	青支會友網球定七月底開賽
page 7	世運游泳會銓記新紀錄
page 7	港圓外匯牌價續漲申匯穩靜美匯仍淡
page 7	國幣市況依然穩靜
page 7	股票市仍傾頹人心動盪不定價格續跌
page 7	八九金市昨日復略鬆弛
page 7	中青會泳團下月舉行測驗
page 7	英足球賽停止
page 7	東方游泳場音樂會定三十晚舉行 
page 7	談談體操
