page 2	我們絲毫不能大意
page 3	法閣連日舉行會議正式否認與德媾和美總統向法保證決加倍援助馬奇諾防線中北部形勢益緊
page 3	巴黎以南無變化
page 3	土耳其考慮採兩全辦法在維持近東均勢下儘可能以援助聯軍
page 3	蘇聯促立陶宛履行協定蘇軍將可自由出入組府事仍在磋商中
page 3	日民政黨醞釀變化受了歐戰刺激
page 3	美海軍高級軍官論美日關係美應保有強大實力隨時應付假想敵人
page 3	荷印備戰實施軍事訓練加緊構築工事
page 3	羅內閣動搖改組勢所難免 
page 3	坦吉爾國際地位將不至變更英法義軍隊並未撤退西海陸空軍續有增加
page 3	巴西總統願與美國合作
page 3	蘇聯外次乘機抵立
page 3	美海軍機飛行演習
page 3	義軍圖攻奈斯法已派軍堵截英軍佔領里比亞邊境要塞地中海英法海軍搜尋義艦
page 3	德軍的新戰術上五月二十九日牛津通訊
page 3	凡爾登要塞失陷
page 4	漢宜線日歸路切斷我軍東進克復荊門宜昌東郊日軍正加緊圍殲中襄河一游突擊部隊進襲漢陽
page 4	日本對越南野心漸暴露飛機連襲滇越路及龍津圖製造口實為侵略開道
page 4	日機又襲渝投彈八百枚毀屋三千間行都市民再度疏散
page 4	財部貿委會內部調整就緒聘定重要職員陣容一新
page 4	滬槍擊案前五華銀行長吳逸年身中三彈
page 4	上海日人又要禁賭南市賭窟依然營業
page 4	綏西偽軍一部反正來歸
page 4	粵專員易人張炎何春帆辭職鄧揮馬耐園繼任
page 4	陳嘉庚等赴豫北前線勞軍
page 4	僑慰一分團晉謁李長官後今日由鄂返渝 
page 4	英大使抵滬
page 4	法否認屈和
page 4	紅軍開入立宛陶
page 4	立法院例會通過兩要案
page 4	戰時閩南的生產運動一
page 4	閩南偽軍投誠記粉碎汪兆銘對閩省新企圖打破日人以華制華迷夢
page 4	贛北續克要點南昌西郊我續有進展
page 4	桂南日軍潰退上思綏淥均已告肅清
page 5	粵閩浙川等十四省夏季作物之產量入夏雨水調勻作物生長優良各省平均收成約在七成左右
page 5	廿九年度冬季作物初步估計
page 5	傷病散兵收容辦法規定 
page 5	中山八區防務鞏固日犯白蕉被我擊退
page 5	粵桂南部各縣奸商偷運銅元戰區長官部嚴令查禁一經破獲以漢奸論罪
page 5	日艦窺伺銀洲河岸 
page 5	中山近情
page 5	桂省整理各縣積穀隨時推陳入新以利調劑民食
page 5	粵南行署決制裁私梟懸賞舉報以期根絕私源走私路線澈查堵截
page 5	大小黃圃盜賊如毛
page 5	重慶文化區域損害之一斑美以美會亦遭日機炸毀友邦僑民奮起參加救護
page 6	戰稅局通告商人呈繳去年營業報告發出表冊限一月內填繳違者以破壞戰稅法論罪
page 6	伊斯蘭互助社成立周年紀念為本港各國回教人組織維持失業補助貧苦兒童
page 6	德僑產業
page 6	徵集英僑
page 6	真光女中
page 6	尋覓水雷
page 6	粉嶺闢支路
page 6	嚴防霍亂
page 6	國語教育社
page 6	九龍石堆探長解散三合會總部及兩支部同時解散搜查十一處拘捕廿七人
page 6	解散原因
page 6	搜查會址
page 6	巴黎陷落後法國化粧品漲價香水等較前約貴十分二義大利氈已漲至十二元
page 6	拘廿七人
page 6	巴黎之夜
page 6	中山青年會選派陳海鷹等回國向各長官獻旗致敬
page 6	各青年團體獻劍團再度出發林賜明等今日赴越返國並擬赴各戰區慰勞將士
page 6	澳門撤銷糧食出口禁令澳門三埠間拖渡已復航今後糧食運港不虞斷絕
page 6	學生振濟會舉行獻章運動籌款還債並作發展之用明日開始分赴各校接洽
page 6	時避日形緊張加緊訓練義勇軍戰鬥組將增加訓練時間要務組亦擬定訓練辦法
page 6	召集探隊
page 6	論文比賽
page 6	荷僑軍役
page 6	當局注意改善民居問題港府委託專家進行調查工作完畢後可擬定計劃 
page 6	紀念總理廣州蒙難海員黨部令全國海員分就各該地舉行紀念
page 6	世界女青年會募集歐戰救濟金救濟波捷及交戰國難民港女青年會已發出通啟
page 6	化粧用物
page 7	加山兩幕棒球戰香港勇擒工程美兵勢雄贏南華十二比零戰事平淡費時竟達五句鍾
page 7	南華水藝成績美滿
page 7	九龍高級籃球南大迎戰香島另一幕光華對抗復旦
page 7	本港對非貿易遭嚴重打擊以往每年貿易約達七百萬元織造廠商尤感焦急
page 7	夏令籃球明日止截報名 
page 7	住聯小球隊約戰老爺兵
page 7	東方南征足球隊出師未捷輸一球
page 7	體協會將開會商討和和杯賽 
page 7	學界排球 
