page 2	勿自輕勿自滿
page 3	湘漲我軍殲敵五千平江仍在我固守中敵不斷增援總數已逾十萬人我空軍飛湘北助戰轟炸敵艦艇
page 3	財部田賦整委會將召開首次會議
page 3	日本訴苦已不能從美荷取得煤油僅墨西哥尚能供給若
page 3	倫敦方面觀察日本明春北進
page 3	空軍一批增防緬甸
page 3	荷印向美定購軍用飛機一批
page 3	滬正言報竟被法租界禁銷
page 3	澳總理法登歡宴徐公使
page 3	工程師學會卅週年紀念將在筑開會慶祝
page 3	滬工部局與日談判變更租界警權傳下月即可成立新協定
page 3	中美日報副刊編輯張若穀遭日方逮捕
page 3	菲軍事當局將召預備役入伍
page 3	西江戰事趨緊敵軍竄入台山
page 3	日蝕觀測隊月杪離臨返蘭將作科學演講
page 3	廣州灣法警行兇開槍擊斃苦力僑胞極為憤
page 3	美星航空改每週一次
page 3	紐約動物學會派員接受貓熊
page 3	敵機三架竄擾渝郊
page 3	張伯苓病狀已漸見轉機
page 4	羅斯福總統公布美將武裝商輪諾克斯氏呼籲廢除中立法
page 4	蘇德前線沉寂列寧格勒德軍無進展俄底沙蘇軍又擊潰新攻勢
page 4	德國內用品日益缺乏因須應付對蘇戰事
page 4	聖詹姆斯宮內聯軍二次會議各國一致擁護英美宣言邁斯基氏代表蘇聯出席
page 4	日本向那裏走
page 4	俄底沙守軍防禦愈強固
page 4	英在近東建設交通網在伊拉克建築公路聯絡巴格達巴斯拉
page 4	羅保人民反戰反德
page 4	保國積極備戰蘇傳保動員四十萬人巴本已由德重返土京
page 4	邁斯基演講德損失慘重實力已削弱三分一天時地利不可靠望加緊援蘇
page 4	高爾組法國民委會英將予以事實承認國防會議繼續執行職務
page 4	美加緊製造兩用大砲用以射擊飛機船艦
page 4	美船公司船員實行總罷工東西兩岸航務停頓
page 4	美參戰呼聲紐約時報讀者主張參戰哈佛大學校長促下决心
page 4	阿根廷極安謐政府已採取必要措施肅清駐防軍叛亂陰謀
page 4	英美援蘇工作邁步展開美決消除一切援蘇障阻英國工人努力加緊援蘇生產
page 4	湘北戰事
page 4	麥克考邁勸義人覺悟奮起反對希墨
page 5	敵竄入台城單水後三埠外圍展開血戰陳涌封鎖線尚在堅守中我軍乘機進襲江會後路
page 5	榮譽軍人就學教育部頒布優待辦法
page 5	鄧植儀來粵視察談增加糧產辦法治標偏重雜糧治本增加穀米農林部已撥出巨款補助推行
page 5	季鸞先生哀思錄
page 5	弔季鸞同學
page 5	上海恐怖機關一綱打盡在各戲院投擲煙幕彈寄恐嚇信勒索保護費
page 5	親日白俄領袖中兩彈喪命俄僑委會主席伊凡諾夫在上海慕爾鳴路遭狙擊
page 5	粵榮軍新村地址勘定
page 5	我代表團抵仰訪問緬甸政府商談入境過境護照等問題將作一有系統之具體解決
page 6	請領入境證新辦法改作百元現金擔保決撤銷限定七項保證人辦法
page 6	防空處長史伯堅下週出席作供防空工程委會昨日嚴訊各部管工及炸藥之使用
page 6	清華留美學生七人定期赴美尚有三人下班輪船出國
page 6	刑事稽查部副部長認娼妓難剷除此係良經濟情况下之產品當局目前無意進行嚴查
page 6	四邑商會電請蔣委員長派兵驅台城敵
page 6	港府限制港澳輪行駛每月每輪航行二十次在港外購得煤炭者不受此限此項辦法十一月起實行
page 6	中國紅會長王廷返港日前赴菲公幹
page 6	一元獻機運動會昨開六組聯席會議決定各項工作進行手續擬製發一元獻機紀念章
page 6	培英校友定期旅行香港仔
page 6	堅道三號巴士輾斃養中女生車輪輾碎頭部死狀厥慘女生名何錦鸞年僅十歲
page 6	警察當局決心肅清港九煙格規定七種犯人須打指模增強警力招到大批印警
page 7	工程隊實力不弱南華苦戰獲勝三比二惠堂兩隻德祺定天下工程莫士咸表演出色
page 7	港游泳冠軍決賽今天開始角逐下午六時七分在域多利泳池八百八十碼泳陳震南希望濃
page 7	港校際水運會成績美滿
page 7	鐵城杯籃球賽華僑吐倫贏仗
page 7	華員泳場週末渡海泳
page 7	星猛虎水球隊淨勝中青兩球
page 7	銀牌籃球賽民大鬥平正華雄會夏籃賽委會主辦
page 7	外匯牌價仍無變更申匯市況微見好轉
page 7	股票轉趨佳境買戶踴躍存戶亦多拋出昨日成交共十二萬餘元
page 7	滬標金價略趨下游
page 7	國幣市況先好後淡價格起跌頗為巨大
