page 2	社評日本參加德義軍盟的幻術
page 3	晉南我軍乘勝進擊夏縣附近Ｘ軍受重創潰退湘鄂贛各路發動破壞Ｘ交通線
page 3	Ｘ機兩批昨再襲渝市被我機擊落兩架市郊有一處起火
page 3	滬郊緊張Ｘ砲轟浦東我軍再襲虹橋機場大場羅店亦有激戰
page 3	中國復興搖籃之一雲南之人力與物力二
page 3	蔣緯國在德升任少尉兩年復始畢業
page 3	滬Ｘ拘捕青年兩人
page 3	滬各公團分電英美領袖說明中國立場
page 3	滬市物價二年來均飛漲
page 3	東京瘋狂反英示威華中淪陷區英僑多被迫退出
page 3	租界封鎖較前益嚴
page 3	英眾議院密切注視
page 3	華北洪水泛濫平津物價飛漲平漢路仍未通車津浦路亦多被水
page 3	黔傷兵之友社昨日在筑成立
page 3	定遠彭予愉捐獻祖遺元寶
page 3	傀儡助Ｘ吸收法幣
page 3	吳興偽縣長被我軍擊斃
page 3	偽軍排長率部携械投誠
page 3	滬義軍所捕暴徒竟移交Ｘ方曹義小學復被佔領
page 3	中國工業合作委會工作會議結束過去一年成績良好第二年度計劃擬定
page 3	偽滿邊境情勢仍甚緊張
page 4	英貴眾兩院辯論遠東問題根本政策決不變更議員一致主張援華
page 4	張伯倫好整以暇週末出京休假
page 4	平沼突宣布五相會議停開加入德義軍盟一問題將因此受到相當打擊
page 4	在波蘭邊境德集中大軍並趕築防禦工事但澤亦同樣準備
page 4	潛艇之敵英海部發明新利器專門抵禦潛艇襲擊
page 4	三國軍事談話蘇代表決定法代表團定昨抵倫敦會同英代表今日赴蘇
page 4	保國議員團抵莫斯科聘問商擴大蘇保商務問題保政府積極擴充軍備
page 4	英蘇海軍協定兩國業已同意修改美蘇商約將予延長
page 4	Ｘ對外貿易江河日下計劃設貿易省圖作最後掙扎
page 4	汪逆的原形
page 4	寶貴的同情
page 5	昨晨我空軍出動轟炸虎門Ｘ艦江會Ｘ軍炸毀橋樑防我反攻
page 5	Ｘ人毒計香烟內注射毒劑
page 5	京滬車在錫常間中地雷傾覆橫林附近枕木鐵軌橫飛Ｘ承認游擊隊三次成功
page 5	省新運會厲行節約每月逢五食用糙米
page 5	Ｘ機四出騷擾粵南再遭轟炸茂名疏散人口市面蕭條梅菉投彈五枚死傷慘重
page 5	Ｘ誘難民返瓊
page 5	滬北江西路被封鎖後情勢迄未鬆弛居民向租界搬遷益見慌迫
page 5	瓊崖搜索民槍焚殺龍塘慘遭毒手者達二三百人
page 6	八一三紀念將屆獻金運動加緊籌備華商籌賑會昨開會討論紅磡各街坊成立獻金會
page 6	國立院校招生考試日程公佈試場分配與規則均擬定座位號數今日下午分發
page 6	旅業界請求改善防疫注射手續廣聯商會主席昨謁當局請求減縮時間利便商旅
page 6	家庭服務社新增九龍塘分站並附設糧食公司
page 6	永祥金舖劫案祇邱生一人承認曾往行搶但否認當日曾持有手槍曾生黎有兩人諉說無份
page 6	世界語學會第九屆會員大會
page 6	澳門東亞電氣學校即日開始報名定二十日開課
page 6	副偵緝處長公私分明依法查辦同儕念舊發起賙助
page 6	教育局主辦英文中學會考成績昨日揭曉普通及格男三三六女一五○榮譽及格男三十六女一十八
page 6	英后壽辰港督代表臣民電賀
page 6	記者公會發起監察籌欵運動函各報館及通訊社注意進行與各社團接洽辦法
page 6	七日公假郵局辦公時間
page 7	足球季節快開始各球會未雨綢繆光華會昨開軍事會議職員正式產生定廿八日起在警察場練兵
page 7	孤島羅泊盃網球有九國參加定十四日起開始交兵中華實力雄奪標有望
page 7	南華會友排球今天決賽下午四時開塲
page 7	單車義賽今午舉行
page 7	棒球
page 7	夏令籃球今日有看頭
page 7	水國春秋
page 7	第一日名單發表
page 7	海防足球隊征港未有期
page 7	暹羅網球隊改十日來港一行四人皆一流好手比賽三日將取台杯制
page 7	伍特遜所向無敵
page 7	外匯牌價仍不動申匯市況微淡英匯美匯市況均屬靜穩
page 7	八九金市略穩但靜買賣仍少價格微漲
page 7	股票市場沉悶不堪買賣更形寥落全日成交尚不及三萬元
page 7	英金不動英銀回漲
