page 2	蘇聯向羅收回失地
page 3	襄西形勢益見好轉宜昌近郊日軍受創贛北我軍圍攻南昌續有進展
page 3	對日本要求英審慎考慮伯特勒訪重光葵商談英新訓令今日可發出
page 3	張學良在黔痛斥鮑逆文樾特函東北故舊努力抗戰 
page 3	越南情形無大變化
page 3	日機續飛渝肆虐英使領館全部被毀路透社址中彈著火連日擊落日機兩架
page 3	築英僑義舉自動增闢防空石洞免市民受日機摧殘
page 3	平英大使館被人投彈傷華籍僱員一人
page 3	汪偽組織捉襟見肘內部暗鬥愈趨激烈
page 3	滬法日雙方簽訂協定內容秘不發表
page 3	華北日偽當局壟斷對外貿易擴大外匯統制範圍
page 3	政務巡視團視察粵北縣政
page 3	僑慰二分團由韶關抵桂林即將辦理結束
page 3	代夫服役曾秀梅深明大義
page 3	滬泰晤士報發生工潮
page 3	滬西發生搶米風潮
page 3	穆逆時英在滬被人擊斃 
page 3	旅泰僑胞多人組回國墾殖團短期內將赴滇南新察滇當局努力發展蠶桑
page 3	陰影下的越南二
page 3	桂南日軍冒險深入我軍正竭力截擊中
page 4	蘇聯收回失地羅國承諾要求蘇軍開入貝沙拉比亞黑海安全感從此確立
page 4	德官方電台否認和平傳說張伯倫發表談話謂決不休戰希特勒擬於一月後結束戰事
page 4	政友會中島派將召集大會
page 4	駐蘇英使呈遞國書
page 4	美共和黨候選人威爾基氏當選將繼續推舉副總統候選人
page 4	佐藤尚武奔走德義對越南及荷印問題請求二國之諒解
page 4	羅斯福總統實施應變全權有權捕拿港口各國船隻美超級無畏艦下水
page 4	英國政局將有新部署青年議員軍事領袖望邱吉爾清除敗類
page 4	貝當內閣改組政府即將遷往中部
page 4	美巨艦下水
page 4	威爾基當選
page 4	法國黃金大部寄存美國
page 4	蘇羅關係檢討
page 4	傳德曾勸羅王接受蘇聯要求
page 4	巴爾幹各小國對此態度冷淡
page 5	東江戰局急轉直下日軍昨全線潰退我先後克復龍崗橫崗港沙交通定今日復航
page 5	日偽四千潰竄深圳
page 5	粵教廳籌設戰時藝術館
page 5	三埠澳門交通中斷我軍夜襲九江龍泉
page 5	桂省農田水利工程積極進行決再貸款五百五十萬元繼續完成恭城等十三處
page 5	桂省普遍創設國民中學救濟失學青年
page 6	醫務總監司徒永覺昨日巡視新界難民老鼠嶺麕集難民多露宿粵省振會請求蓋搭葵棚
page 6	李耀祥談施振情形
page 6	兒童保育院今日開幕下午有專車開粉嶺
page 6	七月一日銀行假期郵局辦公時間更改
page 6	傷兵之友徵募成績繼續催收即將公布 
page 6	牙醫條例七月一日開始執行
page 6	赴廣州灣輪昨突停止開行
page 6	英倫不易受敵襲擊本港荷代領事接到報告荷僑捐薪以為救濟基金
page 6	陸軍當局贊許農民協助新界軍隊搬運鐵絲材料
page 6	非歐籍英人可參加義勇車
page 6	華僑中學
page 6	培正分校
page 6	鍾斯返菲
page 6	各校女生組織文藝協進會 
page 6	本港當局再許白米出口須領特許證有相當限制出口額約為入口額百分七十
page 7	今日加山棒球賽南華對抗港啤強弱懸殊南華隊凶多吉少明早兩場中華香港有苗頭
page 7	港圓外匯先漲後縮英匯趨緊申匯穩靜
page 7	股票跌風益厲人心浮動價格續告不支
page 7	國幣仍淡
page 7	八九金市再趨下游
page 7	東方師次仰光大破冠軍隊四比一侯澄滔表演出色觀眾一萬五千相當熱烈
page 7	夏令籃球賽秩序編定七月九日開賽 
page 7	公開籃球精采賽星島戰鐘聲銀聯兄弟分頭迎戰廣大勵行昨夜長虹勝青白
