page 2	中國戶政之實施問題
page 3	湘北戰局漸見好轉敵軍後路被我切斷我軍反包抄逐漸縮小包圍圈
page 3	粵西北江血戰敵軍傷亡慘重
page 3	東戰場我出擊各地捷報頻傳
page 3	英援華會籲請美國發表美日談話真相
page 3	英經濟學專家倪邁雅氏來華係應我政府邀請
page 3	我臨參會歡迎美軍事代表團
page 3	美日商妥辦法運回停滯貨物
page 3	三國同盟週年東京熱烈紀念豐田演說強調軸心關係近衛並電賀德義兩巨頭
page 3	日報狂言竟要求英政府召回德夫古柏
page 3	千秋不朽四海同悲蔣委員長輓張季鸞先生
page 3	美國已覺悟知日本無法安撫
page 3	羅慕洛
page 3	滑翔理事會
page 4	列寧格勒大戰紅軍反攻獲勝克復四村殲敵逾千
page 4	西北前線大雨德軍陷於泥淖
page 4	黎特爾頓返抵英倫磋商中東問題伊朗英蘇軍合作極圓滿華維爾有將赴伊朗之說
page 4	德國對蘇發動和平攻勢蘇態度堅决嚴辭拒絕
page 4	德國攫取南美的陰謀
page 4	德軍公報宣傳轟炸蘇護航隊
page 4	波蘭在蘇訓練新軍人數將達十五萬名最短期內即開前線抗戰
page 4	敵糧食恐慌內閣採取緊急統制政策
page 4	美加緊聚造船十四艘同時下水三百艘在建造中
page 4	戴樂飛抵英將與邱吉爾魏南等晤談此行任務各方揣測不一
page 4	聯軍國會議通過草約組織中央局蘇聯建議代表地位必須均等重申尊重主權民族自決原則
page 4	諾里斯預測美月內參戰
page 4	英每日戰費大顯神通一千零五十萬鎊新預算將更有加增
page 4	哈里法克斯由英赴美返任
page 4	澳駐日公使拉丹奉召返澳述職日認拉丹此行意義重大
page 4	越日軍不法暴行濫捕我僑胞法認為破壞協定提強硬抗議
page 4	蘇聯通知高爾承認自由法國並訂立政治軍事同盟
page 4	感化院兒童四名請纓殺敵
page 4	日對拉丁美洲進行商業侵略
page 4	可以休矣
page 4	印度香客傳在新疆遇匪
page 5	加山麓一幕精采戰光華過江鬥南華德輝倒戈統領三軍殺向娘家蘇軍在掃桿埔出戰水兵
page 5	米杜息錯用戰略東方六出祈山澄滔阿奎福全各一金海三隻局勢緊張刺激精采不多
page 5	聖約瑟有勁五比零殺退警察隊
page 5	愉園看客皆歡喜星島勇克工程七比四在十二分內連輸三球景祥靈聖出色博好評
page 5	光華如何勝南華
page 6	國幣存款轉換港幣申請辦法昨公布購貨運內地者可獲批准每元合三便士十六分三
page 6	釋放留港孤單有關各方面發表意見認為主權不在港政府
page 6	中國文化協會昨開三屆年會選出李應林等二十三人為理事年會宣言亦經通過發表
page 6	劉維熾返前四邑港僑乞師救鄉
page 6	本港進口糧食海關公布八月份貿易數字仍維持去年狀況
page 6	宣言
page 6	港府開徵所得稅定下月十五日初次集會廣義所得稅範圍之一斑
page 6	十仙印花並不虞缺乏已陸續運來
page 7	西江我軍進抵開平蒼城發生空前激戰我高級長官親上前線督師
page 7	季鸞先生哀思錄
page 7	梁士純談戰地工合晉豫浙皖兩區積極擴展已能生產前線所需物品
page 7	成都一週
page 7	南棚海面敵艦騷擾
page 7	連保清匪奸匪自新期限准延至九月底
page 7	桂林八月份人口統計共廿八萬三千餘
page 7	外匯牌價不動申匯市況穩定
page 7	股票市況穩靜秋季賽馬影響買賣寥落
page 7	滬標金價依然穩定
page 7	國幣市況仍甚穩定人心趨好價將續漲
page 8	法西斯鐵蹄下的巴黎
page 8	幾部關於日本問題的新著
page 8	曲式與樂曲
page 8	馬思聰其人及其音樂
