page 1	反對德萊柏計進
page 2	總統提名翁文灝長政院立法院昨午後會議通過
page 2	翁文灝當選經過昨天一連舉行了多次會商最後立院以四八九票通過
page 2	知識份子的出路
page 2	南京學生晚會停開清華討論反美扶日
page 2	張群意態悠閒下月一日返京
page 2	有此一說銀圓又將流通
page 2	視察江漢堤工水利部派員抵漢
page 2	監院六一集會總統提出行政院長後決定籌委會已電各地監委準備
page 2	陳立夫即赴美
page 2	俞鴻鈞視事
page 2	蘇大使羅申拜會王外長
page 2	農具生產改變計劃採取重點主義
page 2	美憲兵有甚麽權力在菲海面扣我商船我駐菲公使提出抗議
page 2	煙台等地地震
page 2	萊普漢自歐洲返美將與霍夫曼等商討援華美援華墊款快要用完了
page 2	公教人員生活費本月分支給標準公布穗卅六萬倍粵卅一萬倍
page 2	兩日戰犯昨天公審
page 2	北江流域所見籌集自衛經費花樣很多軍隊過境頻繁民不堪苦華振中視察返穗談話
page 2	鄭州又緊國軍下許昌應縣解圍熱西續激戰
page 2	廣州瘋狗猖獗近來咬死一人咬傷多人
page 2	衛立煌赴葫蘆島
page 2	南寧大雨陸地行舟塌屋甚多
page 2	駐丹公使李駿病逝
page 2	台北美空軍酒醉撞了車
page 2	粵稅收增加這是攤派政策的成效
page 2	拐小童圖厚利廣州有些歹徒喪盡天良許多小孩陷入悲慘命運
page 2	魏道明赴台南
page 3	蘆田告訴議會日本今年可獲七億美援又向美商借自由輪五十萬噸我與美洽談日工業水準問題
page 3	緬甸政治慘殺案主犯宇素的一生王德安寄自仰光
page 3	對日和會中英均主早開美圖盡量拖延各國對程式尚多歧見
page 3	美國算舊帳要蘇清算戰時帳目
page 3	中美將會審日戰犯雙方合組軍事委員會審訊我戰俘受虐待案
page 3	日本絲業專家飛法參加會議
page 3	甘地被刺案即在印京開審
page 3	永源號輪船將歸還我國
page 3	華萊士續指摘美外交對德日政策達反戰時諾言共產思想非槍砲所能消滅
page 3	義新閣終組成艾諾第接受喀斯貝里名單
page 3	華萊士傳準備飛蘇
page 3	馬尼拉大火僑商堆棧廿七家全焚毀損失當超過五十萬美元
page 3	特港舊案重提蘇擬建議重畫界線英美表示難接受
page 3	新加城通信華僑政爭的激化引起了當地政府的干預
page 3	同是天涯淪落人六流亡領袖會議
page 3	蘇格蘭人民的憤懣為自由而戰自己反喪失自由天然資源正受着外國的劫掠
page 3	猶人下停火令阿人要戰到底
page 3	蒙哥馬利不過學生耳伊麗莎白將做母親乎拍賣珠寶救濟難民解開褲子證明身分
page 3	美人反對反共法案七社團及卅五名人致電參院認為此舉違反了憲法的特權
page 4	廠商代表見輔政司請求限制日貨傾銷並對扶植工商業提出幾項辦法
page 4	立法局明日會議廖阿利孖打詢問英政府撥款
page 4	盤尼西林管制辦法
page 4	李度昨日北返行前暢談緝私
page 4	貝祖詒前天到港
page 4	棉興布廠工潮擴大男工將與女工採取一致行動
page 4	飲食商請配煤港府表示可行
page 4	健康週第二日號召撲滅蒼蠅當局發表的第二篇論文
page 4	電燈公司新廈明秋可以完成
page 4	革新派人士重提另組商會
page 4	南洋考察團下月中起程
page 4	南洋紗廠工人接受廠方條件即可商談復工日期
page 4	紡織廠商想減工資和總工會定期商討
page 4	高庭昨日聽取活特遇害經過警方否認曾毆打被告等迫供
page 4	鐵流歌詠團月底唱祖國
page 4	端午節近加配糯米
page 4	港政府招考二級公務員
page 4	海宙輪拒檢查水師奉令監視
page 4	走私新花樣聯絡次等旅館託旅客代帶貨
page 4	英軍官的供證三個婦人阻街經過黃女作證哭不成聲
page 4	阮文春今日來港
page 4	穗府廣播電台聯絡本港團體
page 4	上元嶺上兩車相撞
page 4	泥工跳樓未死
page 4	九龍十八咪計劃建泳場
page 4	新界發生劫案事主朱錦受傷
page 5	本港美匯長期趨勢不致低於五點五元美匯供給量每月在千五百萬以下
page 5	評輸出入管制上
page 5	穗市金價又起波動申匯回漲一○三港紙上升二三關
page 5	國幣內匯幻變僑匯幫購買申匯穩盤穗港紙升省匯轉退潮
page 5	金市波動幅度狹小穗市納胃旺金價難下降
page 5	英鎊漲跌影響息價
page 5	黃金市場醞釀變化
page 5	椰油椰幹管制星洲取銷馬來照舊
page 5	金市變動少資金移股市青洲英坭價續升
page 5	改善僑匯辦法財部通盤研究否認僑匯逐月減少
page 5	暹羅僑匯湧到汕頭銀根奇緊日息上升小鈔貼水
page 5	天津黃豆星洲滯銷
page 5	搜購黑市美匯定購法比五金仍有百分之二十的毛利
page 5	計口授糧實施前汕頭米價狂漲來源困難走私風行
page 5	開發瓊島設鋼鐵廠
