page 1	社評五四文藝節感言
page 2	中美對實施援華換文南京華府昨同時公布美將派經濟合作代表團來華中國承認美國沒有援華義務
page 2	布列特到上海過東京發表談話他怕中國赤化影響日本
page 2	武大學生紀念五四一日開始八日結束節目包括文藝科學等晚會
page 2	陳誠訪何應欽兩人相談甚歡
page 2	李宗仁宴國代
page 2	總統就職大赦當局說無所聞
page 2	京工人生活指數上月廿四萬四千五百多倍
page 2	粵漢路將局部改善所得美貸全部在美購料要恢復舊觀還需大筆錢杜鎮遠在穗談話
page 2	科學的民主與民主的科學中國最需要民主和科學上
page 2	平緩寧蘭航線中航定期恢復
page 2	城陵磯築港粵湘省府將在長沙開會招商局等有關單位參加
page 2	歸國僑胞服役辦法粵省府公布政院命令
page 2	國民黨籍國代座談會蔣主席勗勉自信自強要實現民生主義提高人民生活
page 2	黃旭初昨抵穗應宋子文之召商聯防等問題六十萬擔桂穀分批運往廣東
page 2	新兵想要逃跑失足落樓慘死悲慘故事發生在漢口
page 2	邊疆學校要求改大
page 2	粵立委名單
page 2	臨淄地區繼續大戰應縣激戰又起熱南情況緊張
page 2	立院正副院長人選國民黨推定孫科陳立夫陳立夫再辭組織部長
page 3	為締和約開闢途徑英主速訂定日工業水準認美故意拖延以達扶植目的擬建議十一國會商和會程序
page 3	日本生產激增鋼鐵業得助於瓊島鐵砂去年產量增加百分七十
page 3	日本行憲周年議會舉行慶祝共黨議員拒向裕仁折腰
page 3	德先生與賽先生
page 3	胡世澤談南韓選舉本月十日決將如期舉行但不知道有多少人投票
page 3	菲日貿易之恢復美極力從中撮合菲美高級當局開始會談
page 3	韓人在日飽受虐待旅外朝鮮領袖提出控訴指摘美軍當局助紂為虐
page 3	日報替裕仁叫窮每年收入八百萬日圓據說還不夠廷內開銷
page 3	霍奇的隱憂北韓將成立全韓政府
page 3	英軍繼續增援聖地阿猶休戰廿四小時聯合國已發出聖城停戰令
page 3	羅新政府美也予承認
page 3	民主重實行執政者要勤求民隱實現民意人民要提出要求
page 3	蘇撥款二百億貸助經濟復興
page 3	微弱的和平呼聲美十二位名流呼籲裁軍要求政府重定外交政策
page 3	美建龐大空軍國會即可批准七十大隊一萬二千飛機
page 3	指出軍事當局錯誤號召組織世界政府
page 3	艾森豪威爾任哥大學校
page 3	載洛獲釋決向最高法院控訴
page 3	泛美會議草草閉幕
page 4	總統就職雖無定日五五公假日不改期港府發言人昨日表示
page 4	慶祝大會發表聲明望延期不影響熱情
page 4	慶祝總統就職有關各業繁榮
page 4	工業界向港府要求限制日貨進口放寬工貸尺度徐季良等昨分訪各當局
page 4	福建同鄉會選出理監事
page 4	華商總會糾紛未已新派決意起訴部分值理成立委會以謀應付
page 4	精神病院有人滿之患
page 4	廠商會二小組改選新委員
page 4	新舊兩派實力分佈
page 4	漁政司祈達談漁船機械化漁船裝摩托雖費錢但仍合算
page 4	騐收東莞堤工完畢東華三院代表返港
page 4	兩文協紀念五四一在孔聖堂一在公主餐室
page 4	解決紗廠配件困難九龍將成立五金廠
page 4	肉票逃出砲樓報警捉住兩人九龍裁判署初審終結
page 4	無聊的男人離婚妻再嫁他要米飯費法庭判他苦獄三月
page 4	刺殺的士司機二疑犯昨受審
page 4	流海小輪中學徒陷賭局
page 4	三盜路劫搶去支票簿
page 4	兩毫之差人力車談判僵持
page 4	十六歲青年偷電線兒童法庭判他監禁半年
page 4	美女帶禁品被捕到警局
page 4	警員被控打人女店主作證
page 4	強姦五歲女判刑一年半
page 4	四盜光顧新界小屋
page 5	傳經濟措施變革聲中滬金鈔又掀起漲風美鈔創八七萬新高峰黃金步升四六五○萬
page 5	江水水位上升後各路走私重趨活躍走私組織紛紛復業
page 5	星洲椰乾驟呈蓬勃
page 5	外匯政策暫不變為顧全國貨在外市價
page 5	金市仍呈疲勢傳上週末到三萬盎斯本週內再來二萬盎斯
page 5	人造絲廠將開工年出貨二百萬磅
page 5	台幣匯率昨日調整一比二五六元
page 5	日布南下聲中星市國布銷路滯港國布價聞風降跌目前銷場蘇島最多
page 5	穗商檢局發表四月分出口商品統計桂皮畧減茶蛋激增
page 5	報告去年生產量紗七千四百五十包布一千六百餘萬疋
page 5	美貨領證出口首批物品詳單
page 5	上海批發物價指數計五十一萬餘倍
page 6	香港出席全運健兒最後一批今天出發馬華第四批選手昨過港飛滬暹華隊準備晉京觀光
page 6	第七屆全運會透視大會設備有先天不足之感宿舍外表堂皇內部很簡陋
page 6	新疆省全運選手第二批於四月廿七日抵滬圖為下機時所攝
page 6	各方實力檢討田徑台灣奪標有望游泳香港尚無把握足球八隊旗鼓相當
page 6	寫在全運開幕之前
page 6	京滬火炬接力跑完成三四兩段行程昨晚留宿宜興今晨繼續前進沿途民眾夾道歡呼數以萬計
page 6	全運單位五十四個男女選手二千餘人上海市參加人數最多
page 7	天旱水潦蝗蟲潮汕天災循序而至早造將歉收米價又上漲普寧一帶有人炒收期米
page 7	江門一場武劇中華戲園被人搗毀汽水啤酒用作武器
page 7	曲江警局苦窮向商人募崗亭
page 7	增城共軍活躍部份鄉村實行土改
page 7	為了繳不起糧被罰男女同牢增城下湖鄉催糧怪事
page 7	粵漢路上走私四個軍人跌死
page 7	翡翠大王到了上海三根金條引起誤會害得警察忙了一番
page 7	翁源劫車戰死傷十餘人
page 7	十三號兇宅逢凶化吉十五億賠款結束了官司影片不更改只是充畧改說明書
