page 2	社評給美國報界的一封信為楊格氏在東京被捕案
page 3	桂南戰局大見穩定北竄日軍被我包圍賓陽一帶激戰武鳴外圍鞏固
page 3	桂綏署參謀長謁委座請示返桂後即赴前線視察
page 3	今日全國舉行春禮勞軍運動慰勞總會電前線將士望不斷奪鬥爭取勝利
page 3	吳鼎新由粵抵桂轉渝
page 3	粵省府在東江遍設護僑站招待歸國僑胞
page 3	滬米價仍高
page 3	空前絕後的賣國密約一
page 3	桂緩署積極推動戰區政治工作將在日軍後方設辦事處
page 3	海內外討汪電如雪片飛來
page 3	滬汪派機關擬提早遷往南京防人員陸續拆夥
page 3	鮑文樾葉蓬兩逆國府明令通緝所有勳位一律褫奪
page 3	漢奸下塲增城偽維持會長供應不周被槍斃
page 3	滬本報舊址被人投彈工人一名受傷
page 3	桂教廳組教育督導團出發赴邕武區工作
page 3	軍政部增設俘虜收容所
page 3	廣州日軍恐慌戒備力圖嚴密各公路交通多被我破壞
page 3	美使詹森明日由滬抵港
page 3	滇越路問題日對美照會正在研究中
page 3	粵武裝民眾積極編訓中預計可練成勁旅百萬戰區農村努力恢復中
page 4	美增加信用基金便利對我放款續貸二千萬已成熟
page 4	日方又圖恫嚇
page 4	美國立場堅定
page 4	日議員猛烈抨擊戰時增稅案物資動員計劃引起爭端煤斤奇缺電氣大受影響
page 4	美蘇邦交問題赫爾表示應予維持眾院已否決絕交案
page 4	張伯倫在眾院報告戰况英法聯合會議意義重大德國勝利宣傳不符事實
page 4	低氣壓下之日議會
page 4	日方之自供日議員怕偽滿獨立主張改組其土地制度
page 4	蘇聯真理報暢論中日戰事華軍實力有增無已人民團結力圖自強
page 4	淺間丸事件日得寸進尺要求釋放全體德人
page 4	蘇芬戰况劇烈卡列利亞芬軍敗退英人組級援芬義勇軍
page 4	諾門罕邊境日蘇守軍衝突史丹將軍調返遠東
page 4	巴爾幹之謎土保極力尋求諒解南匈傳將進行妥協
page 4	義國防會議
page 4	預算案與催眠曲櫻內報告議員假寐
page 4	桂南之形勢
page 4	諾門罕衝突
page 5	廣花路我軍活躍日進犯兩龍已被擊退東莞偽軍爭奪稅收自相火併
page 5	西江各地游擊隊紛起出擊江會情形極混亂
page 5	浙東各地積極防衛疏散人口物資溫州奉令執行
page 5	我攻入莞城巷戰激烈日營房被焚燬
page 5	粵省各機關組織戰地農村復興會負責辦理粵北戰區事宜限期五個月內達成任務
page 5	滬凍斃難丐數逾二千入冬以來氣候酷寒橫屍街頭到處可見
page 6	港僑自衛團因無必要停止出巡擬於二十二日正式結束羅旭龢氏將向僑眾報告
page 6	學生賬濟會主辦慈善換物會昨開幕會督何明華主持剪綵典禮張一　書鏡屏數幅贈該會
page 6	兒童賑災會紅包運動昨日開始出發募捐
page 6	馬頭圍道劫殺案事主被刺斃女傭受重傷兩賊劫去巨款逃逸無蹤
page 6	太平劇團今日二卷寶鼎明珠
page 6	漁船裝收音機聽取氣象報告漁協會將訓練智慧漁民使其熟識普通氣象學等
page 6	除夕元旦火警三宗九龍城焚樓宇兩棟
page 6	東華三院新總理定期就任十三日推選主席及首總理決廢除參神及燒黃紙舊習
page 6	秦良玉中央利舞台聯映
page 6	航行注意船政官通告
page 6	嬰兒出世務須註冊港當局再通告居民違者處二百元罰欵
page 6	作戰計劃隨機應變
page 6	粵購米散賑顧翊羣電省銀行購運米石三千包
page 7	港越埠際足球賽今天展開戰幕下午三時半在加山南華場客軍昨晚抵埠一行十七人
page 7	香港埠際足球隊一比一戰和麗都
page 7	寒假期內球事補記
page 7	論埠際大戰
page 7	本港對馬來亞貿易去年增加千萬元糧食疋頭出口為最大宗
page 7	本港黃金外流逐年增加去年較前年多一千餘萬白銀外流數量亦告增加
