page 2	向建國之途猛進
page 3	參政會決通電討汪激勵軍民同伸誅伐抗戰成功之日奸逆伏法之時
page 3	日圖以關款引誘第三國
page 3	第三者口中汪偽組織醜態收買兒童苦力以壯聲勢汪兆銘攝影時神態失常
page 3	海內外團體續通電討汪
page 3	陳紹禹秦邦憲等將由延安抵渝參加參政會五次大會周恩來亦將同往
page 3	中日戰爭一千日日本越打越弱中國愈戰愈強今後將祗有日本向中國求和本港西報著文檢討全般局勢
page 3	渝參議會二屆年會開幕
page 3	國府明令褒揚盧斌
page 3	盛世才兼新主席行政院會議通過
page 3	滬工部局董事競選白熱化日方勾結德義西投票人企圖奪取公共租界政權
page 3	綏西又獲勝利反攻五原日軍全擊潰我軍乘勝向安北迫進
page 3	被綁之謎朱作同本為滬西客傳一度被綁至滬西
page 3	打擊日偽為東亞消毒害為世界除禍首
page 3	孫夫人在渝視察被炸區域對國大婦女代表名額謂必須婦女自己爭取
page 3	滬日報造謠謂已購得新新公司該公司當局已否認
page 3	汪偽組織祗是日本奴隸不生絲毫效用
page 3	參政會五次大會蔣議長開幕詞續昨
page 3	滇各界籌開討汪大會並將募款鑄奸
page 3	繼英美之後法國嚴正表示對汪偽組織決不承認
page 4	聯軍對北歐各國暫時放棄干涉擬致牒挪瑞阻止援德
page 4	聯軍對於黑海不致遽加封鎖
page 4	比報主張對英法親善應採純粹自衛措施加強與聯軍之團結
page 4	戰時日本農村地主與產組
page 4	英南商務談判羅經濟代表團將抵英
page 4	大量美貨暢銷英國
page 4	蘇在波境建築工事邊境一帶居民傳被勸令撤退
page 4	美國海軍開始出動演習軍艦百餘艘駛夏威夷荷印撥巨款加緊造艦
page 4	匈外交路線不久可判明親德派仍力主修約德里基地位愈鞏固
page 4	日偽的末路
page 4	英首相之演詞
page 4	菲對偽滿輸出將視同日貨奎松撤銷承認偽幣規定賽雅演講菲島政制問題
page 4	希望三點檢討過去成績督促未來工作
page 4	參政會五次大會蔣議長開幕詞
page 4	加緊努力欲求最後勝利須賴政治經濟
page 4	張伯倫演說對德加緊經濟戰與中立國訂約限制對德輸出
page 6	明日兒童節各團體將熱烈慶祝分為比賽展覽遊藝等項參加兒童之多前所未有
page 6	慶祝秩序
page 6	各主席團
page 6	九龍各學校聯合大慶祝
page 6	兒童賑災會歌詠大比賽
page 6	九龍青支會展覽遊藝會
page 6	重慶電台廣播節目
page 6	徵求傷兵之友本港各界籌備組織徵求分社章程通過後即正式成立不分國界種族均可參加
page 6	燈火管制大演習各燈塔一律熄滅
page 6	澳門學生救濟委員會函請本港各界捐助
page 6	星洲寬限本港貨物入口第一期定四月一日截止各廠家正趕造貨品運往
page 6	六德人過港
page 6	關山月定期舉行畫展
page 6	救傷隊大操
page 6	摩斯陞新職
page 6	商會與鍾聲社為英慰勞會義演定廿日在太平戲院舉行
page 6	蔣夢麟抵港
page 6	全港義學籲請當局暫勿執行義學新例
page 6	周啟剛談徵求目的
page 6	偵探帮辦朱香破獲字花賭場規模甚大聚賭者多女傭捕獲二十二人分別控案
page 6	教師聯合會假平安舉行
page 7	南華會昨晚開會足球隊決南遊領隊一職待下次開會選出滬麗都下月派隊來港
page 7	南華女子部初選揭曉
page 7	今天愉園足球東方戰米杜息
page 7	港外匯價昨略上漲英匯美匯市況穩靜
page 7	來源擁擠桐油價跌每擔昨降十元
page 7	股票市況略穩昨日成交十六萬元
page 7	八九金市略回鬆弛價較上日低跌元餘
page 7	蘇聯溜冰賽列寧格勒出色
page 7	鐘聲社籃球隊今晨征澳李德祺任領隊
page 7	東方征菲足球隊定九日出發在菲表演五場秩序抵步編訂征菲後再組隊南遊
page 7	公開籃球賽展期報名參加隊伍踴躍
