page 2	社評讀日俘談話的感想
page 3	各線穩定平靖無事晉Ｘ雖活動仍無法進展我正注意訓練建軍工作
page 3	一週戰況六月一日至七日軍事委員會發表
page 3	會同壯丁忠勇衛國請纓
page 3	津Ｘ不滿英領事答覆為引渡嫌疑犯事郭大使提出抗議
page 3	日俘虜在桂林他們全過着很舒適的生活對侵華戰爭有了新的認識六月二日桂林航訊
page 3	法幣市價昨跌落打擊Ｘ方套取外匯完全出於我國自動
page 3	華北偽幣慘跌偽聯銀陷於絕境Ｘ力圖挽救整理
page 3	美使抵滇十日乘車赴渝
page 3	桂參議會閉幕滇參議會定期召集
page 3	上海搜查積成驚人數字
page 3	英方觀察覺
page 3	蘇境我軍活躍句容近郊戰事激烈京滬路南被我控制
page 3	Ｘ機襲南寧在市區投彈多枚
page 3	恩施大火Ｘ機九架投彈
page 3	Ｘ機一架襲鎮海被擊落
page 3	雷鳴遠昨向歐洲廣播駁斥日本教徒
page 3	江海關帮辦裘卓其調任
page 4	英將派外交代表赴蘇進行談判英法新對案已擬就可望滿足蘇方意願
page 4	英王偕后今日抵美羅斯福親自迎迓華盛況空前
page 4	美蘇親善駐美蘇大使遞國書兩國友誼極積發展
page 4	希特勒戈林同時發表演說為德國參加西內戰辯護
page 4	李海新職羅斯福正式任命為波多黎哥總督
page 4	美各方一致擁護羅斯福連任內閣開始競選運動
page 4	英潛艇失事後朝野紛紛解囊撫身䘏殉職家屬
page 4	萬山叢中的西昌續西康踏入記一
page 4	英波互助協定範圍將擴大波大使訪英首相外相商成立政治經濟協定
page 4	Ｘ財力漸竭向民間搜刮強迫人民呈報所有金器以便作將來徵收之根據
page 4	美對日輸出較前大為減少對華貿易略增
page 4	拉愛兩外長抵達柏林與德簽不侵協定
page 4	滬綸昌英籍職員丁克勒傷重殞命克萊琪向日提起交涉Ｘ積極推動反英宣傳
page 4	槍擊公爵夫人案羅魯被控受審傳因失財致影響精神將被拘禁警局一星期
page 4	羅斯福太夫人親自義賣救濟我受傷人民
page 4	美駐法大使下週返國
page 4	美購銀法延長兩年參院銀委會通過
page 4	莫洛托夫將辭人民委員長專任外委長職務
page 4	義駐英大使遄返羅馬臨行曾訪英外相
page 4	甘茂林將軍擢昇陸軍統帥海空參謀長同時昇遷
page 4	法幣跌價
page 4	丁克勒的死
page 4	瑞典海軍下月初舉行演習
page 5	Ｘ偽潰退後我增防鞏固三江鄉五日擊落Ｘ機一架證實港澳僑胞捐欵慰勞鬥士
page 5	汕頭平靜Ｘ運輸艦過境未停僅有五艘在汕窺伺
page 5	張公權視察完畢滿意滇緬路工程雖在雨季亦可暢通貢獻國家至為偉大
page 5	第三十七次粵省務會通過兒童教育經費更調恩平南雄縣長
page 5	粵參議員分五路出發勞軍
page 5	廣東臨時參議會首次大會概觀十次會議要案一個科括報道三一宇
page 5	合浦厲行清野
page 6	英王壽辰港督今日檢閱駐軍編定秩序並升王旗致敬會塲座位均已分別劃定
page 6	譚雅士昨解釋禁止九龍養豬真相市區向外發展畜牧有碍衛生執行禁養範圍僅限於舊九龍
page 6	利源東源搶案刼匪昨晨提案被控行刼及携械共兩罪華探尹文昨日傷勢轉佳
page 6	兒童保育會週末舉行大會選舉下屆職員理事百人男二十五人女七十五人
page 6	加拿大僑胞源源匯款統交廣西銀行轉交
page 6	美女明星史都雅今日由滬抵港
page 6	昨晨大博道捕獲嫌疑賊匪疑匪放槍不遂束手就擒拾獲手槍三人將被控案
page 6	婦女習藝所決議遷港續辦
page 6	夏季馬票沽出十三萬張
page 6	青年籌賑會召開會員大會
page 6	蔣夫人抵港昨日外報登載
page 6	正興德薰茶九龍奇香村寄售
page 7	奧林匹克委員會選出本屆新委員我國方面孔院長代表當選Ｘ又妄想主辦下屆世運會
page 7	我網球健將王文正求港
page 7	拳場秘史一喬路易一拳中要害西姆斯神經失常態
page 7	南華戰海防選手二比二和局病倒獨木關卓石金昨日返港異地逢知已宋靈勝半路出家
page 7	傳我國限售外匯港匯市趨勢不定滬商紛紛來港採購外匯勢緊影響所及申匯市況略見趨淡
page 7	股票扶搖直上投機買戶更見踴躍各股價格一致略漲
