page 2	社評日本不能以蘇代美
page 3	欽防日軍冒險深入白主任談日如犯桂將予消滅晋西續捷我軍克隰縣屹台頭
page 3	晉日軍遭重創我主力進迫黑龍關
page 3	戰爭改變歷史
page 3	汪兆銘窮途末路竟向滬各業領袖施恐嚇偽政權前途仍渺茫
page 3	我空軍活躍連襲南京開封廣州日偽方面恐慌異常
page 3	我對外貿易十月份出超
page 3	懲治漢奸桂武宣在公園內塑製汪夫婦泥像
page 3	日兵源枯竭人民大厭戰百計求免祇得動員在鄉軍人
page 3	全美民意同情我國主觀廢除美日商約禁止軍用原料運日
page 3	衛立煌巡視豫北歸來印象極為良好
page 3	滬米價飛漲因交通受人操縱
page 3	日加緊封鎖津英法租界
page 3	鄒洪就職參加來賓千餘人
page 3	渝哈線昨正式通航
page 3	六全會組織決議案整委會推定戴傳賢等為委員憲政問題傳將有決定
page 3	滬西大火英商堆棧被焚損失約十萬元
page 3	日機飛襲興寧水口我無大損失
page 3	滬捕房警探被日軍拘捕當局向日方交涉釋放
page 4	希特勒的窮途傳擬發動總攻參謀總部不表示贊同義反蘇鬥爭日趨明顯
page 4	斯考達廠暴動捷京宣布戒嚴德軍大捕捷克學生貝奈斯痛斥德暴行
page 4	日報怪消息蘇售潛艇與德將以海參崴為根據地在遠東方面從事活動
page 4	晉東南在苦戰中
page 4	德違法佈水雷炸沉中立輪隻荷輪遇難者已抵英立陶宛貨船亦遭難
page 4	德機侵犯領空荷提出抗議德荷飛機開槍互擊比京緊張漸呈和緩
page 4	土捕獲德國間諜被控廣設宣傳機關土代表團赴英談判
page 4	澳洲加拿大編組遠征軍英軍繼續增援西線加向美訂大批飛機
page 4	西線空戰加緊英空軍飛襲威廉港西線各點砲兵活躍
page 4	英法兩國進行經濟軍事聯絡雙方合組六委員會共同利用互有資源
page 4	燈火管制舞英國戰時新舞蹈
page 4	寺內遊歐返國談德對日仍有望義陸軍亦向日勾結歐戰前途極難預測
page 4	白將軍的豪語
page 4	阿部心裏明白
page 4	倫敦炸案疑係愛共和軍所為
page 5	江會戰事仍激烈日軍犯西坑不逞新鶴路我軍反攻國路圍奏捷睦州偽軍搶割禾稻勢益猖獗
page 5	廣九路中段我展開攻勢寶安日軍北犯受挫
page 5	發動智識份子粵省掃除文盲普遍輸民眾教育工作各縣主管機關負責考成
page 5	韶關籌備舉辦集團結婚
page 5	馬來亞外匯統制英政府允予改善華僑出入口商請求結果
page 5	戰地鴛鴦牧童有福巧獲異國佳人日兵命賤權充同伍嫁禮
page 5	粵南兒童保育事業張炎夫人負責辦理已收容難童數百人
page 5	滬郊我軍不斷出擊龍華莘莊炮聲清晰日軍驚慌形勢嚴重
page 6	港督授權稅委會擴大研究範圍所得稅是否適合環境如不適合有何稅可代
page 6	港府儲糧計劃大部業已完成米商奉命存米下月開始存米數量可供三月之用
page 6	牛池灣兵房明春興工當地居民限期遷徙
page 6	五婦女團體中山視察團返港當地軍民合作印象甚佳該團分別籌商積極救濟
page 6	暹僑救國會會務指導主任抵港
page 6	中國虎戲團為兵災會義演籌款
page 6	福安輪碼頭苦力互毆三苦力一小童受傷拘獲七人解返警署
page 6	東江臨時醫院救護隊整裝待發隊員攜有藥品數十箱許讓成昨晚設宴歡送
page 6	昊潮川遺體昨日出殯親臨執拂者千餘人
page 6	太平劇團今明兩晚首次重演
page 6	國貨公司一周紀念盼望僑胞協力提倡舉行贈品以酬各界
page 6	中央旅行社舉辦香港仔旅行
page 6	銅鑼灣區小販分會昨舉行成立典禮
page 6	算學辭典出齊發售特價
page 7	督憲杯一幕血戰華聯打贏頭陣五比三西聯力抗失敗
page 7	一籠點心
page 7	港星在菲第五仗勝中華一分十八比十七情勢吃緊
page 7	菲遊瑣記
page 7	港星隊排球表演在菲敗於華聯二比零主隊演出潑辣收入撥交航建會購機
page 7	學界籃球今日
page 7	粵南吃緊後國產運港情形牲口及錫礦來源最受影響茶葉藥材鎢礦出口仍暢通
page 7	棉花售價日見高漲出口多運銷澳門
