page 2	社評獨立強盛之中國
page 3	美海軍作戰時編制集中主力於太平洋分設太平洋亞洲大西洋三大艦隊援助中英希法案已提出國會
page 3	亞洲艦隊擴充中以便獨立應付對日作戰菲島四周防務最近大見充實
page 3	赫爾摩根韜會商援英問題具體計劃研究中
page 3	日機窺滇
page 3	滬慈善團體歡迎貝克
page 3	美國新軍的胚胎一
page 3	英屬馬來亞充實防務大批軍實近已源源運到美澳互派武官聯絡
page 3	泰越戰事轉激烈越境被泰軍侵進卅公里戴古表示仍願求取友好解決
page 3	滇緬鐵路西段即將興築
page 3	滬電車工人昨忽又復工
page 3	日艦多艘駛抵河內
page 3	滬法幣穩定債券均狂漲
page 3	日政府圖緩和政潮舉行官民懇談會
page 3	荷日談判下週開始
page 3	上海米市評定新限價
page 3	全國注重實科教育實科學生三年來大增
page 3	伯茂達扣留日僑倫敦認為處置適當英國保留在該島檢查權
page 3	今年九月日蝕蘇聯將派調查隊觀測各工廠趕製新儀器
page 3	修仁金秀傜區派代表赴桂向李宗仁等獻旗
page 4	綏西我軍獲勝渡河日軍全部擊潰鄂西我軍迫攻沙市
page 4	法糧食恐慌貝當正設法趕辦急振英同意美運糧食赴法
page 4	英駐葡大使呈遞國書希望兩國日臻友好
page 4	阿境義軍效顰使用降落傘隊圖阻希軍前進卒告失敗北非義軍援絕被圍
page 4	羅馬尼亞內部又起糾紛安東尼斯科拘捕鐵衛軍激烈分子
page 4	對羅斯福演講德報無聊謾罵顯經政府之授意
page 4	英將提高軍役年齡一說將取銷徵兵年限
page 4	英首相邱吉爾對美僑講演陳述目前世局危急關頭強調英美合作之重要性
page 4	赫金斯昨日抵倫敦
page 4	荷電影院禁猶人入內
page 4	倫敦空襲西寺受損
page 4	世界局勢秘密背景美參院外委會激請赫爾演講
page 4	煤斤石油德國皆感缺乏交通阻斷運煤困難羅國油田無法利用
page 4	美將改組海軍
page 4	泰越衝突激化
page 4	中南美德人陰謀活動圖破壞美國防計劃
page 5	江會整個戰局仍由我軍控制中順德團隊夜襲容奇得手
page 5	李漢魂發表文告勉勵廣東青年共同肩荷復興中國偉大任務視奮鬥為天職以犧牲為當然
page 5	粵省青年支團籌設青年館講習會
page 5	日機散佈鼠疫菌浙省嚴加防治金華籌設防疫指導所
page 5	馬來亞華僑千餘人陸續抵粵參加訓練
page 5	東江預防潦患加緊防報工作
page 5	廿九年度所得稅韶關限期徵收
page 6	華人代表代請港府延期實施移民例已接到華商總會請求書結果如何日內答覆商會
page 6	持有護照准許入境
page 6	鯊淡途中上
page 6	派員練習檢查手續
page 6	柳亞子電賀東方文化協會
page 6	冒充國貨火柴大量傾銷廣州灣並由該埠入銷南路各屬港澳廠商出口大受排斥
page 6	全港回教徒昨舉行禋祀節六千餘人齊集港九教堂紀念聖祖服從犧牲精神
page 6	教育部通令僑校捐獻學生號機校內捐獻不得向外勸募指定各級學生自動進行
page 6	粵救委會昨舉行常務會議
page 6	警署將建築新樓短期招商投承建築工程建築費已增至八十萬元
page 6	反蓄婢會選出幹事值理
page 6	中文協會籌辦二屆歌詠比賽分團體合唱與個人獨唱比賽辦法分初賽與決賽
page 6	三年來我國科學家之貢獻
page 7	麗華杯華聯代表下週開會遴選總會昨通告四華會派員出席盼屆時慎選精銳上陣
page 7	滬甲組足球聯賽東華初敗績秦必高受傷門戶洞開四比一法商贏仗
page 7	籃聯定明午開會討論平正上訴案
page 7	週末足球聯賽有多場因故改期
page 7	籃球規則更改滬西青已實行
page 7	王正廷杯賽籌備委員昨日正式聘定
page 7	南星票價不與東星相同
page 7	外匯牌價俱無變更美匯略淡申匯仍穩
page 7	股票市況沉寂昨日成交三萬九千餘元
page 7	四四金市先穩後靜
page 7	國幣市況尚稱堅穩
