page 1	社評應該召開對日和會
page 2	蔣總統抵西安部署軍事鄭州外圍一度發生激戰國軍增援部隊正向開封攻進冀熱邊境告緊古北口酣戰中
page 2	立院通過接受美援王世杰曾列席提出報告他說美援不損害我內河航權
page 2	物價漲得可怕上海三個月跳了三倍多大人先生們亂講話要負責任潘公展在滬參會致辭
page 2	事實勝於雄辯評美駐日政治顧問的聲明
page 2	王世杰報告詳述獲得美援的經過
page 2	颶風襲南海
page 2	平警局想搜查學校北大等校一致拒絕
page 2	昆明學生多人被捕若干學校罷課抗議滬教育家唐文治等函吳國楨請他不要傳訊交通大學學生
page 2	監院會議繼續舉行各委會組織法部分通過
page 2	經不起折磨楊妹病倒了
page 2	為了提高士氣將選戰鬥英雄
page 2	粵省參會第五天參議員質詢財政屠宰稅招標於法無據借款買港幣是何居心胡善恆對兩事有答辯
page 2	運鈔票經常被搶銀根緊物價高漲杜梅和在參議會上訴苦
page 2	物價波動中預算不好編
page 2	金管局受抨擊
page 2	宋子文邀參議員閱兵黃鎮球說請大家放心
page 2	南京一場劇鬥棚戶圍毆警察警察迫遷實行拆屋結果貧民數人被捕
page 2	海南環島鐵路無法再辦下去
page 2	鄧錫侯返蓉
page 2	和平縣不太平自衛隊被襲擊
page 2	澄海米價狂漲百姓多食雜糧
page 2	澳訪問團抵京
page 2	廣州車站驚險場面五百多人集體走私衝到站內打傷士兵
page 2	憲警大舉出動事纔平息他們高呼沒有飯吃怎辦
page 3	德國局勢一線轉機英美法接受蘇聯建議會商德貨幣改革問題柏林四國財政首長舉行會議
page 3	英法工潮持續倫敦碼頭罷工蔓延愈廣法樹膠業勞資方未協議比利時工人罷工已告結束
page 3	巴達維亞通信印荷談判的僵局
page 3	美支援西歐同盟將舉行軍事會商
page 3	北歐三國聯防初步談判開始
page 3	多瑙河會議南國同意在其首都舉行
page 3	蘇報評美對日政策認違背波茨坦宣言日本陸海空軍正迅速恢復
page 3	費城大會中美共和黨大吹大擂費城市長揭櫫共和主義伊州州長罵到羅斯福新政
page 3	巨頭鬥爭激烈杜史塔三人聲勢大麥克阿瑟相形見拙
page 3	競選何所恃賣弄新外交
page 3	墨魔子媳將重返故國蝴蝶夫人難望入美境
page 3	美援條件談判正在華府進行
page 3	季楠一去如黃鶴日戰犯判決無期七位法官埋頭草擬判決書
page 3	英人何事最煩惱柴米油鹽醬醋茶民意測騐結果貧富答覆相同
page 3	美外交人員在曼谷集議
page 3	共黨情報局會議還沒有證實消息
page 3	日學生何天真絕食促成世界和平
page 3	馬來捕人未已各地已共有六百人被捕不加審判一律拘禁一年
page 3	暹羅僑校問題尚無解決迹象
page 4	有趣的印刷機官司昨天審結明天宣判該案與本港勞工福利有關勞工顧問碧架亦到場旁聽
page 4	何謂印刷機是辯論中心
page 4	僑胞由港去廣州並不需要身份證
page 4	瞞載水產來港罰款後貸物發還
page 4	東華三院昨辦財產點交
page 4	九龍總商會昨開會對債務法案有意見意見即將呈華民政務司
page 4	反扶日運動商務專員表示同情
page 4	狄克西昨到港考察
page 4	文化界人士昨發表聲明反扶日及駁司徒雷登
page 4	粵購軍火一批已經過港運穗
page 4	工展代表謝伯昌等報告考察英美觀感認為香港工業可能追上英國若持薄利主義必有發展機會
page 4	廉價米又推出五千包
page 4	可憐的黃泗被控行乞自願入獄
page 4	未開演的馬戲班已有許多人去看
page 4	吸毒販毒嫌疑犯五十八人昨受審最重者判刑半年並出境
page 4	上週疾病統計肺病百五十宗
page 4	私藏印刷機一男子被拘
page 4	腰帶的錢何處去寡婦徐鳳貪買當票一千多元不異而飛
page 4	早知今日何必當初一青年跳海遇救
page 4	中行警鈴昨曾亂叫
page 4	計時彈爆炸地點在元朗一金舖後門據說該店曾接過打單信
page 4	打人一拳罰款一百
page 4	擄劫華僑案判決黃才入獄八年陳子容 無罪
page 4	華商會理監事首次會議廿八舉行
page 4	爭食豬腳砍傷人梁明要坐三月監
