page 1	澳門怎樣
page 2	同蒲南段戰火熾烈共軍攻入侯馬新絳浮山等地隴東國軍進駐安邊堡
page 2	東北戰況柳河方面激鬥進行
page 2	師範教育的新路線
page 2	印尼允予華僑權利歡迎華僑參加經濟復興工作對王外長聲明表示感謝
page 2	津各界歡送吉倫美憲兵侮辱記者杜市長向美方提出口頭抗議
page 2	民主政治與說話教育
page 2	國軍駐防旅大蘇方主張先會同勘定地區我軍事小組返瀋報告交涉經過
page 2	中長路理事長易人政院通過派陳延炯繼任
page 2	迪化市參會開首次大會張治中出席致詞
page 2	中國與莫斯科會議英報謂若以蘇聯支持中共而論則其義與政治之立場較之美國之援助民黨皆為堅強
page 2	外交部美洲司董霖兼任司長
page 2	京市參議會二次大會昨開幕
page 2	政院改組續洽商中民青兩黨府委名單即可公布
page 2	新聞局將設立組織條例完成立法程序後公布各省市政府新聞處將受其指導中宣部是否改易名稱在研議中
page 2	黃泛區代表團呼籲重建災區救濟災民馬傑報告行總在泛區工作
page 2	廉隅畏罪潛逃下令追緝歸案
page 2	蔣主席遊故里名勝昨赴相量岡並參觀武嶺農場
page 3	設立德政府問題無協議美英責蘇聯想赤化德國
page 3	華萊士飛抵倫敦希望建立政治世界合作號召進步份子聯合起來
page 3	英工黨重要團體抨擊貝文外交政策並譴責杜魯門忽視聯合國
page 3	八千里外的北京美議員戴克生先生的故鄉
page 3	緬甸獨立領袖擬組十萬大軍
page 3	葛羅米柯發表聲明蘇聯反對援助希土指斥美國干涉他國內政削弱聯合國機構之地位
page 3	援助希土案美參院昨已討論范登堡答覆蘇聯之指責裴柏贊同由聯合國援希
page 3	美勞工問題嚴重電話煤礦幾已全部罷工
page 3	英斯科電台斥弗朗哥復辟計劃
page 3	日縣長選舉揭曉右派大捷社會黨慘敗
page 3	戴高樂又發表演說闡明反共政治計劃反對統制經濟主張信守西歐傳統籲請修改憲法設立強有力的元首
page 3	各方觀感一斑謂戴氏已成共黨障礙此次演說尚為一起點
page 3	勃魯姆評論戴氏態度非共和國人所應有
page 3	汽車大王逝世
page 3	巴拉圭京城告急革命軍三路進逼佔優勢軍政府願尊重人權自由
page 3	滇省參會要求撤銷田糧機構並要求田賦改徵法幣
page 3	世界貿易籌備會七日已在日內瓦開幕將組一國際貿易機構
page 3	游資出關東北糧價驟漲
page 3	傘兵總隊昨舉行成立週年紀念
page 3	在電話裏結婚洛杉磯小姐的噱頭
page 4	同濟大學繼續罷課堅持校內駐軍必須撤離
page 4	交大五十一週校慶昨日舉行慶祝典禮留美實習生今晚舉行聚餐
page 4	買子幹撞斃後交大組善後會對德士古公司起訴
page 4	行總結束殃及學生四大學食堂將停辦
page 4	羅店抗日戰場立碑紀念陣亡將士
page 4	紀念平祖仁十五日舉行祭典
page 4	兩路新計劃正在商討中
page 4	兩輪今日啟椗海地駛關島海辰航印
page 4	滬閔長途汽車正式開始通車
page 4	改善交通市府諮議會昨商討
page 4	滬空中地形圖月底開始測繪
page 4	太虛大師遺體昨日火化
page 4	盲人福利專家今日離滬返英
page 4	民二前所領公產應專案登記
page 4	本雪文尼亞同學明日歡宴康哈兩博士
page 4	市立體專後日舉行校慶
page 4	韓國漢城足球隊定今日飛抵上海旅滬韓僑組後援會共比賽四場秩序排定
page 4	漁貸一百億元申請辦法規定
page 4	招商承包糞便市府可增收十億元
page 4	新舊財政局長明日上午交替
page 4	德奧及猶太人規定限制旅行辦法
page 4	大學演講比賽延至月底舉行
page 4	華聯汕隊改期決戰
page 4	郝更生顧毓琇昨視察市體育場
page 4	市長盃籃球賽哥倫布淘汰綠林
page 4	美金積券募銷會增設四組拓展工作
page 4	三種公債還本明日在滬抽籤
