page 1	"社評省縣自治的財政基礎"
page 2	"經濟改革還有技術問題政院會議今天不及討論財政部否認即將發行新幣說"
page 2	"上海漲風淩厲經濟警察捕商人廿五名破獲私套港匯商號七處"
page 2	"新民報請復刊內政部允呈政院"
page 2	"省長該向誰負責評省縣自治通則草案初稿"
page 2	"張群訪日任務"
page 2	"監院各委會昨成立本月例會定十七日召開"
page 2	"革新國民黨牯嶺將舉行討論會黨內要員交換意見 "
page 2	"關於中緬邊界外部發表聲明只求疆界清楚劃定無意向緬要求領土"
page 2	"王世杰等傳將赴牯"
page 2	"南京教授宣言反對設戡建會"
page 2	"日戰俘橫行九江冒充國防部特工毆辱鄉民經縣參會發覺後兩人被捕"
page 2	"旅京東北同鄉開會聽取七五請願團的報告請願團即席陳述八項要求盼懲兇手賠償捐失解除戒嚴令"
page 2	"劉峙抵漢將赴鄭一行"
page 2	"北平學生七五請願團"
page 2	"出售國營事業小組會沒開成徐學萬束雲章都不出席"
page 2	"民航隊運鈔案交部民航局發表聲明"
page 2	"蓉發現酣睡病軍校學生二人因而喪生還有三人臥病正待醫治"
page 2	"岡村定期公審可能當庭宣判"
page 2	"旅客行李輸入辦法政院核定即將公布"
page 2	"廈大本屆畢業生多願在都市服務"
page 2	"長春醞釀攻防戰冀東國軍進入遵化鄂中當陽不守宜昌緊張"
page 2	"濶乞丐大辦喜事風聲傳出後無法立足率妻子聽差離境而去事情發生在廣豐"
page 2	"滬火災受傷者昨天續死一人廿七人還在危險期中"
page 2	"浙贛路組視察團考察南萍段工程"
page 2	"杭市長周象賢最近辭意益堅傳任顯群將繼任"
page 3	"蘇京會商尚在討價還價三國使節將再晤史達林據說談判已遇到若干困難"
page 3	"談談復談談克里姆林宮會商經過"
page 3	"出版法問題續昨本報滬館第卅四次座談會紀錄立法院不做憲法罪人對出版法希望儘量提出意見"
page 3	"美蘇僑民糾紛擴大潘友新找羅維特交涉無結果指責美方對蘇僑施恐怖手段"
page 3	"美援歐款項用途有指定"
page 3	"法議會通過改革案授權政府改組文武行政機構財長對一部分稅收有權增減勞工領袖號召罷工抗議"
page 3	"多瑙河利益爭奪未已美法修正案均被否決蘇代表勸美接受其公約草案"
page 3	"義殖民地問題四外次續討論"
page 3	"日可大做對外貿易麥帥宣布放寬限制所有契約訂立不必經過政府"
page 3	"義要求參加多瑙河會議"
page 3	"聖地情勢未好轉貝那杜特請阿猶住手"
page 3	"依據星命占國運暹羅決重改名泰國據說可增進國家的地位權力制憲大會辯論了一日後通過"
page 3	"日歸還戰時劫掠品遠東委會有新政策盟國所失資產船隻即璧還工業及運輸設備則暫緩辦"
page 3	"母親迫女兒賣淫被捕妻子與丈夫飛行全球"
page 3	"荷對印尼政策據說無意改變"
page 3	"日全國性工潮似乎鬧不起來"
page 3	"曼谷所失黃金一部已運澳門"
page 3	"法國的車賽"
page 4	"工廠學徒生活太苦勞工顧問主張改善工團聯會代表大會決議由各工會先行分別調查"
page 4	"待遇差工作忙無異摧殘兒童"
page 4	"碧架左立者在工團聯會致詞"
page 4	"許世英談西藏問題外傳拉薩政變已去電調查目前重要問題一共有四個"
