page 2	社評主流所趨
page 3	綏西我軍英勇出擊薩縣附近發生激戰贛北我軍克復西山萬壽宮
page 3	美海軍重要會議全國艦隊總司令返華府述職國防官員會商加緊囤糧計劃
page 3	蔣夫人誕辰美賑華會致電祝賀保證盡力繼續援華
page 3	菲總統簽署反間諜法案
page 3	日神經過敏據稱中英美正加緊軍事合作增強亞洲南部國防
page 3	野村在美演說承認美日關係嚴重自信不至訴諸武力
page 3	不列顛之戰四
page 3	社會部已逐步實施民間各項福利事業
page 3	英泰談判圓滿英允供給石油予泰泰代表在星洲發表談話
page 3	日方造謠謂德蘇訂軍盟柏林斥為無稽
page 3	西班牙無聊舉動將在長春設使館
page 3	滬綁匪猖獗張伯駒施肇康先後被綁
page 3	桂省糧食增產會議
page 3	美徵用郵船日極為重視
page 3	郭泰祺飛抵檀香山
page 3	蘇泰互換使節
page 3	桂省八三老人龍積之捐糧補助抗屬
page 3	蓄謀澤不斷恫嚇荷置之不理日限荷於廿四小時內答覆荷表示不容不得物資落入敵手
page 3	糧食部即將成立
page 4	達蘭將再赴巴黎續商德法協定阿培茲攜新方案返法德軍源源侵入敘利亞
page 4	法軍二萬五千逃往巴勒斯丁
page 4	維希正式否認供德海軍據點
page 4	維希指責英國採取軍事行動
page 4	大西洋岸美海軍根據地工程年內完成波多黎哥據點亦已開工華爾綏主張增加海軍飛行員
page 4	墨國會當局信任總統政策站在民主立場力抗暴力統治
page 4	伊拉克英軍加緊保護油田摩蘇爾叛軍已告肅清
page 4	英國的重要據點西普勒斯島
page 4	羅斯福總統與魏南長談內容包括軍事經濟社會問題並與赫爾討論美國政策
page 4	美工潮之動態船工六千人已復職製機工人又告罷工
page 4	希特勒野心無止境英報載德將宣布歐非兩洲之合併
page 4	美再徵用輪船撥交英國商輪三十七萬噸已奉令移交徵用外輪法即付諸實行
page 4	神乎其說義專家從太陽斑點說到美國參戰先兆
page 4	英國青年自由加入海軍訓練及格撥入航空隊
page 4	神經過敏
page 4	柏林闢謠
page 4	英國工黨贊成政府和平目標
page 5	桂南淪陷期間各縣損失之統計物資損失達一萬四千餘萬元民眾傷亡一萬七千二百餘人
page 5	物資損失
page 5	滬物價高漲下工潮起伏頻仍四月份發生工潮三十七起參加罷工者數逾萬人
page 5	人口傷亡
page 5	中央撥款救濟滬教界感奮萬狀教育當局發表辦理經過
page 5	粵籌備組織歸僑聯合會
page 5	經建動態各省發展民生工業中央推進國防工業
page 5	全部款項三期發放
page 5	四邑情勢轉趨安定我軍掃蕩厓東殘日
page 5	韶關各界討論糧食問題胡銘藻報告米價已回跌湘省米穀輸運情形良好
page 6	港府擴充經濟力量設戰時經濟委會調節戰時商業資源等之供應港大副監史樂施任主席
page 6	港九保衛團人數千零四十七人出巡街道共四十九街距原定數目已不遠
page 6	醫務總監談撲滅肺癆問題中國人對肺病注意最早
page 6	督轅有傾圯之虞港督遷陸軍司令部但港督府職員未全遷出
page 6	港學生藝展延長兩日因參觀者擁擠
page 6	一仙輔幣券印妥日內即可發出注明只供一元以下流通使用
page 6	券之樣本丘元榮參觀國貨公司擬在荷印推銷國貨
page 6	電燈公司增加電費新訂電費價目公布月用百六十度以下者每度增收至一毫六仙
page 6	戰稅局長昨解釋利息稅徵收辦法稅款將由負債人負責繳納通過後當從四月一日開徵
page 6	六月六日大禹誕辰我經定為工程師節
page 6	無線電學院增辦技士科
page 6	小販超立社代表謁羅文錦請代呼籲羅氏允向當局提請予以保障該會進行聘請法律顧問
page 6	婦女慰勞會開音樂會今晚在港大禮堂
page 6	飛剪機再延期天氣轉佳今日抵步
page 7	居聯會水藝大會今晚隆重揭幕一連三天在九龍荔枝角游泳場寓娛樂於救國望僑胞踴躍蒞場
page 7	滬警員運動會吳華年創紀錄四四零碼五十六秒六縮短舊紀錄幾達一秒
page 7	勃琪的雙打論其二
page 7	總會通告定期開會
page 7	南遊雜記
page 7	鍾聲游泳場十週紀念擬舉辦水藝會
page 7	中學籃球比賽培英綠大勝一百一十四比廿一香島慘敗
page 7	南華泳場今晚首次水藝
