page 1	從速籌備實施義務教育
page 2	正太線上仍有激戰陝境國軍續增援晉南
page 2	魯境戰況國軍續攻蒙陰豫北淇縣被共軍攻佔
page 2	國府及政院組織法國府明令修正公布
page 2	李承晚昨離滬飛抵漢城發表宣言準備組織政府
page 2	中常會昨通過議案國府組織法修正國府主席對中執會負責句刪去
page 2	國防會將結束職掌將移交改組後之國府委會昨例會通過國葬李烈鈞
page 2	國府主席負責對象應為制憲國民大會憲政促進會研委會之提案
page 2	雷震昨晚離滬返京民青兩黨府委三人同行伍憲子梁秋水日內來滬
page 2	朝鮮問題解決辦法
page 2	美人論我改組政府能否發揮理想尚有靜觀餘地重要問題為今後作何種措施
page 2	司徒雷登將赴漢口
page 2	鄧斐爾昨抵京當日轉赴青島
page 2	邵力子談大連問題癥結在雙方對務約解釋不同
page 2	接收旅大在商討中董彥平張劍非由瀋飛京旅大金三地團體成立關東公署
page 2	渝蓉氣候亢熱贛省乾旱春荒可虞
page 2	吳江一幕糾紛學生購汽車票發生爭執車站被毀並有數人受傷
page 2	鴨綠江半月內通航外交部已接獲蘇方答復
page 2	馬尼刺法院取消設攤禁令菲海岸防止外人非法入境
page 2	泛區復興問題必須取得有關各方贊同軍事問題影響復耕計劃視察團在開封會議中提出之意見
page 2	海軍總部將派員赴日準備接收賠償艦艘日賠償物資四十八萬噸將運華
page 2	朱世明抵東京辦理移交事宜商震下月初赴任
page 2	廣州南石頭紙廠被劫機械將運回
page 3	莫斯科會議第七週奧約討論進展良好四外長昨商討特港財政
page 3	史達林馬歇爾會談仍有再度舉行可能英星期泰晤士報記者的見解
page 3	國大代表選舉罷免法施行條例
page 3	華萊士論聯合國可能成為數國反蘇之集團
page 3	德境英佔領區選舉初步結果業已發表
page 3	英王儲成年不列顛各熱烈慶祝
page 3	日參議員選舉保守份子可能獲勝選民棄權人數極眾
page 3	從華萊士訪英看英國政治情勢續
page 3	邱吉爾答覆華萊士英美若採綏靖政策三次大戰即不可免
page 3	英外務部次官力言英願與蘇合作英共黨抗議政府外交政策
page 3	杜魯門在紐約演說強調保持經濟繁榮加強國家經濟即可援助世界各國物價激劇高漲乃美國前途一黑影
page 3	法總理賴馬迪演說保持共和始能立國陶雷士演說猛烈抨擊戴高樂
page 3	皮杜爾訪馬歇爾
page 3	英王儲成年不列顧各地熱烈慶祝
page 3	華氏聲明並非共黨
page 3	丹麥國王逝世太子斐特烈繼位
page 4	冬季房捐及市建捐繳款書已分區寄發限收到後兩星期內繳納
page 4	滬光開革領票員全體賣票領票怠工經警局調解風波已告平急
page 4	小本貸金會貸出款項二千餘萬
page 4	留養善團糧食行總結束後停止供給特電復社救事業協會
page 4	商務印書館職工底薪起點提高
page 4	市府紀念週昨仍舉行衛生局報告工作
page 4	新都飯店職工要求復業
page 4	郵政儲匯局機構裁減緊縮辦理包裹押匯
page 4	南洋烟公司錫包工人怠工
page 4	不潔冷飲攤販擬有取締辦法
page 4	南北東西兩幹線貫穿跑馬廳中央美顧問改進中區交通建議
page 4	高中畢業會考滬市照常舉辦
page 4	暨南自治會競選發生悲劇學生代表一人被毆受傷校方下令停止該會活動
page 4	檀香山商會長華克飛抵滬前來視察遠東商情
page 4	私立中小學立案教局核准三十校中學念華女中等十校小學有尊聖等二十校
page 4	本屆全國運動會聘定籌備委員與顧問
page 4	寄往錫蘭包裏存局五日免收棧費
page 4	星島明日來滬後日迎戰漢城東青大戰再度改期
page 4	田徑運動第一聲益社昨舉行測驗談清短跑近全國紀錄百公尺成績十一秒正
page 4	市長盃籃球賽華聯戰巨人
page 4	拳擊摔角賽精武演出優美賽前有國術單雙槓表演
page 4	處理糞便
page 4	中國電影照相公司放映大英百科全書影片
