page 1	印局該誰負責
page 2	國大氣候趨於轉換蔣主席指示國民黨代表綜審會少數黨代表發言
page 2	憲法中基本舅策章宜增加積極發展科學研究條文
page 2	民社黨對憲草態度金侯城昨對記者說明三點
page 2	綜審會開會時記者已可旁聽
page 2	綜審會設整理小組任務與組織昨通過
page 2	李維漢談憲草
page 2	國大回教代表昨日招待記者希望憲草保證回民地位
page 2	伊盟副盟長由綏飛平轉京
page 2	馬司尚在試探和談昨夕聯袂謁蔣主席長談王炳南亦兩度晤傅涇波
page 2	邊疆施政熱省府擬定大綱
page 2	莫德惠來滬
page 2	漢市參議會昨開會商界代表痛陳疾苦商店每月應付三十餘種捐稅長此下去只有家家關門大吉
page 2	憲草分組審查結果
page 2	蘇北國軍進駐漣水邳縣監城西北戰事仍見緊張膠濟路兩側附近已無共軍
page 2	中法航空協定昨在南京簽字
page 2	內戰砲火下中陽人民悲慘十四個月生活在圍城中供應精疲力盡無衣無食
page 2	各地冬令救濟費社會部飭即發放
page 2	地方財政困難明年擬實行裁員減政稅捐機構亦將有調整
page 2	平綏全線客車日內即可行駛
page 2	瀋陽市參議會派請願團赴京要求改設院轄市
page 2	為減低新聞郵電費報界昨向交部請願俞大維允派員與代表研商
page 2	英議會代表擬訪華行期預定來秋尚待我方答覆
page 2	塘沽新港船閘工程一部竣工日前舉行試船
page 3	聯合國大會正式閉幕史巴克致詞表示會議圓滿奧斯丁謂聯合國目標實現
page 3	聯大下屆會議定明年九月在紐約舉行救濟難民機構決定成立暹羅加入聯合國獲批准
page 3	消息報著文對聯大滿意
page 3	貝爾納斯在聯大演說對裁軍問題詳為論列
page 3	裁軍步驟專家開始研究
page 3	賴伊函謝洛克斐勒
page 3	英國大憲章將在美國陳列
page 3	弗朗哥依然頑強呼籲西班牙人團結一致
page 3	流落德境紅軍不願回到蘇聯將移居阿刺伯各國
page 3	伊朗民主黨領袖傳已逃到了蘇聯伊政府將依法要求引渡
page 3	希臘東北激戰土希鐵路交通中斷游擊隊提停戰條件
page 3	法政局撲朔迷離勃魯姆聯合政府難產傳有組純社會黨內閣計畫
page 3	英印關係又趨惡化尼赫魯稱印度即宣布與英分離自身來解決問題不再期待倫敦
page 3	美國設法教導德人使成為堅強民主的德國
page 3	法越衝突美太平洋研究會責法不履行協定
page 3	馬來亞政體僑民開會討論
page 3	潘狄特夫人對英人不滿
page 3	美醞釀大工潮工組大會主席聲明要求普遍增加工資
page 3	日倒閣大會定今日舉行
page 3	重慶行情
page 3	促使裁軍實現要靠諮商方法
page 3	華北美軍撤退無期
page 4	煙民統限年內調驗戒絕再吸者處死刑八個月來共捉煙犯二千餘人市府招待記者報告禁煙工作
page 4	合作工業開工無期失業工人如何救濟失業工人輔導會昨討論
page 4	勞協新人開始辦公
page 4	鉛印業集金百萬慰贈高生大
