page 1	社評鑾披汶小試排華
page 2	兗州曲阜汶上爭奪益烈冀東豐潤被圍國軍馳援北寧路關內段被毀正搶修中
page 2	立院今天繼續質詢翁文灝準備總答覆政院部會首長昨商答覆問題
page 2	監院首次會議討論會議規則
page 2	北方立委組織聯誼會
page 2	津北洋大學學生拒受美國救濟品作為對美國扶植日本的抗議並請全國學生採取共同行動
page 2	以外匯新辦法為例
page 2	夏臨牯嶺遊客漸多
page 2	司徒即飛平昨會謁蔣總統
page 2	答覆僑教代表要求暹羅教次毫不讓步他說一切都要按規章辦理
page 2	民青立委問題傳有解決新辦法
page 2	豫籍立委請派大員坐鎮鄭州
page 2	澳穗走私減少
page 2	美國積極扶植日本實違反波茨坦協議平教授四百餘人致書司徒嚴詞指摘美國的反動政策
page 2	美圖書館善本書目北大承印兩月後可出版
page 2	我留美大學生生活新聞局說並不困難
page 2	輸管視察團昨由滬飛穗
page 2	湛江雨災溺斃百人
page 2	暹僑救鄉米五百噸運抵汕頭
page 2	連山徵兵舞弊一壯丁索穀五十餘石
page 2	徵用國人在外資產立委日內將有提案並主徵用所得限作文教之用
page 2	縣級人員待遇粵省府正設法使其劃一
page 2	由閩運粵米一批在大埔縣境被搶共損失了一千三百擔
page 2	因戰事影響兩大學搬家東大遷平河大遷蘇
page 2	美援削減款項可望恢復顧維鈞赴美參院撥款會報告申述中國政府軍事上的需要
page 3	美參院撥款會討論援款援歐部分幾乎全部復原決撥四十億供十二個月之用
page 3	杜魯門論美蘇關係對蘇聯外交政策大加批評說美國仍舊開著和平之門
page 3	施行演講近尾聲杜魯門成就何如共和黨說他完全失敗了有些記者說他頗有收穫
page 3	曼谷通信僑教問題與暹羅政局動向
page 3	美國對蘇無意侵略
page 3	希臘朝鮮問題談判不能解決
page 3	對於資本主義蘇聯不該攻擊
page 3	關於德國問題法議會續辯論菲立普主張試與蘇協議英美法法蘭克福會議延期
page 3	印尼共和國傳羅波保三國承認
page 3	誰破壞停戰協定阿猶相互指責貝那杜特在奔走調處中觀察人員出發北部前線
page 3	柏林鐵路交通恢復英蘇商談後蘇取消禁令
page 3	教廷與印度將互派公使
page 3	新藥能治睡眠病鋼球入海探沉船
page 3	辯護扶日政策美政策將加強宣傳要對中澳等國提出保證 
page 3	邱吉爾彈老調主張重選議會
page 4	廣州工程師百餘人來港參觀工廠船塢今明兩天參觀日程已經定妥
page 4	五個月來交通失事死傷一千多人每月平均失事三百多次
page 4	招商局新輪在港招海員
page 4	飲水思源
page 4	嚇人的租金
page 4	健康專家賓尼準備衛生講義
page 4	電車樓上嚴禁企立皇皇文告等於虛設巴士載客過多警局查扣
page 4	遲到的端午麗池四千男女爭看龍舟競渡
page 4	洋服業開始不景氣忍耐度淡月靜候冬季來
page 4	漁業合作社開股東大會
page 4	舉行八人畫展
page 4	辦理游樂場又一個計劃
page 4	展罷夏裝展秋裝仕女整日為衣忙
page 4	天氣阻行期馬調士未來
page 4	殘樓不經風女販受犧牲
page 4	老婦控房客打她被告說全非事實
page 4	南昌輪上搜出私貨約值三十萬元
page 4	灣仔道上飛窻傷人
page 4	小販違例拖累發客
page 4	蔣總統金像定今天展覽
page 5	港澳兩地金市活躍金商利潤百分之十澳門入口證有減至五元左右可能
page 5	遠東金價較高原因來源稀少運輸困難
page 5	澳門黃金到香港美匯動
page 5	外埠結匯證明書可以在上海買賣
page 5	結匯證明書限期當局不考慮延長廠商盼有集中市場
page 5	梧州五月份物價上漲率植物油類平均漲百分之七十
page 5	經濟要談
page 5	外商在廣州
page 5	日本膠鞋南下傾銷星洲廠商大受威脅售價較星市便宜十至十五巴仙
page 5	台幣匯率昨起掛高一比四二○
page 5	星市胡椒價格報揚
page 5	穗米價漲叩千萬關
page 5	黃豆充斥市況沉滯
page 5	港府公布魚鮮價格
page 5	滬金管局訂定管理本票辦法管制信用影響物價
page 5	新結匯辦法問題
page 5	穗米麵紗布堅挺海口米漲紗布回梧物價起落互見
page 5	廣州商情一週金融物價
page 5	銀行公會認為想不出好辦法
page 6	黑白征港第二戰南華嘉山禦強敵
page 6	黑白隊首戰告捷昨晚擊敗九龍聯隊雙方施展梅花陣形進攻術五二比二五客軍球藝超人
page 6	比賽開始郭贊主持開球禮客軍五虎將上陣
page 6	九聯隊見機行事下半場混合應戰
page 6	英女籃球選手要求增加世運項目
page 6	世運田徑代表樓文敖怕冷落
page 6	評九聯之敗
page 6	今年球賽糾紛多滬市長杯東青決戰裁判退出草草了事
