page 2	社評從糧價說到財政
page 3	閩省我軍乘勝追擊馬尾連江相繼克復
page 3	粵省敵軍恐慌
page 3	皖鄂展開激戰我克復新河莊
page 3	漸贛敵軍蠢動各處進擾被阻
page 3	蔣委員長指示六項要政俾軍事政治能切實配合中樞當局積極平定物價
page 3	美第一艘運油船駛抵海參崴援蘇物品仍源源運出
page 3	蘇聯飛艇駛抵阿拉斯加
page 3	敵機對重慶的疲勞轟炸一
page 3	皖鄂展開激戰我克復新河莊
page 3	後方化學工業突飛猛進大小工廠分佈各地
page 3	曾養甫談中緬聯繫
page 3	羅斯福總統不擬會晤近衛華盛頓否認日方有此建議
page 3	美國飛行員陸續來華
page 3	滬工部局開徵特種營業稅將於明年一月開始
page 3	日皇召見豐田東京連日舉行會議
page 3	財部發言人表示中央統一稅收各省貨物雜稅取消將改徵戰時消費稅
page 3	中國化學會年會閉幕昨起參觀名勝實業
page 3	莫斯科三國會議美代表人選發表將取道倫敦轉赴蘇京
page 4	中路蘇軍獲勝德軍被迫後退三十哩列寧格勒形勢愈緊
page 4	蘇聯調集大軍保衛列寧格勒伏羅希洛夫親臨前線北海蘇海空軍極活躍
page 4	德國時間表已完全脫節希特勒演說延期發表
page 4	德軍侵佔區內蘇遊擊隊活躍
page 4	克里浦斯撰文英蘇必獲勝利對蘇軍成就表示欽佩
page 4	美澈底推進國防程序一切可用之人力與機器均將用於國防民生生產
page 4	論國際反侵略戰新開勢中蘇英美聯合起來為撲滅侵略者而奮鬥
page 4	歐戰兩年英實力愈強大軍事經濟皆突飛猛進輸入貨物數目已激增
page 4	英國封鎖已見效用德國機構大受打擊
page 4	美兩洋艦隊工程推進順利最近九個月內二百餘艘下水
page 4	當然無進展
page 4	邱吉爾今日廣播
page 4	英當局增強對外宣傳統一政治戰爭指揮
page 4	美造船力超出預期
page 4	英方闡明對墨態度願意與墨恢復邦交但不準備接受條件
page 5	增加糧食生產粵北籌闢大農場計劃業已決定下月即可實施重訂辦法實行澈底禁酒
page 5	泰興路老營盤段劫車案破獲追回劫款三十餘萬元匪徒五人在吉安被捕
page 5	粵南宣慰團返抵柳州周團長暢談經過
page 5	英國婦女城市生活
page 5	粵省劃分九區督導合作事業
page 5	浙江水利建設呈蓬勃氣象一月來興辦十五起
page 5	韶關物價不斷高漲當局嚴密防止中
page 6	一元獻機運動委員會昨舉行成立大會委會組織章程順利通過選出常委三十九個團體
page 6	英丈夫團昨晚開會代表報告晉謁港督經過擬請求准丈夫往見妻子 
page 6	常委名單常務委員會昨經推定三
page 6	今日盂蘭節禁街邊燒衣
page 6	防空工程審查委員會今晨繼續傳訊鄭植之述宴史柏堅經過林拔中談與劉美美關係
page 6	鄭植之宴會供情形
page 6	森拔中述承造鏟斧
page 6	港軍事大演習今日正式開始海空軍作敵軍向港進攻全部陸上步隊阻敵登陸
page 6	文化服務社今晨正式開幕
page 6	今晚局部燈火管制
page 6	戰債會舉行成績報告會
page 6	歡迎新督秩序已擬定
page 6	當局將組織健康委會
page 7	七團體慈善足球賽外隊戰陣產生軍聯先打頭陣西聯翌日交兵門券將於一二日內開始發售
page 7	三華代表在總明人茶室商討對抗隊伍
page 7	中華體育協進會開執委會議修正條文通過去函挽留居聯成立審查會員委員會
page 7	南華足球隊定期友誼賽
page 7	東方會向協會獻議成立審查會
page 7	樂斯杯僑星勝警察
page 7	銀牌籃球大戰居聯首戰民大
page 7	吉隆坡足球聯賽華體和吉體一比一雙方暫簽和約華體要努力方得冠軍
page 7	外匯牌價俱無變更美匯沉寂申匯靜穩
page 7	股票漲風稍戢昨成交總值十一萬餘元
page 7	國幣市況仍屬不振
