page 2	社評邱吉爾對日棒喝
page 3	英相發表爆彈演詞對日本作嚴厲警告讚揚蔣委長領導之中國抗戰
page 3	英首相演詞美熱烈歡迎一般認太平洋危機迫近美政府已有應付之決心
page 3	郭外長發表談話對英相演詞表示欣感陪都認英此舉開遠東政策之新紀元
page 3	日挑撥離間手段已遭受重大打擊新加坡輿論界之反響
page 3	柏林之觀感謂英警告日本煽動美日作戰
page 3	民主國家合作阻止日本蠢動滬人士對英首相演詞之觀察
page 3	日故作鎮定對邱氏演詞謂不感驚訝滬日軍發言人則表示遺憾
page 3	曼谷電台警告泰人準備戰爭泰國今明年或將參戰
page 3	來栖欲速不達抵中途島收音機發生阻礙東京宣傳美已鬆馳凍結
page 3	胡大使訪美總統致送我政府咨文盼美國增加援華物資
page 3	美日戰爭難免英美當及時解決日本雅納爾少將之廣播
page 3	宇邵發表談話謂決不鬆弛其努力將赴美加澳紐訪問
page 3	英使克萊琪訪日外務省
page 3	菲島日僑大批撤退
page 3	東條向議員訴苦謂日本非興即亡
page 4	德軍不斷進攻圖拉戰事猛烈列寧格勒區蘇軍反攻
page 4	美和平紀念日總統將在無名英雄墓前演說國防機關自動照常工作
page 4	英國紀念歐戰和平日人民紛購罌花救濟戰時作難
page 4	英國空軍實力迎頭趕上德國人員補充飛機生產皆極樂觀
page 4	國父誕辰感言
page 4	眾院對中立法辯論實行時間限制最遲後日可付表決總統曾再會見國會領袖
page 4	美國增稅法案總統敦促國會通過藉以收縮過量通貨
page 4	菲島總統選舉奎松眾望所歸初選結果已揭曉
page 4	李維諾夫兼任蘇外次赴美就任時將取道英國與英相及外長舉行會商
page 4	義南又遭轟炸飛機廠被襲起火魚雷艇根據地被擊中
page 4	鄂中敵軍竄擾又使用毒氣中牟殘敵我正痛擊中
page 4	劉師舜使加張謙梁龍調任外部司長政院會議正式通過
page 4	近世奇觀之一英遠東情報部主任盛讚滇緬路之偉大
page 4	聖狄艾哥發生工潮海部將強行制止
page 4	國父誕辰
page 4	美總統要求撥款改進巴拿馬運河
page 4	美海軍陸戰隊成立一百六十四週年總統海長皆致函勉勵
page 5	晚造豐收新穀登場韶關糧價已猛跌與三月間最低紀錄相差無幾火油電油價格亦有回降趨勢
page 5	大小涼山考察歸來四十月二十五日在聯大青年學術講座第一講上報告
page 5	西南聯合大學成立四週紀念梅貽琦訓勉學生奮發蹈厲黃子堅報告成立經過
page 5	水利航空測量隊由渝遷桂工作顧隊長談航測之優點
page 5	中山團隊紛起出擊石岐市內敵偽戒嚴
page 5	粵省整理捲煙稅收
page 5	關於泰政府第二次劃定外僑禁區事件為泰國三百萬僑胞呼籲
page 5	川省明年度預算政院已通過總額二萬萬七千萬元
page 5	聯大簡訊
page 5	粵嚴懲貪污南雄稅局長瀆職被緝
page 6	今日國父誕辰紀念僑團聯合開會慶祝新運會放映國父歷史片
page 6	渣甸山平民村昨舉行戰時疏散演習居民二千五百餘人參加表演走避派飯秩序井然
page 6	小販研究會討論小反生活報告書注意撤銷牌照小販生活希望使其全部恢復營業
page 6	郵差響應獻機運動下月七日開游藝會
page 6	工合社嘉年華會昨午正式啓幕孫夫人剪綵後領導入場會期半繼續舉行三星期
page 6	嘉年華會國產品二
page 6	舞女李飛突尋短見服皮膚藥水自殺
page 6	和平紀念日總督到紀念碑獻花
page 6	中電發展業務副廠長羅靜予赴美考察攜同國片多部放映宣傳
page 6	粵文理學院擴額收容新舊學生增聘朱子範任教授
page 6	考克蘭由渝抵港今日飛美述職考氏此次來華貢獻頗多陳光甫托其帶信美財長
page 7	快活谷足球義演港聯戰和軍聯許文奎最後一腳扳成三比三中西老爺兵打贏球證
page 7	港九居聯會主辦排籃球慈善賽廿六日起一連兩天舉行收入全數撫卹黃翔遺族
page 7	女子壘球表演賽野貓奏凱歌十六比三打勝加拿大健美操表演精采動人
page 7	滬華人足球賽威隊擊敗震旦三比一看客異常熱烈孫錦順出主中軍
page 7	田徑對抗嶺南勝港大
page 7	澳門足球聯賽無畏兄弟報捷
page 7	國際長途跑廿五截止報名
page 7	我國西北部羊毛產銷之概況因國際需求增加價格已大告高漲
