page 2	勿鬆弛警覺
page 3	浙東我軍進迫蕭山城郊工事全部摧毀桂南平而關一帶已無日蹤杉山巡視各侵佔區後返日
page 3	李司令長官視察前線歸來軍民水乳交融勝利實有把握
page 3	槍殺日軍官滬又發生一起
page 3	魯自衛團反正來歸
page 3	渝桂參政員已分別選出
page 3	陳公博被任上海市長
page 3	廣州日軍用票跌風仍熾
page 3	粵省當局廢除苛雜
page 3	泰人反法日烈法國公使訪泰外部質問越當局否認戴古辭職說
page 3	美紅會決撥鉅款救濟我戰區難民
page 3	卡爾夫人對翁來華遊歷今日離滬遄返智利
page 3	美撤僑輪週末抵滬
page 3	日本與荷印談判無結果荷印反對任何侵略企圖日人窺伺南洋無微不至
page 3	黃宣屏由匪窟脫險返家
page 3	滬法租界當局否認排猶
page 3	白宮未來的主人先介紹一下四位競選者的略歷
page 3	蔣委長以三事勉川康經建會
page 4	美大選將揭曉雙方競選至最後一刻羅斯福仍稍佔優勢
page 4	美國軍官抵馬丁尼克島與法當局有所商洽美在加里比海將有行動 
page 4	英首相演講向義海軍挑戰英軍精銳四萬在希領土登陸在克里特島設立海空根據地
page 4	西前總統在法逝世
page 4	義軍妄動自陷絕境 
page 4	協商成約都成陳蹟
page 4	傳義大利潛艇開抵英國海面英機加緊搜邏潛艇活動
page 4	蘇聯重申維持中立態度蘇聯敵人並未打盹加強軍力注視國疆
page 4	倍文演說積極生產六月即可趕上德國
page 4	尼赫魯被判監禁四年甘地擬再絕食
page 4	希義公使各返本國
page 4	義艦被沉屍骸狼藉
page 4	倘使我能當選
page 4	阿南邊境希軍獲勝
page 4	西當局接收坦吉爾政權英方查明後將有所表示英西商約在談判中
page 5	粵四六區交通管理處頒發商旅須知詳訂東江客貨交通費用禁止船舶伕役額外需索
page 5	歧關車路日軍撤後漸恢復所謂稽徵所乘機　澳門灣仔河道交通如常
page 5	東江團隊夜襲石龍
page 5	博羅械鬥指揮所派隊彈壓
page 5	禍不單行曲江妓寮又遇火災損失頗巨
page 5	粵努力工業建設已有四廠供應出品籌劃中者尚有多所
page 5	粵省推行公醫制度選曲江等縣設立衛生院
page 5	小廣東號昨由澳返海防下班載米來澳
page 5	西康日記二○○第九編九龍木裏途中
page 5	福建的姿態下
page 5	桂林記者籌組南寧訪問團
page 6	限制移民問題港府徵求商民意見商會已將律例譯成中文分送值理日內開會討論
page 6	中航殉職機師康特遺柩運港昨假安德列堂開追悼會將在本港火化運美安葬
page 6	製造假股票朱香捉獲嫌疑犯 
page 6	昨日本港傳汕日軍在撤退中美領曾得日軍將撤情報順德來客談謂日軍已退
page 6	衛生局例會清糞問題轉行政局
page 6	港九昨晨發生巴士相撞慘劇大道西兩車略損未傷人深水埗一宗四人受重傷
page 6	青年會公演話劇收入撥充救濟難民
page 6	賀年片郵資
page 6	港輪被擊沉
page 6	養和醫院護士畢業禮史美夫人頒證書董事長李樹芬致開會詞護士長林玉蘭頒發校章
page 6	本港撤退美僑為數僅百餘人美政府態度純係勸諭在疏散中仍有前來者
page 6	山口返日 
page 6	檢閱警察
page 6	青記學會
page 6	俾歐返港
page 6	第二次粵北大勝良口一役經過阮君慈來港購救護藥品昨招待新聞界報告一切
page 7	軍聯二次試賽理想隊演出理想昨日約戰士葛結果淨勝五球人選大致內定實力不容小視
page 7	學界籃球明日截止報名
page 7	乒乓友誼賽述善勝仿林
page 7	東方昨日操練準備大戰海軍陳德輝搬上嘉山合宿李惠堂週末恐難上陣
page 7	嶺東籃球隊昨又勝藍白
page 7	球壇什景
page 7	外匯牌價俱無變更英匯沉寂申匯穩定
page 7	國幣價格仍甚穩定四四金交易停頓
page 7	股票市況穩靜人心轉安買戶漸見活躍昨日成交總值二萬餘元
page 7	青年會泳團週年水運競賽項目已排定
page 7	與林沖論華隊三強
