page 2	社評打倒人類共同的敵人
page 3	英美保證決實際援蘇邱吉爾發表明快演詞傳英美蘇三國考慮訂立同盟
page 3	不祥人遇不祥事蘇德戰訊到東京時松岡方與汪逆觀劇
page 3	英國空軍炸德後方擊落德機達三十架
page 3	邱吉爾演詞美熱烈歡迎英國立場絕對明朗
page 3	陪都方面觀察蘇聯可獲勝利
page 3	日開緊急會議依然徬徨無措一般認英美蘇將成立同盟
page 3	民主國家加緊團結
page 3	美決加緊軍需生產積極援助反侵略國
page 3	蘇聯民氣極熱烈各地作愛國示威學生紛紛請求入伍
page 3	推進中印商務印考察團將來華
page 3	美報評論
page 3	土耳其將維持中立
page 3	保內閣會議羅國發表無恥聲明
page 3	瑞典力避捲入召回海上船隻
page 4	蘇德戰事猛烈展開德軍略有進展蘇空軍極活躍
page 4	德蘇戰爭為甚麽會爆發
page 4	蘇聯加強實力統一軍令指揮由鐵木辛科全盤負責紅軍已奉到總動員令
page 4	平準基金委會將作實地考察
page 4	鄂南敵已潰敗我恢復原態勢
page 4	美國對日決不姑息歐洲局勢雖在急激變化美國對日絕不假予顏色
page 4	二衛合唱無聊插曲
page 4	納粹第五縱隊對蘇加緊活動
page 4	蘇德誰強
page 4	二衛小曲
page 4	匈保圖蠢動助德攻蘇聯
page 4	施肇基氏抵華盛頓
page 4	英美加戰地病院團由美來華並攜有病車十架
page 4	中樞擴大紀念週蔣委員長致訓辭財政會議繼續審查提案
page 5	遂溪籌備組織歸國僑胞接待所粵省府派員協同僑委會辦理預期下月底將可成立
page 5	從各國農村貸款說到中國農貸
page 5	我軍增兵四邑三埠形勢益穩古井偽軍已撤回江會新開路敵軍未敢深入
page 5	水深火熱之瓊崖民眾留居島上者無以為生逃亡各地者亟待救濟
page 5	桂林勸募戰債二百五十萬元商定各公會負擔辦法
page 5	粵省教廳頒發暑期宣傳綱領發動各校學生後方服務舉辦調查戶口識字運動
page 5	芒街越籍警兵槍殺東興華警交涉結果兇手依法槍決並賠償卹金越幣五萬元
page 5	西江局勢密雲不雨我軍加強防務備戰
page 5	桂省銀行在韶設立分行
page 5	簡報一束
page 5	驂南役政推行極順利清欠運動收獲效果達法強拉保長被押
page 5	清遠高明嚴懲玩忽舞弊
page 6	港府遣送難民回鄉短期內即可開始澳居留所建築大致完成難民遣送由紅會負責
page 6	戰債總會來電嘉勉各界購債銅鐵行商募得三十餘萬廠商聯會達十二萬餘元
page 6	當局取締熟食小販擬定善後計劃設立熟食店供貧民食用雇用失業小販在店工作
page 6	入境證滿期後持證人仍可留港當局不強迫換新證但舊證即認為作廢
page 6	公平糶米會再行調查菜欄營業務求杜絕操縱菜價
page 6	當局積極進行籌設戰時貨物兵險局委荷路等負責籌劃進行此種保險係屬強迫性質
page 6	美另派輪數艘行駛遠東航線第一艘魯根勃滋昨已抵港在赴上海途中發生火警
page 6	天文臺長突然病逝係因心臟病
page 6	港澳學生僑生證由教部駐港專員處頒發便利港澳學生返國就學
page 6	警司對記者談稱特警下月徵募陸靄雲對主持特警事務表示不願負責決予推辭
page 6	普慶戲院
page 6	督轅牆壁崩裂日甚暫時再加搭杉木支柱並將傾圯之走廊拆毀
page 7	中西游泳慈善賽華人定期預選下月六日在北角華人會舉行決定節目八項今日開始報名
page 7	中學籃球初級賽興華獲冠軍廿三比廿二打倒漢華青商培英白均得勝仗
page 7	勃琪的雙打論其七
page 7	老惠第三信六月三日自吉隆坡
page 7	溜冰籃球賽居聯獲第一
page 7	夏令籃球賽初級球員定週末度身
page 7	中青會提倡體育事業舉辦暑訓班
page 7	外匯牌價俱無變更美匯靜寂申匯穩定
page 7	股票市況好轉德蘇宣戰人心大感興奮買賣增加成交五萬餘元
page 7	國幣堅穩人心多趨好
